id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
573472,11497,"#THE/USDT

Signal type: LONG🟢

Leverage: 20x

Entr... Stop Loss: 0.05112
✍️ http://t.me/GRAYSON_WILLIAM",5619654f0729230df2ed85f70c5f95cb,2026-08-11T15:53:41+00:00,2026-08-11T21:05:53.717938+00:00,496,Binance_Scalping_Signale
582236,11544,"⚡️⚡️ SQD/USDT ⚡️⚡️
Signal Type: Regular (Short)
Le...
5) 0.04234
6) 0.04166
7) 🚀🚀🚀

Stop Targets:
5-10%",246f387fef11e8183c441b7071c6a9c2,2026-08-12T07:09:41+00:00,2026-08-12T18:43:19.805107+00:00,496,Binance_Scalping_Signale
582233,11545,"⚡️⚡️ LUNA/USDT ⚡️⚡️
Signal Type: Regular (Short)
L...
5) 0.04195
6) 0.04128
7) 🚀🚀🚀

Stop Targets:
5-10%",d42c18fa2f028bd64b389fc11a7f0610,2026-08-12T07:09:41+00:00,2026-08-12T18:43:19.786025+00:00,496,Binance_Scalping_Signale
582229,11543,"⚡️⚡️ TWT/USDT ⚡️⚡️
Signal Type: Regular (Short)
Le...
5) 0.37619
6) 0.37019
7) 🚀🚀🚀

Stop Targets:
5-10%",c149a39f6b95a71c7c3dc1a6a7b898f1,2026-08-12T07:09:41+00:00,2026-08-12T18:43:19.750624+00:00,496,Binance_Scalping_Signale
582215,11542,"⚡️⚡️ AIN/USDT ⚡️⚡️
Signal Type: Regular (Short)
Le...
5) 0.07218
6) 0.07103
7) 🚀🚀🚀

Stop Targets:
5-10%",8e98adc667ae291a46c67ad23bb0948f,2026-08-12T07:09:41+00:00,2026-08-12T18:43:19.487803+00:00,496,Binance_Scalping_Signale
582223,11541,"⚡️⚡️ H/USDT ⚡️⚡️
Signal Type: Regular (Short)
Leve...
5) 0.08452
6) 0.08317
7) 🚀🚀🚀

Stop Targets:
5-10%",07a766b7804d8aaffe2654ac0c1044d5,2026-08-12T07:09:40+00:00,2026-08-12T18:43:19.702469+00:00,496,Binance_Scalping_Signale
585161,11628,"#VELVET/USDT

Signal type: LONG🟢

Leverage: 20x

E...️ Stop Loss: 0.3945
✍️ http://t.me/GRAYSON_WILLIAM",1db6c82c1b733dfe7e2625424f5959e1,2026-08-13T00:55:13+00:00,2026-08-13T01:47:52.256785+00:00,496,Binance_Scalping_Signale
585158,11622,"#SQD/USDT

Signal type: LONG🟢

Leverage: 20x

Entr... Stop Loss: 0.03102
✍️ http://t.me/GRAYSON_WILLIAM",45ab76b5467f8a046b512cccc3ee7c2d,2026-08-13T00:55:13+00:00,2026-08-13T01:47:52.225190+00:00,496,Binance_Scalping_Signale
585163,11607,"#BLUAI/USDT

Signal type: LONG🟢

Leverage: 20x

En...Stop Loss: 0.011682
✍️ http://t.me/GRAYSON_WILLIAM",8847f45de28e1b1394a8d3d646c0271a,2026-08-13T00:55:12+00:00,2026-08-13T01:47:52.274013+00:00,496,Binance_Scalping_Signale
585160,11593,"#HOME/USDT

Signal type: LONG🟢

Leverage: 25x

Ent...Stop Loss: 0.008094
✍️ http://t.me/GRAYSON_WILLIAM",8bdf8c5caa641c5826d74b653d6b9031,2026-08-13T00:55:12+00:00,2026-08-13T01:47:52.253633+00:00,496,Binance_Scalping_Signale
585147,11582,"#ESP/USDT

Signal type: LONG🟢

Leverage: 50x

Entr... Stop Loss: 0.05969
✍️ http://t.me/GRAYSON_WILLIAM",0fed442e0b43f19f5fe6473aef55f2c9,2026-08-13T00:55:12+00:00,2026-08-13T01:47:51.762379+00:00,496,Binance_Scalping_Signale
585791,11658,"⚡️⚡️ ZRX/USDT ⚡️⚡️
Signal Type: Regular (Short)
Le...
5) 0.07285
6) 0.07169
7) 🚀🚀🚀

Stop Targets:
5-10%",1ef8e6727fbbe131d561c90209c9c085,2026-08-13T02:07:45+00:00,2026-08-13T03:28:09.523376+00:00,496,Binance_Scalping_Signale
585790,11654,"⚡️⚡️ DEXE/USDT ⚡️⚡️
Signal Type: Regular (Short)
L...
5) 1.93640
6) 1.90550
7) 🚀🚀🚀

Stop Targets:
5-10%",24ae90ae912c14b9230e874bf9dda756,2026-08-13T02:07:44+00:00,2026-08-13T03:28:09.512777+00:00,496,Binance_Scalping_Signale
585788,11656,"⚡️⚡️ ZETA/USDT ⚡️⚡️
Signal Type: Regular (Short)
L...
5) 0.02552
6) 0.02511
7) 🚀🚀🚀

Stop Targets:
5-10%",68d63e5f029e639f64f10a0a78bdd086,2026-08-13T02:07:44+00:00,2026-08-13T03:28:09.510215+00:00,496,Binance_Scalping_Signale
585786,11657,"⚡️⚡️ ZEREBRO/USDT ⚡️⚡️
Signal Type: Regular (Short...
5) 0.03518
6) 0.03462
7) 🚀🚀🚀

Stop Targets:
5-10%",feb376af600a71511aeb73e32d90d631,2026-08-13T02:07:44+00:00,2026-08-13T03:28:09.497309+00:00,496,Binance_Scalping_Signale
585784,11652,"⚡️⚡️ ZRO/USDT ⚡️⚡️
Signal Type: Regular (Short)
Le...
5) 0.75811
6) 0.74601
7) 🚀🚀🚀

Stop Targets:
5-10%",f57e5f68cf1986717870cc69df56c869,2026-08-13T02:07:44+00:00,2026-08-13T03:28:09.484040+00:00,496,Binance_Scalping_Signale
586901,11684,"#BR/USDT

Signal type: LONG🟢

Leverage: 20x

Entry... Stop Loss: 0.10536
✍️ http://t.me/GRAYSON_WILLIAM",e068f1cedec55e5890e58382ead31635,2026-08-13T06:31:37+00:00,2026-08-13T06:58:13.473005+00:00,496,Binance_Scalping_Signale
586893,11669,"#APR/USDT

Signal type: LONG🟢

Leverage: 20x

Entr...️ Stop Loss: 0.1858
✍️ http://t.me/GRAYSON_WILLIAM",f8a1a34881a2b3d19248466088cb1b6c,2026-08-13T06:31:36+00:00,2026-08-13T06:58:13.278708+00:00,496,Binance_Scalping_Signale
595669,11754,"⚡️⚡️ XMR/USDT ⚡️⚡️
Signal Type: Regular (Short)
Le...371.61960
6) 365.68950
7) 🚀🚀🚀

Stop Targets:
5-10%",288d33db987e72b1ae7de42f0c4ee3cd,2026-08-14T05:25:22+00:00,2026-08-14T05:31:52.107768+00:00,496,Binance_Scalping_Signale
