id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
572303,6134,"〰️SIGNAL PERSIAN GULG〰️

 #SKHY/USDT 

(25X〰️〰️〰️〰...45.00


〰️STOP LOSS:135.0

 Crypto Persian Gulf 〰️",4345f91b6d3ada0771e8c5da924a787f,2026-08-11T17:36:43+00:00,2026-08-11T18:18:02.536735+00:00,545,CryptoPrGulf
573862,6142,"#BTC🪙
آپدیت وضعیت بیتکوین،تایم۴ساعته..⌛
، بیت‌کوین...
📊تمام سطوح مهم روی چارت مشخص شده؛
〰️@Cryptoprgulf",978d7dc6b92ac9b958bff799ff5f6ffe,2026-08-11T21:10:23+00:00,2026-08-11T22:11:15.435056+00:00,545,CryptoPrGulf
576710,6167,"〰️SIGNAL PERSIAN GULF〰️

 #PROM/USDT 

(25X〰️〰️〰️〰...️:2.28


〰️STOP LOSS:2.80

 Crypto Persian Gulf 〰️",eeecaba8f77afecc1d0667d66ad1322a,2026-08-12T05:25:33+00:00,2026-08-12T06:43:50.609111+00:00,545,CryptoPrGulf
577457,6179,"〰️SIGNAL PERSIAN GULG〰️

 #STORJ/USDT 

(25X〰️〰️〰️...740


〰️STOP LOSS:0.04930

 Crypto Persian Gulf 〰️",0009f14fe901e48bbfb4af1d2a37c2ba,2026-08-12T07:57:58+00:00,2026-08-12T08:21:05.756101+00:00,545,CryptoPrGulf
577454,6175,"〰️SIGNAL PERSIAN GULG〰️

 #TUT/USDT 

(25X〰️〰️〰️〰️...840


〰️STOP LOSS:0.07010

 Crypto Persian Gulf 〰️",5f305df4585c66cd9a6afcbcd4f9e429,2026-08-12T07:12:03+00:00,2026-08-12T08:21:05.742887+00:00,545,CryptoPrGulf
578198,6186,"〰️SIGNAL PERSIAN GULG〰️

 #PROM/USDT 

(25X〰️〰️〰️〰...️:3.23


〰️STOP LOSS:2.85

 Crypto Persian Gulf 〰️",e684c5a84890447ae7d80dcc0079db7c,2026-08-12T10:09:21+00:00,2026-08-12T10:15:54.643501+00:00,545,CryptoPrGulf
578202,6183,"〰️SIGNAL PERSIAN GULG〰️

 #ARPA/USDT 

(25X〰️〰️〰️〰...50


〰️STOP LOSS:0.007800

 Crypto Persian Gulf 〰️",5729c7d37488b71d01f5ed151696e13a,2026-08-12T09:46:50+00:00,2026-08-12T10:15:54.684298+00:00,545,CryptoPrGulf
579013,6199,"〰️SIGNAL PERSIAN GULG〰️

 #BR/USDT 

(25X〰️〰️〰️〰️〰...470


〰️STOP LOSS:0.19600

 Crypto Persian Gulf 〰️",81d63fdff4f8c74b90b1654a99903a0c,2026-08-12T11:55:05+00:00,2026-08-12T12:00:46.403870+00:00,545,CryptoPrGulf
579010,6194,"〰️SIGNAL PERSIAN GULF〰️

 #ETH/USDT 

(35X〰️〰️〰️〰️....80


〰️STOP LOSS:1952.59

 Crypto Persian Gulf 〰️",e5971bbe7d0b65bcaba16e3b54f4f4dd,2026-08-12T11:13:43+00:00,2026-08-12T12:00:46.381551+00:00,545,CryptoPrGulf
579779,6204,"〰️SIGNAL PERSIAN GULF〰️

 #PROM/USDT 

(25X〰️〰️〰️〰...3.030


〰️STOP LOSS:3.390

 Crypto Persian Gulf 〰️",892a80f1035ee6503cff51607a052d63,2026-08-12T12:57:53+00:00,2026-08-12T13:35:10.974348+00:00,545,CryptoPrGulf
581352,6218,"〰️SIGNAL PERSIAN GULG〰️

 #NIL/USDT 

(25X〰️〰️〰️〰️...700


〰️STOP LOSS:0.04110

 Crypto Persian Gulf 〰️",d5fd973012515fbed1f20c42317f70af,2026-08-12T15:26:27+00:00,2026-08-12T16:54:34.631463+00:00,545,CryptoPrGulf
581353,6216,"〰️SIGNAL PERSIAN GULF〰️

 #AAVE/USDT 

(25X〰️〰️〰️〰....750


〰️STOP LOSS:91.600

 Crypto Persian Gulf 〰️",763167d6d53fb6d2d6cbf54f36ca8bbb,2026-08-12T15:17:18+00:00,2026-08-12T16:54:34.651093+00:00,545,CryptoPrGulf
592138,6275,"〰️SIGNAL PERSIAN GULG〰️

 #APR/USDT 

(25X〰️〰️〰️〰️...5370


〰️STOP LOSS:0.4680

 Crypto Persian Gulf 〰️",5570965ab6de601b54c89bf3d817f800,2026-08-13T18:15:50+00:00,2026-08-13T18:50:59.406343+00:00,545,CryptoPrGulf
609578,6363,"〰️SIGNAL PERSIAN GULF〰️

 #COW/USDT 

(25X〰️〰️〰️〰️...1430


〰️STOP LOSS:0.1677

 Crypto Persian Gulf 〰️",1e4859669f124d57fe014cbbbd7ad4f4,2026-08-15T09:42:19+00:00,2026-08-15T10:04:09.836919+00:00,545,CryptoPrGulf
