id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
369301,47043,"#FARTCOIN/USDT - Short🔴

Entry: 0.1223
Stop Loss: ... 7: 0.12114
Target 8: 8
Target 9: 9

Leverage: x31",5735d4389910e0ec3b651236fcb01fb0,2026-07-25T08:16:04+00:00,2026-07-25T08:50:44.666154+00:00,425,Trading_Trader_Free
370036,47102,"#ETC/USDT - Long🟢

Entry: 6.986
Stop Loss: 6.91816...Target 4: 7.11384
Target 5: 7.10347

Leverage: x60",a92897249b48a811e780916a474469d3,2026-07-26T11:47:01+00:00,2026-07-26T12:24:26.609219+00:00,425,Trading_Trader_Free
370059,47091,"#SUI/USDT - Long🟢

Entry: 0.7217
Stop Loss: 0.43419

Target 1: 0.79628

Leverage: x14",8f7aac7342020d4323a56f3638c80cda,2026-07-26T06:04:52+00:00,2026-07-26T12:24:26.691202+00:00,425,Trading_Trader_Free
370072,47081,"#FARTCOIN/USDT - Long🟢

Entry: 0.1302
Stop Loss: 0.07805

Target 1: 0.14285

Leverage: x27",a3eddc02c3063431d553eeb13dba075f,2026-07-26T03:41:04+00:00,2026-07-26T12:24:26.748640+00:00,425,Trading_Trader_Free
370052,47071,"#AKE/USDT - Short🔴

Entry: 0.00309
Stop Loss: 0.00...Target 1: 0.00267
Target 2: 0.00199

Leverage: x21",e2daa66b3c942b76f485befc638b8c3d,2026-07-25T22:17:31+00:00,2026-07-26T12:24:26.654602+00:00,425,Trading_Trader_Free
370048,47062,"#DOT/USDT - Long🟢

Entry: 0.823
Stop Loss: 0.49373

Target 1: 0.90526

Leverage: x14",39e95444f4b6a3743d81b5a08ed3c5c6,2026-07-25T16:54:47+00:00,2026-07-26T12:24:26.649263+00:00,425,Trading_Trader_Free
370025,47051,"#VANRY/USDT - Long🟢

Entry: 0.00522
Stop Loss: 0.0...
Target 2: 0.00565
Target 3: 0.0061

Leverage: x19",8e784de14ce156199ed16b6563499529,2026-07-25T12:01:13+00:00,2026-07-26T12:24:26.527570+00:00,425,Trading_Trader_Free
384550,47116,"#LAB/USDT - Long🟢

Entry: 0.166
Stop Loss: 0.15057...Target 2: 0.19939
Target 3: 0.22823

Leverage: x19",a7ba28b99ef150a5e517a211eb56e91b,2026-07-26T17:21:34+00:00,2026-07-26T17:40:05.259521+00:00,425,Trading_Trader_Free
394917,47126,"#JUP/USDT - Long🟢

Entry: 0.1889
Stop Loss: 0.1856...Target 2: 0.19328
Target 3: 0.19648

Leverage: x21",d4772c061b8826baf6a8d10884b99123,2026-07-26T22:01:59+00:00,2026-07-26T22:55:20.202618+00:00,425,Trading_Trader_Free
396827,47139,"#BNT/USDT - Long🟢

Entry: 0.2877
Stop Loss: 0.2541...arget 8: 8
Target 9: 9
Target 10: 0

Leverage: x31",a7b6f0438a335db3929f5a1c3a20637c,2026-07-27T00:01:00+00:00,2026-07-27T00:12:41.417419+00:00,425,Trading_Trader_Free
399641,47143,"#BOME/USDT - Long🟢

Entry: 0.00056
Stop Loss: 0.00...arget 8: 8
Target 9: 9
Target 10: 0

Leverage: x29",32e2846478f7273ba5e1dfa450ab837a,2026-07-27T02:00:57+00:00,2026-07-27T02:42:34.532992+00:00,425,Trading_Trader_Free
414194,47312,"#TIA/USDT - Short🔴

Entry: 0.3238
Stop Loss: 0.334...
Target 2: 0.3189
Target 3: 0.31593

Leverage: x21",08fe879b265faf3ad30d35e159c2e10e,2026-07-29T03:00:50+00:00,2026-07-29T03:07:30.262669+00:00,425,Trading_Trader_Free
415015,47335,"#RUNE/USDT - Short🔴

Entry: 0.4357
Stop Loss: 0.44...Target 2: 0.42747
Target 3: 0.42348

Leverage: x21",6a4b02998a47346a99e145af6d28d6ac,2026-07-29T05:01:54+00:00,2026-07-29T05:50:16.677377+00:00,425,Trading_Trader_Free
416836,47345,"#ATOM/USDT - Short🔴

Entry: 1.281
Stop Loss: 1.303...Target 2: 1.24639
Target 3: 1.21243

Leverage: x21",100b8a42825de7cf31402fd60af414da,2026-07-29T13:01:16+00:00,2026-07-29T14:00:52.855991+00:00,425,Trading_Trader_Free
418857,47366,"#UB/USDT - Short🔴

Entry: 0.15
Stop Loss: 0.16218
...Target 1: 0.13897
Target 2: 0.12528

Leverage: x37",fb25fd5ba08594fa640beecea1a05a64,2026-07-29T18:23:31+00:00,2026-07-29T19:25:15.021492+00:00,425,Trading_Trader_Free
422797,47381,"#ENA/USDT - Short🔴

Entry: 0.07787
Stop Loss: 0.08...
Target 3: 0.07554
Target 4: 0.0742

Leverage: x19",73d20c73bdc56ced782deeba985907e9,2026-07-29T20:01:56+00:00,2026-07-29T20:46:40.041995+00:00,425,Trading_Trader_Free
427199,47404,"#AKE/USDT - Short🔴

Entry: 0.00381
Stop Loss: 0.00...Target 1: 0.00342
Target 2: 0.00286

Leverage: x32",7743e4cfbc65feb3cb66a1e76039ca7a,2026-07-29T21:52:06+00:00,2026-07-29T22:14:33.923291+00:00,425,Trading_Trader_Free
438232,47417,"#XRP/USDT - Long🟢

Entry: 1.0773
Stop Loss: 1.0649...Target 4: 1.09278
Target 5: 1.10444

Leverage: x43",752a27b8c04d2048ed63a617444f4332,2026-07-30T02:41:01+00:00,2026-07-30T03:26:44.317092+00:00,425,Trading_Trader_Free
