id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1012482,7821,"🔖 Signal ID: 017
📩 #ONDOUSDT 15M | MACD Cross
📈 Lo...icipate swift execution toward the nearest target.",174b6dcf950aca040ba8ac8a277e6f69,2026-09-01T10:54:16+00:00,2026-09-01T11:41:54.646434+00:00,663,UKPJDSVI
1012460,7820,"🔖 Signal ID: 016
📩 #STRKUSDT 15M | MACD Cross
📈 Lo...icipate swift execution toward the nearest target.",12d83502157f1ec751a2e154f33a7d35,2026-09-01T10:54:15+00:00,2026-09-01T11:41:54.554878+00:00,663,UKPJDSVI
1012458,7819,"🔖 Signal ID: 015
📩 #JUPUSDT 15M | MACD Cross
📈 Lon...t objective and extension toward the final target.",108cb897f86f8155c8087a204e80e9b7,2026-09-01T10:54:15+00:00,2026-09-01T11:41:54.548228+00:00,663,UKPJDSVI
1012478,7817,"🔖 Signal ID: 013
📩 #SEIUSDT 15M | MACD Cross
📈 Lon...icipate swift execution toward the nearest target.",e1aeff857e58a8d57fe07f83ca22c5da,2026-09-01T10:54:14+00:00,2026-09-01T11:41:54.623007+00:00,663,UKPJDSVI
1012468,7818,"🔖 Signal ID: 014
📩 #ICPUSDT 15M | MACD Cross
📈 Lon...t objective and extension toward the final target.",6a6453d79b50c0153048300d47ad1b91,2026-09-01T10:54:14+00:00,2026-09-01T11:41:54.582137+00:00,663,UKPJDSVI
1012470,7815,"🔖 Signal ID: 011
📩 #PEPEUSDT 15M | MACD Cross
📈 Lo...t objective and extension toward the final target.",df9941ea8600d7beae2f2666e2b50413,2026-09-01T10:54:13+00:00,2026-09-01T11:41:54.586693+00:00,663,UKPJDSVI
1012465,7816,"🔖 Signal ID: 012
📩 #WIFUSDT 15M | EMA Cross
📈 Long...ea; expect a rapid move to secure initial profits.",f412c84ee03a2e8ae3db8a85aaa83326,2026-09-01T10:54:13+00:00,2026-09-01T11:41:54.581248+00:00,663,UKPJDSVI
1012469,7814,"🔖 Signal ID: 010
📩 #AAVEUSDT 15M | EMA Cross
📈 Lon...ea; expect a rapid move to secure initial profits.",ee76b5acaa0f05a6d8934d8c7b0d5ced,2026-09-01T10:54:12+00:00,2026-09-01T11:41:54.583618+00:00,663,UKPJDSVI
1012462,7813,"🔖 Signal ID: 008
📩 #SUIUSDT 15M | MACD Cross
📈 Lon...ea; expect a rapid move to secure initial profits.",16d7e7e3e6d9071de847b1fbaf7dcab0,2026-09-01T10:54:12+00:00,2026-09-01T11:41:54.572412+00:00,663,UKPJDSVI
1012472,7808,"🔖 Signal ID: 009
📩 #OPUSDT 15M | MACD Cross
📈 Long...t objective and extension toward the final target.",2da6704dea9fec5556c446f62ff4370e,2026-09-01T10:54:07+00:00,2026-09-01T11:41:54.590629+00:00,663,UKPJDSVI
1012479,7806,"🔖 Signal ID: 007
📩 #APTUSDT 15M | MACD Cross
📈 Lon...icipate swift execution toward the nearest target.",fda7e18b939c1ce2312968d6e07eba7f,2026-09-01T10:54:06+00:00,2026-09-01T11:41:54.637073+00:00,663,UKPJDSVI
1012464,7807,"🔖 Signal ID: 008
📩 #SUIUSDT 15M | MACD Cross
📈 Lon...ea; expect a rapid move to secure initial profits.",16d7e7e3e6d9071de847b1fbaf7dcab0,2026-09-01T10:54:06+00:00,2026-09-01T11:41:54.582806+00:00,663,UKPJDSVI
1012480,7805,"🔖 Signal ID: 006
📩 #XLMUSDT 15M | MACD Cross
📈 Lon...t objective and extension toward the final target.",dbbf21fdf962ce52323d9555a3587020,2026-09-01T10:54:05+00:00,2026-09-01T11:41:54.642771+00:00,663,UKPJDSVI
1012456,7804,"🔖 Signal ID: 005
📩 #SHIBUSDT 15M | EMA Cross
📈 Lon...ea; expect a rapid move to secure initial profits.",be06fee632632b883869a5863ea22ee7,2026-09-01T10:54:05+00:00,2026-09-01T11:41:54.531346+00:00,663,UKPJDSVI
1012481,7802,"🔖 Signal ID: 003
📩 #DOTUSDT 15M | MACD Cross
📈 Lon...t objective and extension toward the final target.",249974839fe3baed234decd1a894b3bd,2026-09-01T10:54:04+00:00,2026-09-01T11:41:54.645629+00:00,663,UKPJDSVI
