id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1045415,32305,"#AKE  /USDT — BUY (LONG) 
🎉
🟢 Leverage: Cross  50x...Risk Management:
Use only 2%– 3%of your portfolio.",c046eeef4d479b9f83894ce79e16be10,2026-09-02T20:45:43+00:00,2026-09-03T01:53:49.116584+00:00,929,binancefutures_and_spot_trading
1045414,32306,"#AKE long.📊

Targets: 0.0231, 0.0278, 0.0350",53f7c153704ff6a8b36ba0786817cefc,2026-09-02T20:45:43+00:00,2026-09-03T01:53:49.110856+00:00,929,binancefutures_and_spot_trading
1045413,32308,"📇 Setup: AKE/USDT 

LONG Trade 🛫

✔️ Leverage : 75...1 •0.02040
💰 Target 2 • 0.02120
💰 Target3 •0.02290",5e9017c2e08443e8002993a631a727f3,2026-09-02T20:45:43+00:00,2026-09-03T01:53:49.105167+00:00,929,binancefutures_and_spot_trading
1047974,32456,"⚡️⚡️ #ARK/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type:...
5) 0.11914
6) 0.12083
7) 🚀🚀🚀

Stop Targets:
5-10%",5b090a4d584aa9784c1eec393bef8019,2026-09-03T07:02:14+00:00,2026-09-03T07:05:00.116987+00:00,929,binancefutures_and_spot_trading
1047970,32458,"⚡️⚡️ #ANKR/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.00497
6) 0.00504
7) 🚀🚀🚀

Stop Targets:
5-10%",d3e8e2a6e94872162bfb24e905de5fda,2026-09-03T07:02:14+00:00,2026-09-03T07:05:00.072256+00:00,929,binancefutures_and_spot_trading
1047969,32454,LIT LONG 3.9225 TP1 4.008,87a744156f50f1338c10291e780e7187,2026-09-03T07:02:14+00:00,2026-09-03T07:05:00.054457+00:00,929,binancefutures_and_spot_trading
1047968,32457,"⚡️⚡️ #AIA/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type:...
5) 0.08159
6) 0.08274
7) 🚀🚀🚀

Stop Targets:
5-10%",abdda8ea664692d8f5bd78afaae68e8c,2026-09-03T07:02:14+00:00,2026-09-03T07:05:00.031544+00:00,929,binancefutures_and_spot_trading
1047967,32455,"ETHUSDT  
Exchanges: BINGX 

🟢 Short
Leverage- Cro...4.61
5) 2222.90
6) 2175.10
7) 🚀🚀🚀 

⛔️ SL:
2533.63",db060c192eb62a90ee4239f5499e8824,2026-09-03T07:02:14+00:00,2026-09-03T07:05:00.030496+00:00,929,binancefutures_and_spot_trading
1047965,32452,"#BR/USDT LONG     

👉Leverage : Cross 10× To 30×

...

1)  0.277
2)  0.290
3)  0.318

⭕Stoploss : 0.256",4cd919ebcf910363829b93e62eae4d7d,2026-09-03T07:02:10+00:00,2026-09-03T07:04:59.931647+00:00,929,binancefutures_and_spot_trading
1047964,32450,"#HEMI/USDT LONG     

👉Leverage : Cross 10× To 30×....02170
2)  0.02240
3)  0.02430

⭕Stoploss : 0.0197",e11f29f0c28bf03adb93205cf5983283,2026-09-03T07:02:10+00:00,2026-09-03T07:04:59.835353+00:00,929,binancefutures_and_spot_trading
1047960,32436,"HEMIUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....01528000
6) 0.01650000
7) 🚀🚀🚀 

⛔️ SL:
0.01100000",036007dfbd2112215dd6e06cbcb207ee,2026-09-03T07:02:09+00:00,2026-09-03T07:04:59.566157+00:00,929,binancefutures_and_spot_trading
1047957,32438,"APTUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....65167000
6) 0.70380000
7) 🚀🚀🚀 

⛔️ SL:
0.57750000",83d4ead4858f9b51a3e61aae7c8c5e98,2026-09-03T07:02:09+00:00,2026-09-03T07:04:59.461301+00:00,929,binancefutures_and_spot_trading
1047955,32433,"🪙 Coin: #BR/USDT
🧭 Type: #LONG

📈 Entry Zone:
0.27... within the zone and maintain strict risk control.",ae77d3cb9e1133b328f6f19e6901c49f,2026-09-03T07:02:09+00:00,2026-09-03T07:04:59.251245+00:00,929,binancefutures_and_spot_trading
1047952,32431,"#EGLD/USDT BUY (LONG) 

⚡️Leverage : Cross 25x to ... 5.04

⚠️Use only 3% - 5% amount of your portfolio",1053ede21d241450372a0988824dc1d8,2026-09-03T07:02:09+00:00,2026-09-03T07:04:58.902320+00:00,929,binancefutures_and_spot_trading
1047951,32422,"🚀 #LIT/USDT LONG SIGNAL 🚀
📍 Entry: 3.9225


🎯 Take... your risk, and let's catch this move together! 🪙🔥",3bbe92ab64fd0d4934200a0718bfb476,2026-09-03T07:02:09+00:00,2026-09-03T07:04:58.747701+00:00,929,binancefutures_and_spot_trading
1047949,32428,"APEXUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....27147000
6) 0.27531000
7) 🚀🚀🚀 

⛔️ SL:
0.24329500",31c02752e601577e9a76b342b91812b5,2026-09-03T07:02:09+00:00,2026-09-03T07:04:58.665891+00:00,929,binancefutures_and_spot_trading
