id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1060575,23250,"AKEUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ...4) 1.00
5) 2.00
6) 3.00
7) 🚀🚀🚀 

⛔️ SL:
0.01190000",8951eeb8550c9d1b7b3df7a612597510,2026-09-03T18:26:23+00:00,2026-09-03T20:27:10.644629+00:00,894,bitcoinhabebetg01
1060574,23249,"BTCUSDT  
Exchanges: BINGX 

🟢 Short
Leverage- Cro...0
5) 62633.60
6) 57622.91
7) 🚀🚀🚀 

⛔️ SL:
82900.00",1c29948f8c759d4ac8146e74a7701899,2026-09-03T18:26:23+00:00,2026-09-03T20:27:10.642178+00:00,894,bitcoinhabebetg01
1060578,23246,"BTC/ USDT/ SHORT
Entry at market price 

Cross || ...only 1% of your wallet. 
Manage your risk properly",0182efeed1e49cf096ba7ae4c20a4547,2026-09-03T18:26:22+00:00,2026-09-03T20:27:10.665850+00:00,894,bitcoinhabebetg01
1060580,23241,"🚀 #XPL/USDT LONG SIGNAL 🚀
📍 Entry: 0.09310


🎯 Tak...ur risk, and let's catch this move together! 🪙❤️‍🔥",e50484a999bcf7377624064b90ec4685,2026-09-03T14:47:31+00:00,2026-09-03T20:27:10.680673+00:00,894,bitcoinhabebetg01
1060570,23239,"🌈PAIR:- SOL/USDT
⚡️ Direction : LONG
🛠 Leverage: C...nt Usage:- 1 - 2%
(According To your Risk Setting)",75ab319e077eb03d655759c9f1b1e849,2026-09-03T14:47:31+00:00,2026-09-03T20:27:10.599187+00:00,894,bitcoinhabebetg01
1060568,23240,"$ONDOUSDT

LONG

RR : 2

LEVERAGE : 40x

ENTRY : 0...577

TAKE PROFITS 👇

1️⃣ 0.3666

STOPLOSS : 0.3533",6c5bba5b0615a22f5d91851060469fd9,2026-09-03T14:47:31+00:00,2026-09-03T20:27:10.584777+00:00,894,bitcoinhabebetg01
1082625,23262,"#USELESS/USDT BUY (LONG) 

⚡️Leverage : Cross 25x ....2420

⚠️Use only 3% - 5% amount of your portfolio",5e8911237abf47b9ea0faf96139398b8,2026-09-04T11:50:27+00:00,2026-09-04T12:03:00.563312+00:00,894,bitcoinhabebetg01
1082633,23257,"⭐️$USELESS/USDT  LONG 

🛡Leverage : Cross 25x50

‼....20297

Use only 3% - 5% amount of your portfolio🛍",bd957d8d2a6de4e47e4586f0d5f0c4a0,2026-09-04T11:50:26+00:00,2026-09-04T12:03:00.634552+00:00,894,bitcoinhabebetg01
1082632,23258,"USELESSUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Levera....31493000
6) 0.34012000
7) 🚀🚀🚀 

⛔️ SL:
0.22800000",d9602ad30d7f242e8c3e156c85ec3027,2026-09-04T11:50:26+00:00,2026-09-04T12:03:00.632287+00:00,894,bitcoinhabebetg01
1082631,23261,"#TRIA /USDT BUY (LONG) 

⚡️Leverage : Cross 25x to...04770

⚠️Use only 3% - 5% amount of your portfolio",1a57ff9dcafb4204e15e4b0299f9759d,2026-09-04T11:50:26+00:00,2026-09-04T12:03:00.618392+00:00,894,bitcoinhabebetg01
