id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1233929,8187,"⚡️$LSK/USDT⚡️

LONG
Leverage: 10X - 20X

Entry: 0....arget: 

1)0.173
2)0.178
3)0.185

Stoploss:  0.146",936d30cc3980137592ddc2f0e5923fe2,2026-09-12T02:14:34+00:00,2026-09-12T03:09:32.412940+00:00,1050,blackrockcryptocompany
1234248,8192,"#LSK/USDT LONG     

👉Leverage : Cross 10× To 30×
...

1)  0.221
2)  0.233
3)  0.257

⭕Stoploss : 0.204",4c3bdbf9a88e71b3a8d8540ae7536793,2026-09-12T07:03:31+00:00,2026-09-12T08:15:43.353147+00:00,1050,blackrockcryptocompany
1234658,8244,"📈 LONG #BTC

⚡️Entry:now
❌SL: 75.567
✅TP: 1R - 2R - 3R￼",ba042543d5d60afb12e696f206d94d44,2026-09-13T14:53:14+00:00,2026-09-13T19:01:52.762672+00:00,1050,blackrockcryptocompany
1234660,8243,"💫 Pair: INJ/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...
📈 Take Profit: 6.60 📈

⚠️ Stop Loss: 5.700 ⚠️

📈📈",7e159dd7d08312935ed54b2fdb9aab20,2026-09-13T14:16:57+00:00,2026-09-13T19:01:52.766494+00:00,1050,blackrockcryptocompany
1234668,8238,"🔻 $LSK/USDT — SHORT | 10–50x

🎯 ENTRY: 0.98 → 1.03...SL: 1.07

⚠️ RISK MANAGEMENT: Manage risk smartly.",5f6c1b013866c562bb85d9b1850b78f1,2026-09-13T11:28:23+00:00,2026-09-13T19:01:52.827318+00:00,1050,blackrockcryptocompany
1234656,8237,"#ILV/USDT - Long🟢

Entry:
4.252
Stop Loss:
3.71656...
Target 4:
4.63586
Target 5:
4.76146
Leverage: x32",eeb65f85cd1187fcde5e340a6a046f9e,2026-09-13T06:07:33+00:00,2026-09-13T19:01:52.753155+00:00,1050,blackrockcryptocompany
1234674,8235,"#LSK/USDT SHORT     

👉Leverage : Cross 10× To 30×...fit

1)  0.76
2)  0.65
3)  0.53

⭕Stoploss : 0.920",1aac9cc3cb7dbe5628c148c25a13d05e,2026-09-13T06:00:06+00:00,2026-09-13T19:01:52.889750+00:00,1050,blackrockcryptocompany
1234652,8231,"🔰 KAVA/USDT 🔰

🟢 LONG 20X

🔳 ENTRY :- 0.079

☑️ TARGET:- 0.081 - 0.085 - 0.091

🔴 STOP :- 0.074",d5409e498526b37474dd67dd02dea77e,2026-09-13T02:27:46+00:00,2026-09-13T19:01:52.742340+00:00,1050,blackrockcryptocompany
1234663,8230,"#DYM/USDT - Long🟢

Entry: 0.01526
Stop Loss: 0.013...Target 4: 0.01667
Target 5: 0.01705

Leverage: x32",a6445a53ea1545719f8528959bc9259e,2026-09-13T02:03:55+00:00,2026-09-13T19:01:52.795594+00:00,1050,blackrockcryptocompany
1234650,8229,"#MOVE/USDT - Short🔴

Entry: 0.0082
Stop Loss: 0.00...Target 4: 0.00801
Target 5: 0.00796

Leverage: x36",eead60f486ef3913aee4b57a23061ca1,2026-09-12T22:45:31+00:00,2026-09-13T19:01:52.725390+00:00,1050,blackrockcryptocompany
