id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1517519,1515,"💎 #Free Signal

✅ Long

Pair: #BNB/USDT

📊 Entry P...
4) 844.411

Stop Loss: 740.548

Leverage: 10x-20x",07b989d0e178ea9c366e8d0148ae452c,2026-09-22T01:57:52+00:00,2026-09-22T03:08:11.387524+00:00,1212,coincodecapsignalsclassic
1518833,1521,"📍Coin : #1MBABYDOGE/USDT

🟢 LONG 

👉 Entry: 0.0004...04415
🎯 Target 6: 0.0004460

❌ StopLoss: 0.0003940",efeaace9a4f3eed1b3b605f5e1e793dc,2026-09-22T04:25:17+00:00,2026-09-22T05:15:09.726116+00:00,1212,coincodecapsignalsclassic
1518832,1519,"🌟 VIP Signal

✅ Long

Pair: #BAT/USDT

📊 Entry Pri...) 0.082759

Stop Loss: 0.072580

Leverage: 10x-20x",5238923c01724b4e60312c1554e64519,2026-09-22T03:48:48+00:00,2026-09-22T05:15:09.724065+00:00,1212,coincodecapsignalsclassic
1521448,1524,"📍Coin : #1MBABYDOGE/USDT

🟢 LONG 

👉 Entry: 0.0004...04415
🎯 Target 6: 0.0004460

❌ StopLoss: 0.0003940",efeaace9a4f3eed1b3b605f5e1e793dc,2026-09-22T06:41:51+00:00,2026-09-22T07:15:25.127529+00:00,1212,coincodecapsignalsclassic
1536884,1534,"🌟 VIP Signal

✅ Long

Pair: #BCH/USDT

📊 Entry Pri...63
4) 284.18

Stop Loss: 249.23

Leverage: 10x-20x",8d91e22e56772b849ec3769d669eb427,2026-09-22T17:16:14+00:00,2026-09-22T18:46:20.614161+00:00,1212,coincodecapsignalsclassic
1557683,1552,"💎 #Free Signal

✅ Long

Pair: #THETA/USDT

📊 Entry...94
4) 0.2442

Stop Loss: 0.2141

Leverage: 10x-20x",54955552969536bbdcf1e025c0cc5eb3,2026-09-23T08:11:08+00:00,2026-09-23T10:13:50.174338+00:00,1212,coincodecapsignalsclassic
1560719,1560,"💎 #Free Signal

✅ Long

Pair: #ADA/USDT

📊 Entry P...
4) 0.26795

Stop Loss: 0.23499

Leverage: 10x-20x",0431fcd5c05ebb1778c25c65a9401b49,2026-09-23T11:31:50+00:00,2026-09-23T11:41:57.440353+00:00,1212,coincodecapsignalsclassic
1560717,1558,"🌟 VIP Signal

✅ Long

Pair: #BCH/USDT

📊 Entry Pri...79
4) 355.75

Stop Loss: 311.99

Leverage: 10x-20x",c5904af4d97a4f608f3173a204b4c12b,2026-09-23T11:20:14+00:00,2026-09-23T11:41:57.432582+00:00,1212,coincodecapsignalsclassic
1589352,1577,"🚨 #LSK/USDT | SHORT

⚡Leverage: Cross 20x

🎯Entry ... follow the signal and secure profits at targets.💎",0065ee7b57704bcb23bcc1a08363d54d,2026-09-24T10:00:39+00:00,2026-09-24T10:30:33.357552+00:00,1212,coincodecapsignalsclassic
1589350,1575,"💎 #Free Signal

🔴 Short

Pair: #ETC/USDT

📊 Entry ....144
4) 8.941

Stop Loss: 10.21

Leverage: 10x-20x",1d7d95fbcbd999d2f9a9f2a790cf7dab,2026-09-24T09:59:05+00:00,2026-09-24T10:30:33.347275+00:00,1212,coincodecapsignalsclassic
1589348,1572,"🌟 VIP Signal

✅ Long

Pair: #ETC/USDT

📊 Entry Pri....186
4) 9.370

Stop Loss: 8.217

Leverage: 10x-20x",d001ad28ea02f6df585b70dc37de0916,2026-09-24T09:58:28+00:00,2026-09-24T10:30:33.339472+00:00,1212,coincodecapsignalsclassic
1599636,1584,"💎 #Free Signal

✅ Long

Pair: #IOTA/USDT

📊 Entry ...) 0.049072

Stop Loss: 0.043036

Leverage: 10x-20x",e432543b0dc6ca6e8efc72eb5c24f048,2026-09-24T15:20:38+00:00,2026-09-24T16:36:34.695153+00:00,1212,coincodecapsignalsclassic
1615034,1599,"📍Coin : #XPL/USDT

🟢 LONG 

👉 Entry: 0.1177 - 0.11...t 5: 0.1235
🎯 Target 6: 0.1248

❌ StopLoss: 0.1130",56de69642c84a1a2407a3771140b45c5,2026-09-25T06:20:05+00:00,2026-09-25T06:49:41.734527+00:00,1212,coincodecapsignalsclassic
1615033,1595,"🌟 VIP Signal

✅ Long

Pair: #SNX/USDT

📊 Entry Pri...) 0.246162

Stop Loss: 0.215884

Leverage: 10x-20x",ff3b1639bd8dbdb9f44bd023d11f8716,2026-09-25T04:27:52+00:00,2026-09-25T06:49:41.625378+00:00,1212,coincodecapsignalsclassic
1615030,1592,"💎 #Free Signal

✅ Long

Pair: #TRX/USDT

📊 Entry P...
4) 0.36143

Stop Loss: 0.31697

Leverage: 10x-20x",317efaace0e8502afc2f325f7a87d628,2026-09-25T04:27:21+00:00,2026-09-25T06:49:41.382410+00:00,1212,coincodecapsignalsclassic
1615031,1590,"💎 #Free Signal

🔴 Short

Pair: #XLM/USDT

📊 Entry ...
4) 0.20641

Stop Loss: 0.23573

Leverage: 10x-20x",5a68a3a3c8810d1eb24550a5ff359e9b,2026-09-25T04:26:55+00:00,2026-09-25T06:49:41.384933+00:00,1212,coincodecapsignalsclassic
1615027,1587,"🌟 VIP Signal

✅ Long

Pair: #XLM/USDT

📊 Entry Pri...
4) 0.21595

Stop Loss: 0.18939

Leverage: 10x-20x",b61fe5c5727446a43472569b7b6c32b5,2026-09-25T04:26:20+00:00,2026-09-25T06:49:41.356652+00:00,1212,coincodecapsignalsclassic
1624328,1605,"💎 #Free Signal

🔴 Short

Pair: #LINK/USDT

📊 Entry...06
4) 13.109

Stop Loss: 14.971

Leverage: 10x-20x",e3344b8e9ddb4faac4fdbb89aa452fe2,2026-09-25T10:14:45+00:00,2026-09-25T10:54:31.889742+00:00,1212,coincodecapsignalsclassic
1624327,1603,"🌟 VIP Signal

✅ Long

Pair: #ALGO/USDT

📊 Entry Pr...) 0.111948

Stop Loss: 0.098178

Leverage: 10x-20x",0edd3f9faee940f4622b586665fd49f0,2026-09-25T10:14:41+00:00,2026-09-25T10:54:31.888467+00:00,1212,coincodecapsignalsclassic
1651966,1613,"💎 #Free Signal

🔴 Short

Pair: #QTUM/USDT

📊 Entry...) 0.972701

Stop Loss: 1.110835

Leverage: 10x-20x",18c8bd8197e28f6bb0a35c4abcd09311,2026-09-26T07:27:38+00:00,2026-09-26T08:33:43.735889+00:00,1212,coincodecapsignalsclassic
1651964,1612,"🌟 VIP Signal

✅ Long

Pair: #ADA/USDT

📊 Entry Pri...
4) 0.25332

Stop Loss: 0.22216

Leverage: 10x-20x",e19befcdfc0179e8cba85d5947b481fd,2026-09-26T07:27:38+00:00,2026-09-26T08:33:43.718376+00:00,1212,coincodecapsignalsclassic
