id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1095437,43524,"🔴 SHORT

#DASH/USDT

Entry zone : 59.66 - 57.93

T....14
52.39
50.65

Stop loss :61.9851

Leverage: 10x",f411d5396acb5d21a798a40ecc6bb7a1,2026-09-04T22:40:56+00:00,2026-09-05T01:07:40.036831+00:00,957,crryptowinners
1095439,43522,"#PUMP $PUMP LONG TRADE

ENTRY: 0.00427

TARGETS: 0.004438 - 0.004915

STOPLOSS: 0.00416",9a4f9c67de6396aa0bf5c9be7ad4337f,2026-09-04T21:41:47+00:00,2026-09-05T01:07:40.063984+00:00,957,crryptowinners
1095441,43521,"💰#4 / USDT👑

💎Setup Type: Strong LONG  🔖Opportunit...TP ➝ 0.02700

4️⃣TP ➝ 0.03500

🚫Stop Loss: 0.02100",193f8322957b59ad20c3ed26b6266b87,2026-09-04T20:26:59+00:00,2026-09-05T01:07:40.074887+00:00,957,crryptowinners
1101667,43702,"🟢 LONG  - $MAV

-  Entry market: 0.01122
- Entry l... the funds if trading without caution & knowledge.",881dfc34a236b4da5a5867264543bf70,2026-09-05T08:27:06+00:00,2026-09-05T08:34:15.661543+00:00,957,crryptowinners
1101662,43705,"📈 LONG #UAI/USDT

🚀 LEVERAGE : 50x

📊 ENTRY PRICE ...7

TP🟢0.490

TP🟢0.520

STOPLOSS 🔴0.440

REACTIONS?",8a5d4bd464804bddce9409811c151427,2026-09-05T08:27:06+00:00,2026-09-05T08:34:15.635778+00:00,957,crryptowinners
1101694,43699,"⭐️$UB/USDT  LONG 

🛡Leverage : Cross 25x50

‼️Entr....13430

Use only 3% - 5% amount of your portfolio🛍",c8b154c7a72184b70bac38bd21eee5a3,2026-09-05T08:19:18+00:00,2026-09-05T08:34:15.782204+00:00,957,crryptowinners
1101689,43700,"UBUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- C....17575000
6) 0.18981000
7) 🚀🚀🚀 

⛔️ SL:
0.13430000",afdf6bfa12c0c05c89f03dfc4283f0bb,2026-09-05T08:19:18+00:00,2026-09-05T08:34:15.729700+00:00,957,crryptowinners
1101683,43697,"🚀 #ZKP/USDT LONG SIGNAL 🚀
📍 Entry: 0.04978


🎯 Tak... your risk, and let's catch this move together! 🪙🔥",e374f6c5bc0d0212782315c8ebb6f8a4,2026-09-05T08:19:18+00:00,2026-09-05T08:34:15.704651+00:00,957,crryptowinners
1101681,43696,ZKP LONG 0.04979 TP1 0.05085,5121d37045cac4e1200ed4e97c96f336,2026-09-05T08:19:18+00:00,2026-09-05T08:34:15.700798+00:00,957,crryptowinners
1101695,43693,"✅ Long

#ZEC/USDT

Entry zone : 974.306 - 1004.44
...099.35
1129.34

Stop loss :934.1292

Leverage: 10x",ab688b9198dc2b16a557634c9a0716c0,2026-09-05T08:12:58+00:00,2026-09-05T08:34:15.783676+00:00,957,crryptowinners
