id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
581498,11962,"COIN: #FILUSDT
Leverage: 10x
Direction: SHORT | Ty...9526 - 0.68259 - 0.66148 - 0.61926
STOP LOSS: 0.76",1dc93d8ae4975d2577568c55d0f12ae3,2026-08-12T15:56:44+00:00,2026-08-12T17:15:54.007828+00:00,565,crypto_future_signalss
581501,11961,"SELL Signal (Short)

📊 Asset: SOL/USDT
⏱️ Time: 20... Boom

🛑 Stop Loss: 81.143000

⚠️ Manage your risk",c2e01c312d15e44b83e206c21058581e,2026-08-12T04:48:23+00:00,2026-08-12T17:15:54.025257+00:00,565,crypto_future_signalss
581499,11960,"#BANDUSDT 15m
STATUS : LONG 🚀 
👉 Entry :1 : 0.1638... 0.1736 (💰 6%)
⛔️ SL: 0.149058
LEVERAGE: Cross 10x",8296a5d21248b8f3be8f8acd3a476469,2026-08-11T15:58:59+00:00,2026-08-12T17:15:54.015036+00:00,565,crypto_future_signalss
581500,11959,"⬛️ Signal Strategy : Swing Pullback
🟥 #DOGEUSDT 4H... Entry + 0.2%
▪️ Exit: 50% TP1 / 30% TP2 / 20% TP3",4aee24116bec36cbaf5d5de43811fecb,2026-08-11T06:07:48+00:00,2026-08-12T17:15:54.023549+00:00,565,crypto_future_signalss
581502,11958,"💎 #Free Signal

🟢 Long

 #ONT/USDT

Entry : 

1) 0...0706

🛑 Stop  : 0.035699

Leverage: 10x (isolated)",b601bd0561eb69e616791cdea493410e,2026-08-10T15:36:04+00:00,2026-08-12T17:15:54.036368+00:00,565,crypto_future_signalss
586856,11963,"⬛️ Signal Strategy : Swing Pullback
🟥 #ETHUSDT 4H
... Entry + 0.2%
▪️ Exit: 50% TP1 / 30% TP2 / 20% TP3",685821ad129669889db24f4060860431,2026-08-13T06:06:03+00:00,2026-08-13T06:50:59.208314+00:00,565,crypto_future_signalss
591241,11964,"COIN: #TRXUSDT
Leverage: 10x
Direction: LONG | Typ...1 - 0.34443 - 0.35446 - 0.37453
STOP LOSS: 0.30765",55c63636f44f28561abefd75c724d996,2026-08-13T15:39:39+00:00,2026-08-13T17:04:56.411629+00:00,565,crypto_future_signalss
596324,11965,"⬛️ Signal Strategy : Swing Pullback
🟥 #SOLUSDT 4H
... Entry + 0.2%
▪️ Exit: 50% TP1 / 30% TP2 / 20% TP3",6b9e5ba23797012e301c3923fe808558,2026-08-14T05:47:30+00:00,2026-08-14T07:12:09.684473+00:00,565,crypto_future_signalss
606789,11967,"COIN: #BNBUSDT
Leverage: 10x
Direction: LONG | Typ...15.53 - 626.48 - 644.72 - 681.22
STOP LOSS: 559.57",a5437fb21a9885b7375cf3d33aa613e1,2026-08-15T04:37:00+00:00,2026-08-15T04:46:09.768409+00:00,565,crypto_future_signalss
613555,11968,"COIN: #ATOMUSDT
Leverage: 10x
Direction: LONG | Ty...ETS: 1.499 - 1.525 - 1.57 - 1.659
STOP LOSS: 1.363",981051c1c9ef2f82316775fc9d5eb044,2026-08-15T16:16:08+00:00,2026-08-15T17:22:21.377245+00:00,565,crypto_future_signalss
654331,11975,"🔴 XAUUSDT — SHORT SCALP TRADE

Confidence: 🟢 HIGH
...4: 4327.00

🚫 Invalidation: 5m close above 4358.50",d554f70c14a849db04a41389ea1ff272,2026-08-19T04:56:51+00:00,2026-08-19T05:23:00.337646+00:00,565,crypto_future_signalss
649349,11974,"👁‍🗨 Breakout  

☰ #LINKUSDT  │  M15 + H1
☰ LONG : ...: 10.1

✖️ Stop-Loss: 9.069
🟰 After TP1 → SL to BE",d80ae42b9da1416306c616e5b35a3631,2026-08-18T15:43:13+00:00,2026-08-18T16:45:11.314124+00:00,565,crypto_future_signalss
643074,11973,"⬛️ Signal Strategy : Swing Pullback
🟥 #ETHUSDT 4H
... Entry + 0.2%
▪️ Exit: 50% TP1 / 30% TP2 / 20% TP3",82973b84f4152169be04dffb9e961bb3,2026-08-18T05:52:04+00:00,2026-08-18T06:46:59.475519+00:00,565,crypto_future_signalss
636740,11972,"👁‍🗨 MACD  

☰ #JUPUSDT  │  M15 + H1
☰ LONG : 0.168...---------------------------
Leaked By : Banana Bot",39155e7eca10e43c9fbed4537456633d,2026-08-17T15:59:53+00:00,2026-08-17T17:27:23.491150+00:00,565,crypto_future_signalss
