id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1613189,25276,"✅ Long

#ETC/USDT

Entry zone : 9.183 - 9.468

Tak....08
10.36
10.64

Stop loss :8.80524

Leverage: 10x",d1387721ec67bda6903b2a84ea7fd86f,2026-09-25T05:06:57+00:00,2026-09-25T06:42:05.722506+00:00,1249,crypto_jiamiadmin1
1620541,25505,"📈 LONG #QNT/USDT 

🚀 LEVERAGE : 75x

📊 ENTRY PRICE....6

TP🟢109.0

TP🟢114.0

STOPLOSS 🔴98.0

REACTIONS?",f9cf90989c21486ae00c349c982f40c0,2026-09-25T08:17:15+00:00,2026-09-25T08:53:16.502888+00:00,1249,crypto_jiamiadmin1
1620540,25504,"⭐️#XAI/USDT  LONG 

🛡Leverage : Cross 25x50

‼️Ent...008488

Use only 3% - 5% amount of your portfolio🛍",bcab55e21ce2c99c966f1e9f0062194e,2026-09-25T08:17:15+00:00,2026-09-25T08:53:16.486375+00:00,1249,crypto_jiamiadmin1
1620539,25503,XAIUSDT LONG NOW,1efa7a773fd4761b1df870b821963d71,2026-09-25T08:17:15+00:00,2026-09-25T08:53:16.390804+00:00,1249,crypto_jiamiadmin1
1620538,25502,"#QNT/USDT LONG   

👉Leverage : Cross 10× To 30×

E...e Profit

1)  105
2)  110
3)  118

⭕Stop Loss : 95",80945cff92e5ffbfd4503a8d39b977e0,2026-09-25T08:17:15+00:00,2026-09-25T08:53:16.369531+00:00,1249,crypto_jiamiadmin1
1620537,25501,"🚨 #LSK/USDT | SHORT

⚡Leverage: Cross 20x

🎯Entry ... follow the signal and secure profits at targets.💎",14a255362156ceffe7fce14b680986e8,2026-09-25T08:17:15+00:00,2026-09-25T08:53:16.241191+00:00,1249,crypto_jiamiadmin1
1620536,25500,"🚨 #SUPER/USDT | SHORT

⚡Leverage: Cross 20X

🎯Entr... follow the signal and secure profits at targets.💎",08247b5560d5c301835738e18ebf6d24,2026-09-25T08:17:14+00:00,2026-09-25T08:53:16.228546+00:00,1249,crypto_jiamiadmin1
1620535,25499,"📈 QNT/USDT 📈

🟢 LONG SETUP

💰 Entry Zone: 102.00–9...et 1. 
✅ Move SL to breakeven after Target 1 hits.",a67e7ab95df3ae53a0e1c12be722ab68,2026-09-25T08:17:14+00:00,2026-09-25T08:53:16.227518+00:00,1249,crypto_jiamiadmin1
1620534,25498,"🚨 #PHA/USDT | LONG

⚡Leverage: Cross 20x

🎯Entry T... follow the signal and secure profits at targets.💎",f9ef3ad5618289f8c1f3fad576bb55c5,2026-09-25T08:17:14+00:00,2026-09-25T08:53:16.133562+00:00,1249,crypto_jiamiadmin1
1620528,25492,"📊#ONDO/USDT — LONG

⚡️ Leverage : 10X – 30X

💹Entr...Entry After TP1

⚖️ Follow Proper Risk Management.",94a772121a77c03cbbac1c8715fcd333,2026-09-25T06:48:44+00:00,2026-09-25T08:53:15.868686+00:00,1249,crypto_jiamiadmin1
