id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1050269,11666,"⚡️$ADA/USDT { 25X }

📈 DIRECTION : { LONG }

🔍 ENT...121
➡️0.2142
➡️0.2168
➡️0.2199

🔴STOPLOSS : 0.2000",55b82f4b7525b63933a154a9cb1205c0,2026-09-03T08:21:33+00:00,2026-09-03T08:24:37.229727+00:00,927,crypto_masterpro_signals
1050261,11657,"📊 Let’s LONG #MARSCOIN/USDT

💥 Leverage:  Cross 20...: 

1) 0.102
2) 0.111
3) 0.125

🔖 Stop Loss: 0.095",735a4e3ccb07f195f7179a57dbedbd04,2026-09-03T08:21:13+00:00,2026-09-03T08:24:27.682778+00:00,927,crypto_masterpro_signals
1050259,11654,ARB long 0.1350 tp 0.1378,b98972ecdf1d2354b0ef8fc7ae01a8b2,2026-09-03T08:21:13+00:00,2026-09-03T08:24:27.611718+00:00,927,crypto_masterpro_signals
1050256,11651,"#ARB/USDT LONG     

👉Leverage : Cross 10× To 30×
...)  0.1378
2)  0.1440
3)  0.1540

⭕Stoploss : 0.126",fd769bf855b6743ed7e49e840114c241,2026-09-03T08:21:13+00:00,2026-09-03T08:24:27.388311+00:00,927,crypto_masterpro_signals
1050255,11653,"COIN: #ARB/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",23127075fe98a79b4f3f1f583e159b6b,2026-09-03T08:21:13+00:00,2026-09-03T08:24:27.384463+00:00,927,crypto_masterpro_signals
1050233,11629,LIT LONG 3.9225 TP1 4.008,87a744156f50f1338c10291e780e7187,2026-09-03T07:09:48+00:00,2026-09-03T08:24:26.421884+00:00,927,crypto_masterpro_signals
1050232,11628,"🚀 #LIT/USDT LONG SIGNAL 🚀
📍 Entry: 3.9225


🎯 Take... your risk, and let's catch this move together! 🪙🔥",3bbe92ab64fd0d4934200a0718bfb476,2026-09-03T07:09:48+00:00,2026-09-03T08:24:26.382084+00:00,927,crypto_masterpro_signals
1050231,11626,"⚡️⚡️ #APEX/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.27147
6) 0.27531
7) 🚀🚀🚀

Stop Targets:
5-10%",769cad8c111057a6d271c92821ab35b8,2026-09-03T07:09:48+00:00,2026-09-03T08:24:26.381106+00:00,927,crypto_masterpro_signals
1050229,11627,"🔴 SHORT

#ADA/USDT

Entry : 

1) 0.20340
2) 0.2095...18932

🛑 Stop : 0.21621

Leverage : 10x (isolated)",d81f055eb2e195d6021d744e5013d97c,2026-09-03T07:09:48+00:00,2026-09-03T08:24:26.337802+00:00,927,crypto_masterpro_signals
1050238,11625,"⚡️⚡️ #ANKR/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.00497
6) 0.00504
7) 🚀🚀🚀

Stop Targets:
5-10%",d3e8e2a6e94872162bfb24e905de5fda,2026-09-03T07:09:41+00:00,2026-09-03T08:24:26.546293+00:00,927,crypto_masterpro_signals
1050237,11623,"#LONG 🟢🔤🔤🔤🔤🔤

#STX/USDT

Margin Mode : Isolated 💎
...0

🟥 SL : 0.2660 - 100%   

📊 LEV : 20X

🇯🇵Premium",696b5a6641a83d699649960c4658e3e2,2026-09-03T07:09:40+00:00,2026-09-03T08:24:26.489074+00:00,927,crypto_masterpro_signals
1050228,11622,"📊 #USELESS/USDT

🟢 POSITION: LONG

💰 ENTRY RANGE
➤...
➤ 0.095

━━━━━━━━━━━━━━━━━━

✅ Manage risk wisely",81f1a2e7df51acdfa5b3a1715d21c9b1,2026-09-03T07:09:40+00:00,2026-09-03T08:24:26.336995+00:00,927,crypto_masterpro_signals
1050227,11624,"🔰EGLD/USDT 🔰   

🔴 SHORT 10X 20X

♻ ENTRY 
1️⃣ 4.9...GET  
1️⃣ 4.85
2️⃣ 4.73
3️⃣ 4.54

⛔ STOPLOSS  5.35",64cbfe9023948ab8057c44055904a935,2026-09-03T07:09:40+00:00,2026-09-03T08:24:26.334333+00:00,927,crypto_masterpro_signals
1050225,11621,"🪙 Coin: #BR/USDT
🧭 Type: #LONG

📈 Entry Zone:
0.27... within the zone and maintain strict risk control.",ae77d3cb9e1133b328f6f19e6901c49f,2026-09-03T07:09:40+00:00,2026-09-03T08:24:26.158811+00:00,927,crypto_masterpro_signals
1050226,11615,"#BR/USDT LONG     

👉Leverage : Cross 10× To 30×

...

1)  0.277
2)  0.290
3)  0.318

⭕Stoploss : 0.256",4cd919ebcf910363829b93e62eae4d7d,2026-09-03T07:09:39+00:00,2026-09-03T08:24:26.161129+00:00,927,crypto_masterpro_signals
1050224,11613,"#MARSCOIN/USDT LONG     

👉Leverage : Cross 10× To...

1)  0.092
2)  0.095
3)  0.098

⭕Stoploss : 0.086",c6521b5516bd1985432983615c37e18a,2026-09-03T07:09:39+00:00,2026-09-03T08:24:26.123119+00:00,927,crypto_masterpro_signals
1050221,11609,"APTUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....65167000
6) 0.70380000
7) 🚀🚀🚀 

⛔️ SL:
0.57750000",83d4ead4858f9b51a3e61aae7c8c5e98,2026-09-03T07:09:39+00:00,2026-09-03T08:24:25.921415+00:00,927,crypto_masterpro_signals
1050216,11607,"HEMIUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....01528000
6) 0.01650000
7) 🚀🚀🚀 

⛔️ SL:
0.01100000",036007dfbd2112215dd6e06cbcb207ee,2026-09-03T07:09:39+00:00,2026-09-03T08:24:25.645523+00:00,927,crypto_masterpro_signals
1050211,11598,"APEXUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....27147000
6) 0.27531000
7) 🚀🚀🚀 

⛔️ SL:
0.24329500",31c02752e601577e9a76b342b91812b5,2026-09-03T07:09:38+00:00,2026-09-03T08:24:25.053266+00:00,927,crypto_masterpro_signals
1050210,11597,"📊 Let’s LONG #HEMI/USDT

💥 Leverage:  Cross 20×

✔...1) 0.0212
2) 0.0221
3) 0.0240

🔖 Stop Loss: 0.0198",dd4208e04464c69437da7463bd2443f1,2026-09-03T07:09:38+00:00,2026-09-03T08:24:25.015611+00:00,927,crypto_masterpro_signals
1050209,11595,"XLMUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....19071000
6) 0.20597000
7) 🚀🚀🚀 

⛔️ SL:
0.16900000",1af923372f7db7c4f838dbc612322d7e,2026-09-03T07:09:38+00:00,2026-09-03T08:24:24.997559+00:00,927,crypto_masterpro_signals
1050208,11594,"AVAXUSDTUSDT  
Exchanges: BINGX 

🟢 Short
Leverage... 6.93
4) 6.75
5) 6.21
6) 5.71
7) 🚀🚀🚀 

⛔️ SL:
7.52",5fc596e8544cc5825fad2a59acc99a93,2026-09-03T07:09:38+00:00,2026-09-03T08:24:24.871538+00:00,927,crypto_masterpro_signals
1050206,11592,"⌛#LINK/USDT  ( SHORT )

🍁 Leverage 👉 20X to 25X 

...71 | 10.779 | 10.650 | 10.536

🔕 Stoploss = 11.647",4a1831cbe2a5750232048b2fbd002463,2026-09-03T07:09:38+00:00,2026-09-03T08:24:24.707462+00:00,927,crypto_masterpro_signals
1050205,11591,"Coin #HEMI/USDT

Position: LONG 

Leverage:  Cross...rgets: 🎯 0.0215, 0.0222, 0.0230

Stop Loss: 0.0200",9e7924482f0af27d218b6d266dc14add,2026-09-03T07:09:38+00:00,2026-09-03T08:24:24.695477+00:00,927,crypto_masterpro_signals
1050183,11585,"#NIGHT  /USDT — BUY (LONG) 
🎉
🟢 Leverage: Cross  5...Risk Management:
Use only 2%– 3%of your portfolio.",19b3cdd64c09c98c987a9627adb6990f,2026-09-03T07:09:38+00:00,2026-09-03T08:24:24.193834+00:00,927,crypto_masterpro_signals
1050182,11589,"LYNUSDT - LONG ( Swing trade ) 📈

Entry : 0.035 - ... 

*0.0405
0.042
0.044
0.048*

Stoploss at : 0.032",aae9af047e61df9367d599a30af56ff6,2026-09-03T07:09:38+00:00,2026-09-03T08:24:24.192947+00:00,927,crypto_masterpro_signals
1052139,11699,"PAIR: EDGE/USDT
DIRECTION: LONG

Entry Price
1) 0....sk Reminder: Use only 2% of your capital per trade",f0e0111ce055899cb351ef9d32d20500,2026-09-03T09:18:02+00:00,2026-09-03T10:05:35.101004+00:00,927,crypto_masterpro_signals
1052137,11701,"#USELESS /USDT BUY (LONG) 

⚡️Leverage : Cross 25x....1390

⚠️Use only 3% - 5% amount of your portfolio",be6bcef39abe01c83083923904dfa9a5,2026-09-03T09:18:02+00:00,2026-09-03T10:05:35.092293+00:00,927,crypto_masterpro_signals
