id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
986743,24481,"⭐️$FLOCK/USDT  LONG

🛡Leverage : Cross 25x50

‼️En....03718

Use only 3% - 5% amount of your portfolio🛍",aefc68a4732dc57b4b3adc87543adc0f,2026-08-31T08:29:42+00:00,2026-08-31T09:35:55.056625+00:00,873,crypto_traders24
986737,24474,"#BLESS /USDT — BUY (LONG) 
🎉
🟢 Leverage: Cross 50x...Risk Management:
Use only 2%– 3%of your portfolio.",88134a20ed0148f68a56be19bc4ba828,2026-08-31T08:29:27+00:00,2026-08-31T09:35:54.701630+00:00,873,crypto_traders24
986735,24473,"Coin #BLESS/USDT

Position: LONG 

Leverage:  Cros...rgets: 🎯 0.0128, 0.0135, 0.0146

Stop Loss: 0.0113",caca91a297ab6230629c826a61a4e5f7,2026-08-31T08:29:27+00:00,2026-08-31T09:35:54.609282+00:00,873,crypto_traders24
986726,24466,"#FLOCK/USDT SHORT     

👉Leverage : Cross 20× To 3...
1)  0.044
2)  0.040
3)  0.036

⭕Stoploss : 0.0490",d12600a2eecb45a99434848b2204fcd8,2026-08-31T08:29:27+00:00,2026-08-31T09:35:54.139581+00:00,873,crypto_traders24
986708,24454,"#FLOCK/USDT LONG     

👉Leverage : Cross 20× To 30...)  0.0463
2)  0.0475
3)  0.0510

⭕Stoploss : 0.040",8668156a82bbe6617f45f6f833a17bbd,2026-08-31T07:32:27+00:00,2026-08-31T09:35:54.032295+00:00,873,crypto_traders24
986706,24455,"🔴 SHORT

#COMP/USDT

Entry : 

1) 19.07
2) 19.64

...) 17.75

🛑 Stop : 20.27

Leverage : 10x (isolated)",f776605737a379c1a18f6831eb19ea27,2026-08-31T07:32:27+00:00,2026-08-31T09:35:53.995562+00:00,873,crypto_traders24
986702,24442,"XLMUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....20247000
6) 0.21867000
7) 🚀🚀🚀 

⛔️ SL:
0.16441000",cc94e366b648e64f3679dfc947366783,2026-08-31T07:13:46+00:00,2026-08-31T09:35:53.934449+00:00,873,crypto_traders24
982296,24436,"⚡️⚡️ #ALT/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type:...
5) 0.00669
6) 0.00679
7) 🚀🚀🚀

Stop Targets:
5-10%",aed3d1b01b648eed2f8bfb5a07c4b107,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.666576+00:00,873,crypto_traders24
982295,24434,"🚀 LONG: $UAI/USDT🚀
LEVERAGE: 20X-50X

🤍 ENTRY PRIC...50- 0.4350
—————

❌ STOP LOSS: 0.3250❌


REACTIONS",2b79de05c0f4f5746c9720a735e47ca5,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.649548+00:00,873,crypto_traders24
982294,24433,"📊 #LA/USDT

🟢 POSITION: LONG

💰 ENTRY RANGE
➤ 0.06...➤ 0.0520

━━━━━━━━━━━━━━━━━━

✅ Manage risk wisely",c3f72e9dc84f1b89d4e725a43e75317f,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.647027+00:00,873,crypto_traders24
982293,24435,"#SHORT 🔴 🔤🔤🔤🔤🔤

#NEAR/USDT 

Margin Mode : Isolate....636

🟩 SL : 1.902 - 100%

📊 LEV : 20X

🇯🇵 Premium",1fb37de39d885aa7b09cb0a1ef268798,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.644373+00:00,873,crypto_traders24
982292,24431,"🟢 Long

#TRX/USDT

Entry : 

1) 0.33663
2) 0.32653...35966

🛑 Stop : 0.31542

Leverage : 10x (isolated)",d592ed0cd8535ec47a73c127f77baa13,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.514161+00:00,873,crypto_traders24
982291,24430,"#AVNT/USDT

Direction: 📈 LONG 

🟢 Entry Range: 0.0...0
• Target 6: 0.10340

💠 Leverage : 5x - 10x - 20x",ee1929f4c2ab6358a8f2d9856bcfa906,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.490874+00:00,873,crypto_traders24
982290,24432,"COIN: #CLO/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",5b21d6cec11159ace7dfd57089406cc4,2026-08-31T07:13:46+00:00,2026-08-31T08:05:06.478889+00:00,873,crypto_traders24
