id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
528099,23482,"🔴 BTCUSDT — SHORT SCALP TRADE

Confidence: 🟢 7.8 /...ttps://www.weex.com/en/register?vipCode=cryptoaman",d02b9e8515f02f73e72281eef1fd8a06,2026-08-07T01:58:11+00:00,2026-08-07T02:42:25.635626+00:00,391,cryptoamanvipfreemium
530474,23489,"🔴 BTCUSDT — OLD SHORT STILL ACTIVE

Status: ✅ HOLD...ttps://www.weex.com/en/register?vipCode=cryptoaman",b7e7f3cb1d55e08a61f05a7db30dddcb,2026-08-07T08:15:16+00:00,2026-08-07T09:08:56.388084+00:00,391,cryptoamanvipfreemium
531394,23498,"✅ SCALP TRADE - ETH
🏮 TYPE - LONG

👉 ENTRY - $1910...ro/partner/CryptoAman/


Trader - Apple
#nfa #dyor",fca2908d5eb51e5fa8a6d4b5c75c8b26,2026-08-07T09:25:51+00:00,2026-08-07T11:02:58.300296+00:00,391,cryptoamanvipfreemium
531389,23497,"✅ SCALP TRADE - BTC

👉 ENTRY -  $64700 TO $64500

...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",226d66558a4be06253783ed2b3f9cf11,2026-08-07T09:22:03+00:00,2026-08-07T11:02:58.247443+00:00,391,cryptoamanvipfreemium
531386,23493,"🟢 BTCUSDT — OLD LONG STILL ACTIVE

Status: ✅ HOLD
...sting long; no new trade while this one is active.",e174ad1ca29b864286021e5c3e8c862b,2026-08-07T09:11:16+00:00,2026-08-07T11:02:58.141152+00:00,391,cryptoamanvipfreemium
505118,23446,"🟢 BTCUSDT — LONG SCALP TRADE

Confidence: 🟢 8.3 / ...ps://www.weex.com/en/register?vipCode=cryptoaman
•",0453aecd4a14851b7682088434fef852,2026-08-04T19:06:11+00:00,2026-08-04T19:36:38.747948+00:00,391,cryptoamanvipfreemium
501977,23439,"✅ SCALP TRADE - ETH
🏮 TYPE - LONG

👉 ENTRY - $1870...ro/partner/CryptoAman/


Trader - Apple
#nfa #dyor",99207a7587b3306080f1c9d7b0d876ed,2026-08-04T12:02:00+00:00,2026-08-04T12:40:40.896133+00:00,391,cryptoamanvipfreemium
501224,23433,"✅ SCALP TRADE - BTC

👉 ENTRY -  $63600 TO $63900

...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",1a0b0aee504a107abdca41a0767e5b86,2026-08-04T08:43:56+00:00,2026-08-04T10:40:03.543206+00:00,391,cryptoamanvipfreemium
501221,23431,"✅ SCALP TRADE - BTC 

👉 ENTRY -  $63600 TO $63900
...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",a03029c0566b6d76e001c41c92055d16,2026-08-04T08:43:00+00:00,2026-08-04T10:40:03.528658+00:00,391,cryptoamanvipfreemium
501220,23430,"✅ SCALP TRADE - BTC

👉 ENTRY -  $62624 TO $62281

...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",e18751b0b41255aa5c2e89cef5ca0a6b,2026-08-04T08:42:59+00:00,2026-08-04T10:40:03.508216+00:00,391,cryptoamanvipfreemium
