id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1232394,8905,"#UNIUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 6.208 👉 ... : 5.836 (💰 6%)
⛔️ SL: 6.76672
LEVERAGE: Cross 20x",ca2194566419d401532851d41b5d8642,2026-09-11T13:51:25+00:00,2026-09-11T13:55:59.908911+00:00,1023,cryptodylnewsvips
1232393,8904,"#YFIUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 2174 👉 E...3 : 2044 (💰 6%)
⛔️ SL: 2369.66
LEVERAGE: Cross 20x",ca7fa34e67fa8b18167de1df1890ce1f,2026-09-11T13:51:25+00:00,2026-09-11T13:55:59.884477+00:00,1023,cryptodylnewsvips
1232405,8886,"#RUNEUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.4949 👉... 0.5246 (💰 6%)
⛔️ SL: 0.450359
LEVERAGE: Cross 20x",2cc9926dc0125fe24ffcc57c5e4db55d,2026-09-11T12:18:15+00:00,2026-09-11T13:56:00.075981+00:00,1023,cryptodylnewsvips
1232402,8878,"#THETAUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1932... 0.1816 (💰 6%)
⛔️ SL: 0.210588
LEVERAGE: Cross 20x",b614833036e325113a34933aa1943366,2026-09-11T11:35:53+00:00,2026-09-11T13:56:00.066067+00:00,1023,cryptodylnewsvips
1233550,8941,"#CHRUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.01506 👉....01596 (💰 6%)
⛔️ SL: 0.0137046
LEVERAGE: Cross 20x",8c10fb9579b3546f6d35c362b4c926d2,2026-09-11T18:17:44+00:00,2026-09-11T18:22:41.899884+00:00,1023,cryptodylnewsvips
1233561,8926,"#MAVUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.010402...09778 (💰 6%)
⛔️ SL: 0.01133818
LEVERAGE: Cross 20x",9528f7326ed4dfa2c5293bcc9be8702e,2026-09-11T15:02:09+00:00,2026-09-11T18:22:41.964763+00:00,1023,cryptodylnewsvips
1233555,8923,"#HBARUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.07622....07165 (💰 6%)
⛔️ SL: 0.0830798
LEVERAGE: Cross 20x",0d136772c10081f6fe44fdb30347c280,2026-09-11T15:02:09+00:00,2026-09-11T18:22:41.935719+00:00,1023,cryptodylnewsvips
1233549,8925,"#PENDLEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 2.121... 1.9939 (💰 6%)
⛔️ SL: 2.312108
LEVERAGE: Cross 20x",e53d59a1835aa54e16595c12a97b241b,2026-09-11T15:02:09+00:00,2026-09-11T18:22:41.893682+00:00,1023,cryptodylnewsvips
1233559,8918,"#EDUUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.04992 ....04692 (💰 6%)
⛔️ SL: 0.0544128
LEVERAGE: Cross 20x",57cd9c9cc7f506135a5ceeeae62e552b,2026-09-11T14:19:49+00:00,2026-09-11T18:22:41.956202+00:00,1023,cryptodylnewsvips
1233756,8954,"#API3USDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2283 ... 0.2146 (💰 6%)
⛔️ SL: 0.248847
LEVERAGE: Cross 20x",ce50438021f90275ab8ece06935366d7,2026-09-11T21:19:39+00:00,2026-09-11T22:06:50.814476+00:00,1023,cryptodylnewsvips
1234210,8965,"#STXUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2662 👉... 0.2502 (💰 6%)
⛔️ SL: 0.290158
LEVERAGE: Cross 20x",3981707399d3391952d14164ae2d781a,2026-09-12T06:30:18+00:00,2026-09-12T07:01:32.963209+00:00,1023,cryptodylnewsvips
1235656,9104,"#CAKEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 2.2598 ... 2.1242 (💰 6%)
⛔️ SL: 2.463182
LEVERAGE: Cross 20x",f245289ea8b917d8eaf71a30a2957d3d,2026-09-13T19:00:19+00:00,2026-09-13T19:07:45.116888+00:00,1023,cryptodylnewsvips
1235653,9100,"#RUNEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.5153 ... 0.4844 (💰 6%)
⛔️ SL: 0.561677
LEVERAGE: Cross 20x",74d6d5d4ebd5243e71a2689b050f6739,2026-09-13T18:45:57+00:00,2026-09-13T19:07:45.104838+00:00,1023,cryptodylnewsvips
1235613,9091,"#ALGOUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.09537....08965 (💰 6%)
⛔️ SL: 0.1039533
LEVERAGE: Cross 20x",eb0e87b86d9ae20a8d27c0916579df49,2026-09-13T17:35:54+00:00,2026-09-13T19:07:31.784490+00:00,1023,cryptodylnewsvips
1235639,9088,"#KAVAUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.06201 ....06573 (💰 6%)
⛔️ SL: 0.0564291
LEVERAGE: Cross 20x",3d7acf3a5a8c8aca48fe4526afcda1ed,2026-09-13T17:28:45+00:00,2026-09-13T19:07:31.864215+00:00,1023,cryptodylnewsvips
1235615,9083,"#QTUMUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.9493 👉... 1.0063 (💰 6%)
⛔️ SL: 0.863863
LEVERAGE: Cross 20x",87db585d7e870d5502aa4450274d5072,2026-09-13T15:18:51+00:00,2026-09-13T19:07:31.788361+00:00,1023,cryptodylnewsvips
1235631,9071,"#HBARUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.07634....07176 (💰 6%)
⛔️ SL: 0.0832106
LEVERAGE: Cross 20x",7bf6810a996d0015fd13eee7816893db,2026-09-13T14:24:27+00:00,2026-09-13T19:07:31.840003+00:00,1023,cryptodylnewsvips
1235618,9070,"#KAVAUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.06523 ....06914 (💰 6%)
⛔️ SL: 0.0593593
LEVERAGE: Cross 20x",92884206874d6247943af7e08155c71a,2026-09-13T14:24:27+00:00,2026-09-13T19:07:31.797940+00:00,1023,cryptodylnewsvips
1235614,9072,"#OPUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.0976 👉 ...0.09174 (💰 6%)
⛔️ SL: 0.106384
LEVERAGE: Cross 20x",781059a5b5335764825f227d1d793966,2026-09-13T14:24:27+00:00,2026-09-13T19:07:31.783086+00:00,1023,cryptodylnewsvips
1235649,9063,"💰 ETC/USDT

↗️ The price of ETC is trading near th...ly is the liquidity at the previous high of $9.00.",04ab45f9ddaf5886489504881ef03508,2026-09-13T13:16:09+00:00,2026-09-13T19:07:31.913740+00:00,1023,cryptodylnewsvips
1235645,9060,"#FILUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.8315 👉... 0.7816 (💰 6%)
⛔️ SL: 0.906335
LEVERAGE: Cross 20x",b8447e8f49e8aaac9533f4dcba554bd6,2026-09-13T13:07:22+00:00,2026-09-13T19:07:31.883136+00:00,1023,cryptodylnewsvips
1235641,9058,"#XTZUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2744 👉... 0.2579 (💰 6%)
⛔️ SL: 0.299096
LEVERAGE: Cross 20x",4f0335d07b6fb9771c1e3a01b41c7aea,2026-09-13T13:07:21+00:00,2026-09-13T19:07:31.871855+00:00,1023,cryptodylnewsvips
1235605,9051,"#GMTUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.007892...07418 (💰 6%)
⛔️ SL: 0.00860228
LEVERAGE: Cross 20x",c3661f49221d72daafbae9542397a286,2026-09-13T12:48:07+00:00,2026-09-13T19:07:31.620088+00:00,1023,cryptodylnewsvips
1235638,9046,"#CELRUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.002153...02282 (💰 6%)
⛔️ SL: 0.00195923
LEVERAGE: Cross 20x",7d0b70ebf42b05a4dfb2d87e2eeaeb54,2026-09-13T11:00:37+00:00,2026-09-13T19:07:31.863339+00:00,1023,cryptodylnewsvips
1235647,9042,"#ZILUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.002961...02783 (💰 6%)
⛔️ SL: 0.00322749
LEVERAGE: Cross 20x",b3e1660bca7c1d0f78f8098b1ca69e4a,2026-09-13T10:41:36+00:00,2026-09-13T19:07:31.889197+00:00,1023,cryptodylnewsvips
1235617,9036,"#KAVAUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.07339 ....07779 (💰 6%)
⛔️ SL: 0.0667849
LEVERAGE: Cross 20x",37f051db13069dc34a9f8de950971472,2026-09-13T09:16:32+00:00,2026-09-13T19:07:31.799831+00:00,1023,cryptodylnewsvips
1235589,9026,"#EDUUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.05249 👉....05564 (💰 6%)
⛔️ SL: 0.0477659
LEVERAGE: Cross 20x",c86c39d5ac823cfceb9fd70a9f134885,2026-09-13T08:18:18+00:00,2026-09-13T19:07:31.433949+00:00,1023,cryptodylnewsvips
1235598,9020,"#ARKMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1049 ... 0.0986 (💰 6%)
⛔️ SL: 0.114341
LEVERAGE: Cross 20x",7652689b7bf56a03210aeffd1757cff7,2026-09-13T07:28:24+00:00,2026-09-13T19:07:31.527637+00:00,1023,cryptodylnewsvips
1235600,9016,"#QTUMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.9856 ... 0.9265 (💰 6%)
⛔️ SL: 1.074304
LEVERAGE: Cross 20x",c81746f2b1123f7c5ef479147a5f8d85,2026-09-13T06:09:09+00:00,2026-09-13T19:07:31.562772+00:00,1023,cryptodylnewsvips
1235599,9014,"#BATUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.078 👉 ... 0.07332 (💰 6%)
⛔️ SL: 0.08502
LEVERAGE: Cross 20x",8a7ce629bee645c99a30c4399d20dea8,2026-09-13T06:09:05+00:00,2026-09-13T19:07:31.545057+00:00,1023,cryptodylnewsvips
