id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1018556,41933,"ADAUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ...0
5) 0.28656000
6) 0.30948000
7) 🚀🚀🚀 

⛔️ SL:
5.00",d38ff522ffd63bef6b24dedef1151c76,2026-09-01T15:36:01+00:00,2026-09-01T16:38:15.666265+00:00,656,cryptofamily_trading1
1018555,41931,"COIN: #USELESS /USDT (LONG) SETUP

📊 Leverage 25x ...ENT IS KEY
Use only 1–2% of your capital per trade",a05243498cdcf0105dd37531761b2bd1,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.622108+00:00,656,cryptofamily_trading1
1018554,41924,"🟢 Long

#TRX/USDT

Entry : 

1) 0.32493
2) 0.31518...34716

🛑 Stop : 0.30445

Leverage : 10x (isolated)",e0ef6185d3eeaacf62d2d24c2178da7f,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.567197+00:00,656,cryptofamily_trading1
1018553,41926,"#SHORT 🔴 🔤🔤🔤🔤🔤

#BTC/USDT 

Margin Mode : Isolated...,392

🟩 SL : 79,543- 100%

📊 LEV : 30X

🇯🇵 Premium",17c7d4019bf5dc423ab112938f4776f3,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.542174+00:00,656,cryptofamily_trading1
1018552,41925,"✅ Long

Pair: #ATOM/USDT

📊 Entry Price: 

1) 1.47....539
4) 1.570

Stop Loss: 1.377

Leverage: 10x-20x",a280f048215200c9d3f17f094f40601e,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.523395+00:00,656,cryptofamily_trading1
1018551,41923,"🔰 MOVE/USDT 🔰

🟢 LONG 20X

🔳 ENTRY :- 0.0086

☑️ TARGET:- 0.0088 - 0.0092 - 0.0098

🔴 STOP :- 0.0080",604a09a1bbeffd0c5749d6809fe4b113,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.491090+00:00,656,cryptofamily_trading1
1018550,41920,"💫 Pair: BTC/USDT  💫

🔼 Direction: Long 🔼

✅ Levera... Profit: 80400.00 📈

⚠️ Stop Loss: 76200.00 ⚠️

📈📈",ac8ffdc634c624edb7818dc1df531e86,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.343668+00:00,656,cryptofamily_trading1
1018549,41919,"ETH/USD SELL 

Entry : $ 2440.17 

Target1: $  241...
Target2: $  2386
Target3: $ 2350


SL : $ 2472.58",59003602b92489241da4874b812a2727,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.340790+00:00,656,cryptofamily_trading1
1018548,41918,"ATOMUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-... 1.54
4) 1.57
5) 1.70
6) 1.83
7) 🚀🚀🚀 

⛔️ SL:
1.38",90d5d2596d55ab4a6f66be8d2aec86f8,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.328987+00:00,656,cryptofamily_trading1
1018547,41916,"SHORT

UNI/USDT

MARKET PRICE 

Leverage: 10X

TP:...5% of capital 

Always use proper risk management.",fcd7920858719dec6907f9646fa409df,2026-09-01T15:36:00+00:00,2026-09-01T16:38:15.256685+00:00,656,cryptofamily_trading1
