id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1608751,9354,"🟢 Long

🔰 Price Action : 🥇 Ember Strategy

#ATOM/U...) 1.793

🛑 Stop : 1.573

Leverage : 10x (isolated)",870d29cbb2cc068977b702c4e7dd498e,2026-09-24T16:18:35+00:00,2026-09-25T01:35:45.412865+00:00,1258,dubaicrypto07
1613048,9391,"✅ Long

Pair: #TRX/USDT

📊 Entry Price: 

1) 0.338...
4) 0.36143

Stop Loss: 0.31697

Leverage: 10x-20x",fd820493b29ba1bd97e588fa548dce98,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.329419+00:00,1258,dubaicrypto07
1613047,9390,"⚡️⚡️ #CATI/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.06493
6) 0.06584
7) 🚀🚀🚀

Stop Targets:
5-10%",8e2f04b42c8482bbf3f727da51b179be,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.316698+00:00,1258,dubaicrypto07
1613046,9389,"⚡️⚡️ #ALLO/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.30491
6) 0.30922
7) 🚀🚀🚀

Stop Targets:
5-10%",d64f225e4f91e1180fcc3e084914cf9b,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.300403+00:00,1258,dubaicrypto07
1613045,9388,"⚡️⚡️ #BOME/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.00109
6) 0.00111
7) 🚀🚀🚀

Stop Targets:
5-10%",bdaa1313c5c6e6b47b76b014392db10d,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.293520+00:00,1258,dubaicrypto07
1613044,9387,"⚡️⚡️ #USELESS/USDT ⚡️⚡️
Exchanges: Bingx 
Signal T...
5) 0.30112
6) 0.30539
7) 🚀🚀🚀

Stop Targets:
5-10%",ec269bfd34d9030ac9e61b657c858c8c,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.134060+00:00,1258,dubaicrypto07
1613041,9383,"🚀 $MANA/USDT PERP 🚀

🟢 LONG

💰 Entry : 0.0895$ – 0...5X – 25X

⛔️ SL : 0.0810$

📌 Use Only 2-5% Capital",81e962c599468817c66894eab1244396,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.069118+00:00,1258,dubaicrypto07
1613040,9385,"SOLUSDTUSDT  
Exchanges: BINGX 

🟢 Short
Leverage-... 112.74
5) 109.22
6) 106.87
7) 🚀🚀🚀 

⛔️ SL:
124.49",2bcfe9ebb049b87d6247e78e7595e423,2026-09-25T06:33:00+00:00,2026-09-25T06:40:21.066544+00:00,1258,dubaicrypto07
1613038,9381,"#POL - LONG 50X

Entry  0.1084
DCA 0.096

Targets 200% -300%-500% +++

SL= 0.08

Using 1% wallet",065eb39b752a5833e9950a5856625ff9,2026-09-25T06:33:00+00:00,2026-09-25T06:40:20.885395+00:00,1258,dubaicrypto07
1613037,9380,"🔰 FET/USDT 🔰

🔴 SHORT 20X

🔳 ENTRY :- 0.2230

☑️ TARGET:- 0.2180 - 0.2100 - 0.2000

🔴 STOP :- 0.2340",0dcde56b7d47092154dd061241484cb9,2026-09-25T06:33:00+00:00,2026-09-25T06:40:20.846590+00:00,1258,dubaicrypto07
1613036,9379,"🐳 QNT/USDT #LONG🐳

✳️ ENTRY :- 93.50 - 90.00

💢 LE... 107.00

⛔️ STOP-LOSS :- 86.00

☝️ Margin Use 2–3%",28fea562b59fff6cfc1e709378839814,2026-09-25T06:32:59+00:00,2026-09-25T06:40:20.845603+00:00,1258,dubaicrypto07
1613035,9378,"🚀 #BEATUSDT LONG SIGNAL 🚀

⚡️ LEVERAGE 50X–75X
📌 E...h this move together!

🔓 Trade Smart • Trade Safe.",2136e472c8e770a9c72845fbf045361d,2026-09-25T06:32:59+00:00,2026-09-25T06:40:20.840966+00:00,1258,dubaicrypto07
