id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1004609,21212,"🚀 SIGNAL ALERT 🚀

💎 Pair: NEAR/USDT
⏱️ Timeframe: ...━━━━━
 ❌ SL: 2.06

 ━━━━━━━━━
🟨Risk Management: 3%",49c14698355d7ddcf0fe9af057a3cf68,2026-09-01T05:33:52+00:00,2026-09-01T07:03:30.906848+00:00,485,free_crypto_future_signalss
1027433,21224,"✅ SCALP TRADE - ETH
🏮 TYPE - LONG

👉 ENTRY - $2415...2435, $2440 & $2450+
👉 SL - $2380

🚨LEVERAGE - 25x",b6d658b4993dba102fa96644781a7a16,2026-09-02T05:44:13+00:00,2026-09-02T05:54:52.719853+00:00,485,free_crypto_future_signalss
1038245,21230,"COIN: #TRXUSDT
Leverage: 10x
Direction: SHORT | Ty...3 - 0.31321 - 0.30353 - 0.28415
STOP LOSS: 0.34873",2fd41787241b2ba29ab3d61409fb03d1,2026-09-02T15:51:03+00:00,2026-09-02T17:12:28.952848+00:00,485,free_crypto_future_signalss
1047897,21234,"💥 Futures 

✅ Long

#KNC/USDT

Entry zone : 0.1080....12192
0.12525

Stop loss :0.103602

Leverage: 10x",d479488612a5b570c437c69568fe42fd,2026-09-03T05:35:00+00:00,2026-09-03T06:23:22.400605+00:00,485,free_crypto_future_signalss
1066918,21239,"🚀 SIGNAL ALERT 🚀

💎 Pair: INJ/USDT
⏱️ Timeframe: 1...━━━━
 ❌ SL: 4.778

 ━━━━━━━━━
🟨Risk Management: 3%",4e5f2d12b693e4b8b10b8a42472e1445,2026-09-03T15:40:48+00:00,2026-09-03T22:16:39.188621+00:00,485,free_crypto_future_signalss
1078047,21243,"$JTO Buying Setup: 

Entry: CMP till 0.4250
TP: 0....had eye on it now send it upside till POC 

Cheers",f12eba87ff4dfbc87ca7272c8bff59d7,2026-09-04T05:21:07+00:00,2026-09-04T07:55:18.477013+00:00,485,free_crypto_future_signalss
1113642,21248,"💎 #Free Signal

🔴 Short

 #DOGE/USDT

Entry : 

1)...1083

🛑 Stop  : 0.092597

Leverage: 10x (isolated)",574f035db7261ad5a918932d2c81b37e,2026-09-05T15:40:31+00:00,2026-09-05T16:00:09.513342+00:00,485,free_crypto_future_signalss
1152984,21260,"🔴 SHORT

#KAVA/USDT

Entry : 

1) 0.053910
2) 0.05...0180

🛑 Stop : 0.057306

Leverage : 10x (isolated)",3edc4d1e57ab73288adf6cf05c454d91,2026-09-07T06:04:10+00:00,2026-09-07T07:20:56.901873+00:00,485,free_crypto_future_signalss
1171911,21266,"🟢 Long

👉 Strategy :  Volume Strategy

#JST/USDT

...9337

 Stop : 0.1016738

Leverage : 10x (isolated)",129a95342239c60d505ae8fdccd08f17,2026-09-07T15:57:25+00:00,2026-09-07T18:22:00.606785+00:00,485,free_crypto_future_signalss
1196885,21269,"#FILUSDT 15m
STATUS : SHORT 🚀 
👉 Entry :1 : 0.8661... 0.8141 (💰 6%)
⛔️ SL: 0.944049
LEVERAGE: Cross 10x",c86339d54bac5becd70d7a424328c642,2026-09-08T15:25:55+00:00,2026-09-08T15:32:17.811780+00:00,485,free_crypto_future_signalss
