id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1551046,39351,"📊#BB/USDT–LONG–10x - 30x 🚀

📍 𝐄𝐧𝐭𝐫𝐲 𝐙𝐨𝐧𝐞:

➥ 0.010...tal.

⚠️ Disclaimer:
Trade at your own risk. DYOR.",299b3b027b9ba84cca06082165520c8e,2026-09-23T07:38:45+00:00,2026-09-23T08:07:10.904285+00:00,1218,gainsofcryptopro
1551044,39352,"Pair: #BB/USDT

Long • (20X)

Entry
0.010485 - 0.0...t your own risk. Always use proper risk management",28ad6e5d40edcf3a57b2fbcd95794d9e,2026-09-23T07:38:45+00:00,2026-09-23T08:07:10.888343+00:00,1218,gainsofcryptopro
1551048,39350,"⭐️#TAKE/USDT  LONG 

🛡Leverage : Cross 25x50

‼️En....10222

Use only 3% - 5% amount of your portfolio🛍",379b564bd893eb9c8d566a11c8a5d1f6,2026-09-23T07:14:25+00:00,2026-09-23T08:07:10.906886+00:00,1218,gainsofcryptopro
1557651,39381,"🔘 Coin : #SUPER/USDT 🔘

🔴 SHORT

🔺Entry🔻: 0.19651
... - 0.18078

♦️ StopLoss : 0.20388

🔱 Leverage: 25x",098b1c998e7b999cdb822a47ba72b970,2026-09-23T09:33:16+00:00,2026-09-23T10:12:43.179795+00:00,1218,gainsofcryptopro
1557650,39380,"🚀 LONG: $SUPER/USDT
LEVERAGE: 50x

✔️ENTRY PRICE: ...2030-0.2100-0.2280

STOP LOSS:  0.1850

REACTIONS?",f6e414607482bd661acacbbe73a35893,2026-09-23T09:21:59+00:00,2026-09-23T10:12:43.174184+00:00,1218,gainsofcryptopro
1557649,39379,"Pair: #BCH/USDT

Short • (25X)

Entry
352.65

Targ...t your own risk. Always use proper risk management",f4df9feeb1df0e18d489a4410b3a28c3,2026-09-23T09:21:59+00:00,2026-09-23T10:12:43.109136+00:00,1218,gainsofcryptopro
1557648,39378,"#TAKE        /USDT (SHORT) 🔽🔽

⌛LEVERAGE : 20X TO ...3


💥Use only 1%margin of your total portfolio❤️😘😇",81d518cafd29863155c352610dba5a37,2026-09-23T09:13:42+00:00,2026-09-23T10:12:43.088014+00:00,1218,gainsofcryptopro
1557647,39377,"#CORE        /USDT (SHORT) 🔽🔽

⌛LEVERAGE : 20X TO ...9


💥Use only 1%margin of your total portfolio❤️😘😇",ac5e70c3c04575f27a98b47ec5311cc8,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.991997+00:00,1218,gainsofcryptopro
1557646,39375,"🟢 Long

#BTC/USDT

Entry : 

1) 85868.60
2) 83292....3.31

🛑 Stop : 80458.87

Leverage : 10x (isolated)",3b1df33124cb838119310ac38167eb84,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.985710+00:00,1218,gainsofcryptopro
1557645,39376,"#TAKE  USDT — BUY (LONG) 
🎉
🟢 Leverage: Cross  25x...Stop Loss: 0.15000

🔽 Risk Management:

 REACTS !!",42e86a5b826eb0d6df8b8389c24a7b1f,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.983873+00:00,1218,gainsofcryptopro
1557644,39374,"👑My Coin: $PENGU/USDT
👀Looking for SHORT

🌟0.01081...I Will Set: 0.011199
°°°°°°°°°°°°°° As my stoploss",4d1e37576db0f7cec9df4aaf6523a84a,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.928424+00:00,1218,gainsofcryptopro
1557643,39373,"🪙#B2/USDT

🚩POSITION — SHORT

🔒  LEVERAGE — 20X75
...🥈: 0.4600
TP🥉: 0.4420

⛔️ SL: 0.5200

🔥REACTIONS?😜",50db07619e1363e33f5f4176c0dc7b3c,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.909047+00:00,1218,gainsofcryptopro
1557642,39372,"#B2/USDT SHORT NOW 📉
🏠ENTRY: ( 0.4748 )",47294056161cef81830d11a71109aa50,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.798550+00:00,1218,gainsofcryptopro
1557641,39371,"⭐️#PENGU/USDT  LONG 

🛡Leverage : Cross 25x50

‼️E...009973

Use only 3% - 5% amount of your portfolio🛍",f67f0bcf484c3de7902522390bffc2f1,2026-09-23T09:13:41+00:00,2026-09-23T10:12:42.782693+00:00,1218,gainsofcryptopro
1557639,39369,"💰#TAKE / USDT👑

💎Setup Type: Strong LONG  🔖Opportu...TP ➝ 0.21500

4️⃣TP ➝ 0.25000

🚫Stop Loss: 0.14000",76033e2a16d503c2c89b22b38f26feb1,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.749895+00:00,1218,gainsofcryptopro
1557637,39366,"$BTC LONG🟢 (25x Lev) 

Entry -  86200$

Targets

1...00$
3)87300$

SL- 85850$

Scalp With Very Small SL",5fd554ea55b37cd2702266c6028ed42b,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.604503+00:00,1218,gainsofcryptopro
1557636,39367,"✅ Long

#DOT/USDT

Entry zone : 1.141108 - 1.17640...87569
1.322685

Stop loss :1.094052

Leverage: 10x",73dda60e4702a617135e452b36ba5d90,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.600466+00:00,1218,gainsofcryptopro
1557635,39365,"✅ Long

Pair: #THETA/USDT

📊 Entry Price: 

1) 0.2...94
4) 0.2442

Stop Loss: 0.2141

Leverage: 10x-20x",93542362a72c34c8ae167f5312ea3ac3,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.594676+00:00,1218,gainsofcryptopro
1557634,39364,"#MET/USDT 🟢 LONG

📍 Entry Zone: 0.34839 – 0.36261
...n: LONG

⚠️ Manage your risk and trade responsibly",d28d1c19e05b385c4bb64a32c3558f84,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.581213+00:00,1218,gainsofcryptopro
1557633,39363,"🚨 #BCH/USDT | SHORT

⚡Leverage: Cross 20x

🎯Entry ... follow the signal and secure profits at targets.💎",46681e63e4ca2aeb6e1925c3d905bcea,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.569143+00:00,1218,gainsofcryptopro
1557632,39362,"🚨 #ONE/USDT | SHORT

⚡Leverage: Cross 20x

🎯Entry ... follow the signal and secure profits at targets.💎",fbc603e7f82c075450efd83cf6f660bd,2026-09-23T08:53:18+00:00,2026-09-23T10:12:42.428952+00:00,1218,gainsofcryptopro
1557631,39361,"⭐️#NIL/USDT  LONG 

🛡Leverage : Cross 25x50

‼️Ent....09134

Use only 3% - 5% amount of your portfolio🛍",bc956c5f8f648a97880058d50c041f62,2026-09-23T08:53:17+00:00,2026-09-23T10:12:42.421980+00:00,1218,gainsofcryptopro
1557629,39358,"⭐ NIL /USDT — LONG

💵 ENTRY:0.10900-0.10500

⚙️ LE...o

📌 Follow the setup and manage your risk wisely.",6ff3efe94be84030ef1e50c349d28d46,2026-09-23T08:53:17+00:00,2026-09-23T10:12:42.403031+00:00,1218,gainsofcryptopro
1557626,39355,"#B2/USDT

📈Signal: short Leverage: Cross 20X

⚡️En...even after TP1 is hit.

📣Trade Smart • Follow Risk",9050b18a82a7f5e5275c141058e5fa2a,2026-09-23T08:53:17+00:00,2026-09-23T10:12:42.211683+00:00,1218,gainsofcryptopro
1557625,39357,"#NIL USDT — BUY (SHORT) 
🎉
🟢 Leverage: Cross  25x
...Stop Loss: 0.08900

🔽 Risk Management:

 REACTS !!",21d879eaf6694379a4291945a2762aba,2026-09-23T08:53:17+00:00,2026-09-23T10:12:42.206570+00:00,1218,gainsofcryptopro
1557623,39354,"💰#NIL / USDT👑

💎Setup Type: Strong LONG  🔖Opportun...TP ➝ 0.13400

4️⃣TP ➝ 0.17000

🚫Stop Loss: 0.08800",74ee33a30a208ef5c69a3910fe2b4699,2026-09-23T08:53:17+00:00,2026-09-23T10:12:42.185886+00:00,1218,gainsofcryptopro
