id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1235535,2876,"#ANKRUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.00458...004305 (💰 6%)
⛔️ SL: 0.0049922
LEVERAGE: Cross 20x",5a1c89ef98be2e37ed703efd5cdb89dd,2026-09-13T08:01:20+00:00,2026-09-13T19:07:24.496506+00:00,1024,haroonofficials
1235549,2874,"#QTUMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.9856 ... 0.9265 (💰 6%)
⛔️ SL: 1.074304
LEVERAGE: Cross 20x",c81746f2b1123f7c5ef479147a5f8d85,2026-09-13T08:01:19+00:00,2026-09-13T19:07:24.601779+00:00,1024,haroonofficials
1235539,2875,"#GMTUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.007856...07385 (💰 6%)
⛔️ SL: 0.00856304
LEVERAGE: Cross 20x",315046cdc62b07be9b81145e7d7aa283,2026-09-13T08:01:19+00:00,2026-09-13T19:07:24.545894+00:00,1024,haroonofficials
1235534,2873,"#ARKMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1049 ... 0.0986 (💰 6%)
⛔️ SL: 0.114341
LEVERAGE: Cross 20x",7652689b7bf56a03210aeffd1757cff7,2026-09-13T08:01:19+00:00,2026-09-13T19:07:24.497559+00:00,1024,haroonofficials
1235551,2872,"#ZILUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.00279 ...002623 (💰 6%)
⛔️ SL: 0.0030411
LEVERAGE: Cross 20x",b1f8271c5d443bfadb7d05b5f2c1a9c5,2026-09-13T08:01:18+00:00,2026-09-13T19:07:24.617137+00:00,1024,haroonofficials
1235542,2870,"#RLCUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2867 👉... 0.2695 (💰 6%)
⛔️ SL: 0.312503
LEVERAGE: Cross 20x",008cdbea6b231d6d0fba9fdc4e9ee711,2026-09-13T08:01:14+00:00,2026-09-13T19:07:24.565019+00:00,1024,haroonofficials
1235537,2871,"#BATUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.078 👉 ... 0.07332 (💰 6%)
⛔️ SL: 0.08502
LEVERAGE: Cross 20x",8a7ce629bee645c99a30c4399d20dea8,2026-09-13T08:01:14+00:00,2026-09-13T19:07:24.549763+00:00,1024,haroonofficials
1235532,2869,"#IOTAUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.04125....03878 (💰 6%)
⛔️ SL: 0.0449625
LEVERAGE: Cross 20x",8bc357693110a9772f92a7f242449c53,2026-09-13T08:01:13+00:00,2026-09-13T19:07:24.467662+00:00,1024,haroonofficials
1235530,2867,"#SKLUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.003848...03617 (💰 6%)
⛔️ SL: 0.00419432
LEVERAGE: Cross 20x",8a78ffb43d6b234c510fddd602a77c57,2026-09-13T08:01:13+00:00,2026-09-13T19:07:24.387499+00:00,1024,haroonofficials
1280328,2908,"#GMTUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.007474 ...07922 (💰 6%)
⛔️ SL: 0.00680134
LEVERAGE: Cross 20x",8c4be4cf00e80aeefc94bcaa57c21407,2026-09-14T13:10:53+00:00,2026-09-14T13:40:45.401444+00:00,1024,haroonofficials
1280327,2901,"#HBARUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.07735....07271 (💰 6%)
⛔️ SL: 0.0843115
LEVERAGE: Cross 20x",1d899dc36b178c0b72f2b6094e454990,2026-09-14T12:42:05+00:00,2026-09-14T13:40:45.342596+00:00,1024,haroonofficials
1280326,2900,"#QTUMUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.9393 👉... 0.9957 (💰 6%)
⛔️ SL: 0.854763
LEVERAGE: Cross 20x",39c0719970a077c75d6a3ffa2df59b9e,2026-09-14T12:42:05+00:00,2026-09-14T13:40:45.311282+00:00,1024,haroonofficials
