id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1017844,1773,"#LITUSDT – LONG ▫

▫ Entry Price: 3.868
▫ Targets:...
Note: Once TP1 is hit, move your SL to breakeven.",ba932cfb3e0a065e57a3aec5990a0b11,2026-09-01T16:00:20+00:00,2026-09-01T16:17:33.158925+00:00,860,hicryptotrading
1014589,1770,"#ENAUSDT – LONG ▫

▫ Entry Price: 0.16527
▫ Target...
Note: Once TP1 is hit, move your SL to breakeven.",a181a8d38ebdc0c5208fe3dadae311c6,2026-09-01T12:00:27+00:00,2026-09-01T13:09:40.201273+00:00,860,hicryptotrading
1002705,1765,"#1000BONKUSDT – LONG ▫

▫ Entry Price: 0.003086
▫ ...
Note: Once TP1 is hit, move your SL to breakeven.",3fa6b296bdc3594c18d9953024a75f84,2026-09-01T04:00:19+00:00,2026-09-01T05:08:45.686504+00:00,860,hicryptotrading
1024939,1775,"#LITUSDT – SHORT ▫

▫ Entry Price: 3.517
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",4c9f5d0fe086a63473e712f2dc69628b,2026-09-02T00:00:17+00:00,2026-09-02T00:38:15.776121+00:00,860,hicryptotrading
1026855,1778,"#GALAUSDT – LONG ▫

▫ Entry Price: 0.001801
▫ Targ...
Note: Once TP1 is hit, move your SL to breakeven.",bd79f23d67f133c01342e0ddb1a7d566,2026-09-02T04:00:21+00:00,2026-09-02T05:18:53.076273+00:00,860,hicryptotrading
1034474,1782,"#ENAUSDT – SHORT ▫

▫ Entry Price: 0.1507
▫ Target...
Note: Once TP1 is hit, move your SL to breakeven.",8dfa20aa0297b362ddeb269db56db914,2026-09-02T12:00:18+00:00,2026-09-02T12:34:20.847447+00:00,860,hicryptotrading
1051438,1785,"#LDOUSDT – LONG ▫

▫ Entry Price: 0.3746
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",4dd59796ad4c485be53448ec62c9cb40,2026-09-03T08:00:26+00:00,2026-09-03T08:33:32.330451+00:00,860,hicryptotrading
1057218,1787,"#BNBUSDT – LONG ▫

▫ Entry Price: 711.8
▫ Targets:...
Note: Once TP1 is hit, move your SL to breakeven.",d4887ec20a53aedbaa39656e3c79c154,2026-09-03T12:00:21+00:00,2026-09-03T12:01:49.620467+00:00,860,hicryptotrading
1061355,1790,"#DASHUSDT – LONG ▫

▫ Entry Price: 47.17
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",034b6f8d1077c91fe1591b92a3f33852,2026-09-03T16:00:24+00:00,2026-09-03T21:03:22.429151+00:00,860,hicryptotrading
1082800,1796,"#GRAMUSDT – LONG ▫

▫ Entry Price: 1.393
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",5c73cea01bafdeda15d7265dc90d5df1,2026-09-04T12:00:19+00:00,2026-09-04T12:07:03.994757+00:00,860,hicryptotrading
1090450,1799,"#1000PEPEUSDT – SHORT ▫

▫ Entry Price: 0.003512
▫...
Note: Once TP1 is hit, move your SL to breakeven.",1cae294ba9b9220522503be0ef281a70,2026-09-04T16:00:19+00:00,2026-09-04T18:19:05.975963+00:00,860,hicryptotrading
1096789,1803,"#ADAUSDT – SHORT ▫

▫ Entry Price: 0.2102
▫ Target...
Note: Once TP1 is hit, move your SL to breakeven.",d3e80067e2b3eb074b224abc10551b42,2026-09-05T04:00:18+00:00,2026-09-05T05:29:51.782470+00:00,860,hicryptotrading
1123760,1806,"#ASTERUSDT – SHORT ▫

▫ Entry Price: 0.7741
▫ Targ...
Note: Once TP1 is hit, move your SL to breakeven.",6b4a2adb70e9afe3a93223882128d9ca,2026-09-06T00:00:27+00:00,2026-09-06T00:57:13.800650+00:00,860,hicryptotrading
1126031,1808,"#IMXUSDT – LONG ▫

▫ Entry Price: 0.1349
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",d861c3b8c27a181dfa4897e41a85bb53,2026-09-06T04:00:17+00:00,2026-09-06T04:59:49.420737+00:00,860,hicryptotrading
1144449,1811,"#BNBUSDT – SHORT ▫

▫ Entry Price: 745.5
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",7f09e03742cc11e01c3d9ab8f6a1f08b,2026-09-06T16:00:26+00:00,2026-09-06T18:11:52.133347+00:00,860,hicryptotrading
1151952,1812,"#JUPUSDT – SHORT ▫

▫ Entry Price: 0.2516
▫ Target...
Note: Once TP1 is hit, move your SL to breakeven.",c2e7601297f3b97ec43c6d526c2e05d5,2026-09-07T04:00:23+00:00,2026-09-07T05:50:51.330239+00:00,860,hicryptotrading
1185638,1819,"#ENAUSDT – SHORT ▫

▫ Entry Price: 0.16183
▫ Targe...
Note: Once TP1 is hit, move your SL to breakeven.",7888ff2a4b077add00fe99d918e37302,2026-09-08T08:00:33+00:00,2026-09-08T09:17:15.658237+00:00,860,hicryptotrading
1190089,1821,"#HYPEUSDT – SHORT ▫

▫ Entry Price: 82.99
▫ Target...
Note: Once TP1 is hit, move your SL to breakeven.",28cfe007b66db15fe48eb32edfd23fea,2026-09-08T12:00:19+00:00,2026-09-08T12:26:17.769256+00:00,860,hicryptotrading
1199187,1826,"#BNBUSDT – LONG ▫

▫ Entry Price: 755.5
▫ Targets:...
Note: Once TP1 is hit, move your SL to breakeven.",bbfab4e73ad81ebf14e974107e4885fa,2026-09-08T16:00:21+00:00,2026-09-08T16:46:49.460221+00:00,860,hicryptotrading
1205850,1827,"#AAVEUSDT – SHORT ▫

▫ Entry Price: 128.97
▫ Targe...
Note: Once TP1 is hit, move your SL to breakeven.",be6b174d0358fba25d1197cad0851794,2026-09-08T20:00:21+00:00,2026-09-08T20:52:39.170624+00:00,860,hicryptotrading
1211289,1828,"#ICPUSDT – SHORT ▫

▫ Entry Price: 2.844
▫ Targets...
Note: Once TP1 is hit, move your SL to breakeven.",0b0d759d059666ba78a27ee0867b9f90,2026-09-09T04:00:18+00:00,2026-09-09T04:32:32.119363+00:00,860,hicryptotrading
1218015,1829,"#DOTUSDT – SHORT ▫

▫ Entry Price: 1.1719
▫ Target...
Note: Once TP1 is hit, move your SL to breakeven.",597de799b01ea117683763b9ea340f56,2026-09-09T08:00:26+00:00,2026-09-09T08:54:33.343593+00:00,860,hicryptotrading
