id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1549225,42669,"#SHORT 🔴

#GRT/USDT (RISKY)

Margin Mode : Isolate...79
5)🟥 0.02244

🟩 SL : 0.02421 - 100%

📊 LEV : 30X",4b80500041da30b4e4594cfd2de3eb2d,2026-09-23T06:02:32+00:00,2026-09-23T06:03:54.572971+00:00,1221,jamescrypto_gurusignals1
1549220,42654,"📊 Let’s LONG #SUPER/USDT

💥 Leverage:  Cross 20×  ...s: 

1) 0.189
2) 0.198
3) 0.215

🔖 Stop Loss: 0.17",5eca83c7cda46ef64c8724c60b2eba4d,2026-09-23T06:02:23+00:00,2026-09-23T06:03:54.375441+00:00,1221,jamescrypto_gurusignals1
1549219,42653,"🔰 NIL/USDT 🔰

🟢 LONG 20X

🔳 ENTRY :- 0.090

☑️ TARGET:- 0.093 - 0.097 - 0.105

🔴 STOP :- 0.082",07c1b412362d9f6326566c3ec6dbacb6,2026-09-23T06:02:23+00:00,2026-09-23T06:03:54.256029+00:00,1221,jamescrypto_gurusignals1
1549218,42652,"🟢MUBARAK/USDT 📈

📈 long Setup 

💰 Entry Zone: 0.07...et 1. 
✅ Move SL to breakeven after Target 1 hits.",c2c9be79d285c04e128dcf141d49e4a5,2026-09-23T06:02:22+00:00,2026-09-23T06:03:54.253186+00:00,1221,jamescrypto_gurusignals1
1549217,42651,"Trade: #SUPER/USDT

Direction: 📈 LONG 

🟢 Entry Ra...09
• Target 6: 0.1827

💠 Leverage : 5x - 10x - 20x",34def54f7d2f9f1037e389eb4dba4941,2026-09-23T06:02:22+00:00,2026-09-23T06:03:54.239797+00:00,1221,jamescrypto_gurusignals1
1549216,42650,"SUPERUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage...4) 1.00
5) 2.00
6) 3.00
7) 🚀🚀🚀 

⛔️ SL:
0.17000000",628e4060d87f927d658dd2fea6880d2d,2026-09-23T06:02:22+00:00,2026-09-23T06:03:54.228725+00:00,1221,jamescrypto_gurusignals1
1549215,42649,"📊 #BAT/USDT

🟢 POSITION: LONG

💰 ENTRY RANGE
➤ 0.0...➤ 0.0830

━━━━━━━━━━━━━━━━━━

✅ Manage risk wisely",821a8bd6cb22aae0b92844aecb1a8e35,2026-09-23T06:02:21+00:00,2026-09-23T06:03:54.193719+00:00,1221,jamescrypto_gurusignals1
1549214,42644,"⚡️⚡️ #AEVO/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Type...
5) 0.02771
6) 0.02810
7) 🚀🚀🚀

Stop Targets:
5-10%",3b9628d94d8f20cb3a0ffcfc5136bbcd,2026-09-23T06:02:21+00:00,2026-09-23T06:03:54.027214+00:00,1221,jamescrypto_gurusignals1
1549213,42647,"⚡️⚡️ #ANIME/USDT ⚡️⚡️
Exchanges: Bingx 
Signal Typ...
5) 0.00375
6) 0.00381
7) 🚀🚀🚀

Stop Targets:
5-10%",183d6d178f1b72fb819bf4e07b19ff35,2026-09-23T06:02:21+00:00,2026-09-23T06:03:54.016502+00:00,1221,jamescrypto_gurusignals1
1549212,42648,"#MET/USDT LONG   

👉Leverage : Cross 10× To 30×

E...
1)  0.361
2)  0.370
3)  0.382

⭕Stop Loss : 0.332",43da0626b64bcaf95608dcea46299332,2026-09-23T06:02:21+00:00,2026-09-23T06:03:54.015719+00:00,1221,jamescrypto_gurusignals1
