id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
843120,10790,"#STGUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1676 👉... 0.1575 (💰 6%)
⛔️ SL: 0.182684
LEVERAGE: Cross 20x",40521b08cc8346667ce76fa0fe716b23,2026-08-25T16:02:31+00:00,2026-08-25T17:36:07.795679+00:00,789,jimmyleshtradevip
843117,10789,"#INJUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 5.728 👉 E... : 6.072 (💰 6%)
⛔️ SL: 5.21248
LEVERAGE: Cross 20x",436ced8c9291e6c80033913c12abdb78,2026-08-25T16:02:31+00:00,2026-08-25T17:36:07.761928+00:00,789,jimmyleshtradevip
843116,10788,"#API3USDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2356 ... 0.2215 (💰 6%)
⛔️ SL: 0.256804
LEVERAGE: Cross 20x",af64e055b7892bd917cee32eaa413577,2026-08-25T16:02:31+00:00,2026-08-25T17:36:07.723773+00:00,789,jimmyleshtradevip
825480,10740,"#ATOMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 1.551 👉... : 1.458 (💰 6%)
⛔️ SL: 1.69059
LEVERAGE: Cross 20x",bb38c225b88a40a45637024e2ebb8fd5,2026-08-25T05:28:04+00:00,2026-08-25T06:07:00.071444+00:00,789,jimmyleshtradevip
825465,10739,"#IDUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.03176 👉 ....03367 (💰 6%)
⛔️ SL: 0.0289016
LEVERAGE: Cross 20x",5b53fe67a8eae571ec460561b3d34f1f,2026-08-25T05:28:02+00:00,2026-08-25T06:06:59.798409+00:00,789,jimmyleshtradevip
825440,10738,"#BELUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1168 👉...0.10979 (💰 6%)
⛔️ SL: 0.127312
LEVERAGE: Cross 20x",8f9c05171c3db71e0259719cb41a900f,2026-08-25T05:28:02+00:00,2026-08-25T06:06:59.209118+00:00,789,jimmyleshtradevip
825439,10737,"#DOGEUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.09276....08719 (💰 6%)
⛔️ SL: 0.1011084
LEVERAGE: Cross 20x",6d4e8948a23d6197d18b22a2b357a9dd,2026-08-25T05:28:01+00:00,2026-08-25T06:06:59.118753+00:00,789,jimmyleshtradevip
847547,10827,"#MAVUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.010401 ...11025 (💰 6%)
⛔️ SL: 0.00946491
LEVERAGE: Cross 20x",b4a624016f9e481d963ffb0b788e36dc,2026-08-25T21:03:28+00:00,2026-08-25T22:07:32.960259+00:00,789,jimmyleshtradevip
847542,10826,"#CHZUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.01392 👉....01476 (💰 6%)
⛔️ SL: 0.0126672
LEVERAGE: Cross 20x",5b8fa392013efa6d1a3d0896f174d34c,2026-08-25T21:03:28+00:00,2026-08-25T22:07:32.930676+00:00,789,jimmyleshtradevip
847535,10828,"#WLDUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.3805 👉 ... 0.4033 (💰 6%)
⛔️ SL: 0.346255
LEVERAGE: Cross 20x",1365e4743bd59e57c7bc240cfc282f6e,2026-08-25T21:03:28+00:00,2026-08-25T22:07:32.912698+00:00,789,jimmyleshtradevip
