id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1401987,15811,"😎#MAKVIP_SIGNSL_GEM 😎

🌐 100$ into 2000$ Challenge...S: JOIN #MAKVIP ❌

🏆FOR #MAKVIP Details: @MAK_CEO1",fdbfa6f9b2067bead6c086f348761e19,2026-09-17T23:05:20+00:00,2026-09-18T02:12:03.056701+00:00,1151,mexc_pumsignal_signal01
1415973,15841,"💰#G/ USDT👑

💎Setup Type: Strong LONG  🔖Opportunity...700

🚫Stop Loss: JOIN #MAKVIP 

Admin: @MAK_CEO1 ✅",434aab7ef283a954ac0c4b6e0818d574,2026-09-18T09:18:28+00:00,2026-09-18T09:20:51.940069+00:00,1151,mexc_pumsignal_signal01
1415975,15839,"😎#MAKVIP_SIGNAL_GEM 😎

🌐 1000$ into 10000$ Challen...S: JOIN #MAKVIP ❌

🏆FOR #MAKVIP Details: @MAK_CEO1",e98d0a0e9905ab63cf5294bda0f8e057,2026-09-18T09:18:27+00:00,2026-09-18T09:20:51.943228+00:00,1151,mexc_pumsignal_signal01
1415970,15837,"$ETH 💰 LONG 📈

@MAK_CEO1",52a5ee4a90443d76c3b44a2d9396ee9b,2026-09-18T09:18:27+00:00,2026-09-18T09:20:51.923081+00:00,1151,mexc_pumsignal_signal01
1419940,15846,"💰#ETHFI/ USDT👑

💎Setup Type: Strong LONG  🔖Opportu...0

🚫Stop Loss: JOIN #MAKVIP 

REACTS !!

@MAK_CEO1",e36cd2446be1e7e3d4818c9780ad08ef,2026-09-18T09:47:10+00:00,2026-09-18T11:23:51.520558+00:00,1151,mexc_pumsignal_signal01
1419937,15845,"👍THE #MAKVIP_SIGNAL👍

🚀 LONG: $ONE/USDT
LEVERAGE: ...💲

#WE_STAND_WITH_MAKVIP🫡🇵🇸

REACTIONS?

@MAK_CEO1",a6761466a751a87e455c0e32fe49e9a1,2026-09-18T09:47:10+00:00,2026-09-18T11:23:51.501281+00:00,1151,mexc_pumsignal_signal01
1433549,15863,"🔥 Free : IRENUSDT 

LONG DIRECTION
Leverage: Cross....38575
TP4: 47.98674
TP5: 48.63396

STOP: 43.91850",bebb8aa83946e3cc2747a739bc09535b,2026-09-18T18:34:13+00:00,2026-09-18T19:06:18.720547+00:00,1151,mexc_pumsignal_signal01
1433560,15860,"✏️ $BTC $80,900 📈

Bottom line, we broke the local...mium_signal with my personal support  ➡️ @MAK_CEO1",7902f50a226b0bd13094887e6428983b,2026-09-18T18:30:09+00:00,2026-09-18T19:06:18.896918+00:00,1151,mexc_pumsignal_signal01
1438131,15901,"⚡️#APTUSDT 1D ANALYSIS ⚡️

🔖Wait for price to brea...
Three: 1.727

🔴 Stoploss: JOIN #MAKVIP

@MAK_CEO1",1c2e86696475086857ff2e14e63b2c49,2026-09-18T21:45:16+00:00,2026-09-18T22:57:10.819849+00:00,1151,mexc_pumsignal_signal01
1443127,15969,"$ETH

Give me a proper breakout and I will buy spot & open LONG. 

The main resistance — $2550.",77fbea2001a823605fbf16b7f0dc7f7e,2026-09-19T16:24:01+00:00,2026-09-20T00:52:23.966729+00:00,1151,mexc_pumsignal_signal01
1443112,15953,"💰#AKE / USDT👑

💎Setup Type: Strong LONG  🔖Opportun...000

🚫Stop Loss: JOIN #MAKVIP 

Admin: @MAK_CEO1 ✅",94a988945ebb048b32c59e950d6432ed,2026-09-19T10:18:20+00:00,2026-09-20T00:52:23.804607+00:00,1151,mexc_pumsignal_signal01
1443101,15954,"👍THE #MAKVIP_SIGNAL👍

🚀 LONG: $SAGA/USDT
LEVERAGE:...💲

#WE_STAND_WITH_MAKVIP🫡🇵🇸

REACTIONS?

@MAK_CEO1",da77eda4529f59ecf74c5310aaf35065,2026-09-19T10:18:20+00:00,2026-09-20T00:52:23.770874+00:00,1151,mexc_pumsignal_signal01
1443114,15951,"$ETH 💰 LONG 📈

@MAK_CEO1",52a5ee4a90443d76c3b44a2d9396ee9b,2026-09-19T09:31:14+00:00,2026-09-20T00:52:23.820347+00:00,1151,mexc_pumsignal_signal01
1443086,15949,"💰#FLUID/ USDT👑

💎Setup Type: Strong SHORT  🔖Opport...800

🚫Stop Loss: JOIN #MAKVIP 

Admin: @MAK_CEO1 ✅",0861c854ffaaf21e0eb71db48cd2c38d,2026-09-19T08:39:01+00:00,2026-09-20T00:52:23.453661+00:00,1151,mexc_pumsignal_signal01
