id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1045756,14309,"🔴 SHORT $BTC/USDT | Cross 35X

✅ Entry: 79217

🎯 TP: 78007 - 76797 -  74377 -72894

🛑 SL: 81638",53e8256fb0633f0b83498a8cae25218a,2026-09-03T00:35:08+00:00,2026-09-03T02:13:04.100758+00:00,779,quantum_cryptosignal
1045753,14308,"🔴 SHORT $ZEC/USDT | Cross 20X

✅ Entry: 852

🎯 TP: 838 - 825 -  810 -790

🛑 SL: 890",9b4c5b13d04dfcdd61676ddd5c3bde97,2026-09-03T00:35:08+00:00,2026-09-03T02:13:03.970589+00:00,779,quantum_cryptosignal
1045746,14301,"🟢 LONG $ETH/USDT | Cross 35X 

✅ Entry: 2442

🎯 TP: 2480  - 2525 - 2600

🛑 SL: 2350",e59abce5ada52691de6f40db5e6d32bf,2026-09-03T00:35:08+00:00,2026-09-03T02:13:03.573533+00:00,779,quantum_cryptosignal
1045734,14285,"COIN: #USELESS /USDT (LONG) SETUP

📊 Leverage 25x ...ENT IS KEY
Use only 1–2% of your capital per trade",509cd34c73e3650d21cf2ce5f869c71d,2026-09-03T00:32:54+00:00,2026-09-03T02:13:02.755381+00:00,779,quantum_cryptosignal
1045719,14278,"COIN: #FF /USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",35c8ef942cda79c96a435d17fd5927b0,2026-09-03T00:32:54+00:00,2026-09-03T02:13:02.683199+00:00,779,quantum_cryptosignal
1045730,14268,"COIN: #UAI /USDT (LONG) SETUP

📊 Leverage 25x to 5...ENT IS KEY
Use only 1–2% of your capital per trade",e032713debf97ccb940aff75c0723543,2026-09-03T00:32:53+00:00,2026-09-03T02:13:02.724279+00:00,779,quantum_cryptosignal
1045727,14274,"COIN: #FIL /USDT (LONG) SETUP

📊 Leverage 25x to 5...ENT IS KEY
Use only 1–2% of your capital per trade",c2b67b956820631337d1dcc572f6bff8,2026-09-03T00:32:53+00:00,2026-09-03T02:13:02.707768+00:00,779,quantum_cryptosignal
1045720,14273,FIL long 0.8030 tp 0.8200,5415f8069702dc401906294ef896cd91,2026-09-03T00:32:53+00:00,2026-09-03T02:13:02.684157+00:00,779,quantum_cryptosignal
1045702,14259,"COIN: #USELESS /USDT (LONG) SETUP

📊 Leverage 25x ...ENT IS KEY
Use only 1–2% of your capital per trade",a05243498cdcf0105dd37531761b2bd1,2026-09-03T00:31:59+00:00,2026-09-03T02:12:52.714798+00:00,779,quantum_cryptosignal
1045700,14253,"COIN: #BTR /USDT (SHORT) SETUP

📊 Leverage 25x to ...ENT IS KEY
Use only 1–2% of your capital per trade",c19497507d0de8f6311109ecdef655b9,2026-09-03T00:31:59+00:00,2026-09-03T02:12:52.675853+00:00,779,quantum_cryptosignal
1045694,14250,"COIN: #USELESS /USDT (LONG) SETUP

📊 Leverage 25x ...ENT IS KEY
Use only 1–2% of your capital per trade",1951ca975a586e5bfdfad56d003fc606,2026-09-03T00:31:59+00:00,2026-09-03T02:12:52.440014+00:00,779,quantum_cryptosignal
1045684,14240,"COIN: #FLOCK/USDT (LONG) SETUP

📊 Leverage 25x to ...ENT IS KEY
Use only 1–2% of your capital per trade",ba1e01dd9ebc4e982e8d9dc93756ed18,2026-09-03T00:31:49+00:00,2026-09-03T02:12:52.000154+00:00,779,quantum_cryptosignal
1045683,14238,"COIN: #ARB/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",19fc56beb8814bfbf425e406588be8b8,2026-09-03T00:31:49+00:00,2026-09-03T02:12:51.971926+00:00,779,quantum_cryptosignal
1045676,14227,"COIN: #CLO/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",5b21d6cec11159ace7dfd57089406cc4,2026-09-03T00:31:49+00:00,2026-09-03T02:12:51.601114+00:00,779,quantum_cryptosignal
1045671,14230,"COIN: #SKR/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",ca8380d5baf622c9832d62bcd0f046e4,2026-09-03T00:31:49+00:00,2026-09-03T02:12:51.544962+00:00,779,quantum_cryptosignal
1045664,14217,"COIN: #HEMIUSDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",85f39a280515802209475317e6b71448,2026-09-03T00:31:48+00:00,2026-09-03T02:12:50.964815+00:00,779,quantum_cryptosignal
1045661,14219,Clo long 0.1093 tp 0.1115,9b56e6236fcdd50b635375cd378d4e87,2026-09-03T00:31:48+00:00,2026-09-03T02:12:50.930231+00:00,779,quantum_cryptosignal
1045658,14213,"COIN: #UNI/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",47ca61314e72fdd3928a9e4fc6813ff8,2026-09-03T00:31:48+00:00,2026-09-03T02:12:50.902942+00:00,779,quantum_cryptosignal
1045655,14212,Uni long 5.36 tp 5.47,60a3d53eb77c608460689dcc290adc7e,2026-09-03T00:31:48+00:00,2026-09-03T02:12:50.833390+00:00,779,quantum_cryptosignal
1045654,14209,"COIN: #AUCTION/USDT (LONG) SETUP

📊 Leverage 25x t...ENT IS KEY
Use only 1–2% of your capital per trade",d256c34b0c1cb1e10931f2870814335e,2026-09-03T00:31:48+00:00,2026-09-03T02:12:50.750845+00:00,779,quantum_cryptosignal
1045645,14200,"COIN: #ZKP/USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",ddc5fd90aafcad96985b45770e8b4de2,2026-09-03T00:31:47+00:00,2026-09-03T02:12:50.219467+00:00,779,quantum_cryptosignal
1045644,14201,"COIN: #4 /USDT (LONG) SETUP

📊 Leverage 25x to 50x...ENT IS KEY
Use only 1–2% of your capital per trade",f17a54786e48aee4fce8447a6cf92c77,2026-09-03T00:31:47+00:00,2026-09-03T02:12:50.208660+00:00,779,quantum_cryptosignal
1045641,14195,"COIN: #PROM/USDT (LONG) SETUP

📊 Leverage 25x to 5...ENT IS KEY
Use only 1–2% of your capital per trade",199dae5aee87e46c034f175a328cb68a,2026-09-03T00:31:47+00:00,2026-09-03T02:12:49.270557+00:00,779,quantum_cryptosignal
1045634,14187,"COIN: TAC/USDT (LONG) SETUP

📊 Leverage 25x to 50x...ENT IS KEY
Use only 1–2% of your capital per trade",802786035196a7a02809215c56b9df24,2026-09-03T00:31:47+00:00,2026-09-03T02:12:49.212979+00:00,779,quantum_cryptosignal
1045607,14182,"COIN: DEXE/USDT (SHORT) SETUP

📊 Leverage 25x to 5...ENT IS KEY
Use only 1–2% of your capital per trade",590717cc88d12a12e02f22fcb387be39,2026-09-03T00:31:47+00:00,2026-09-03T02:12:48.943301+00:00,779,quantum_cryptosignal
1045623,14166,"COIN: #HEMI /USDT LONG SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",3adb5ed9256f5108dfe6bcfb4cf1374d,2026-09-03T00:31:46+00:00,2026-09-03T02:12:49.109948+00:00,779,quantum_cryptosignal
1045619,14180,"COIN: #O /USDT LONG SETUP

📊 Leverage 25x to 50x
📍...ENT IS KEY
Use only 1–2% of your capital per trade",7ee918afe5ce66f01ea60e0e86b2ea2c,2026-09-03T00:31:46+00:00,2026-09-03T02:12:49.064394+00:00,779,quantum_cryptosignal
1045617,14178,"COIN: #NIL /USDT LONG SETUP

📊 Leverage 25x to 50x...ENT IS KEY
Use only 1–2% of your capital per trade",38b5e25bc15639990414176c773df010,2026-09-03T00:31:46+00:00,2026-09-03T02:12:49.062675+00:00,779,quantum_cryptosignal
