id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1020651,7558,"DOGE – LONG

✅Entry price: 0.08226
📌Targets: 0.083... trend reversal to an upward one and a move higher",35f78efdfa15f013718363890ef09edd,2026-09-01T18:02:01+00:00,2026-09-01T18:56:44.858046+00:00,474,signalsbitcoinandethereum
1038248,7560,"STX LONG 10х

➡️Enter - 0.2570

📌Target - 0.2596 - 0.2642 - 0.2668 - 0.2835

❌ Stop - 0.2440",b0f20281292bd29a2268b45712cc653e,2026-09-02T16:32:41+00:00,2026-09-02T17:13:33.497386+00:00,474,signalsbitcoinandethereum
1066987,7564,"LINK – SHORT

✅Entry price: 11.725
📌Targets: 11.60...ect to see a correction to the support zone below.",0d6f60c94474aa03a421a4f914a89dfd,2026-09-03T19:29:04+00:00,2026-09-03T22:17:28.955998+00:00,474,signalsbitcoinandethereum
1089667,7566,"NEAR LONG 20х

➡️Enter - 1.939

📌Target - 1.958 - 1.993 - 2.028 - 2.139

❌ Stop - 1.841",84b1f4f479cdb752f72f67c56d806dde,2026-09-04T16:30:03+00:00,2026-09-04T17:12:31.043953+00:00,474,signalsbitcoinandethereum
1117076,7569,"CRV LONG 10x

➡️Enter - 0.3625

📌Target - 0.3660 - 0.3724 - 0.3793 - 0.3993

❌ Stop - 0.3442",87c7386ba13ca3a55805624a86e1a337,2026-09-05T17:43:06+00:00,2026-09-05T18:20:43.761409+00:00,474,signalsbitcoinandethereum
1171913,7574,"FIL LONG 10x

➡️Enter - 0.8539

📌Target - 0.8625 - 0.8795 - 0.8964 - 0.9454

❌ Stop - 0.8112",9507c651b565d78337f39f7502bd04d4,2026-09-07T15:52:21+00:00,2026-09-07T18:22:55.031277+00:00,474,signalsbitcoinandethereum
1231316,7578,"JUP LONG 10x

➡️Enter - 0.2506

📌Target - 0.2531 - 0.2568 - 0.2612 - 0.2761

❌ Stop - 0.2381",91af4a5f3d7eb41c7e884363cffdcb18,2026-09-09T16:50:59+00:00,2026-09-09T18:34:44.220708+00:00,474,signalsbitcoinandethereum
1364198,7599,"ONDO LONG 20x

➡️Enter - 0.3292

📌Target - 0.3320 - 0.3385 - 0.3449 - 0.3642

❌ Stop - 0.3122",613099b77982e9f9e4a0582c85e5c877,2026-09-16T17:33:34+00:00,2026-09-16T17:43:24.815325+00:00,474,signalsbitcoinandethereum
1401071,7601,"#XRP

XRP is showing a local bullish trend; I am w...s: 1.3155, 1.3540, 1.3958
❌Stop Loss Price: 1.2550",5d4fa9bc5184ad7358532c331a5ed946,2026-09-17T20:54:50+00:00,2026-09-18T01:34:36.455941+00:00,474,signalsbitcoinandethereum
1428171,7603,"SUI SHORT 10x

➡️Enter - 0.8050

📌Target - 0.7968 - 0.7835 - 0.7709 - 0.7249

❌ Stop - 0.8454",4b487c68f05313ff7b1bbf9515e06b72,2026-09-18T15:41:08+00:00,2026-09-18T15:48:45.098787+00:00,474,signalsbitcoinandethereum
1505388,7610,"DOT LONG 20x

➡️Enter - 1.1886

📌Target - 1.2007 - 1.2235 - 1.2446 - 1.3074

❌ Stop - 1.1287",418d6f9adab89bb5643c9516c6ec105f,2026-09-21T16:03:51+00:00,2026-09-21T16:04:01.918315+00:00,474,signalsbitcoinandethereum
1327016,7597,"#ETH

After the liquidity was swept below the near... Prices: 2448 / 2505 / 2600
❌Stop Loss Price: 2338",bbacee87370f0523020a11e10717ceef,2026-09-15T18:48:43+00:00,2026-09-15T19:20:19.416725+00:00,474,signalsbitcoinandethereum
1327012,7584,"BCH SHORT 20x

➡️Enter - 233.6

📌Target - 231.3 - 227.1 - 223.4 - 210.8

❌ Stop - 245.3",95bf47e2a5fd4ea537ad96d2b60c3154,2026-09-11T16:18:04+00:00,2026-09-15T19:20:19.403733+00:00,474,signalsbitcoinandethereum
