id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1546511,3044,"🔺 $BTC/USDT — LONG

🎯 ENTRY: $86,500

🚀 TP: $87,50... $84,200

⚠️ RISK MANAGEMENT: Manage risk smartly.",186b06cb96cae3fef089653587563830,2026-09-23T02:32:35+00:00,2026-09-23T03:01:58.730832+00:00,1223,smartcryptotradebydaddyh
1550824,3123,"#LONG 🟢🔤🔤🔤🔤🔤

#XLM/USDT

Margin Mode : Isolated 💎
...

🟥 SL : 0.21418 - 100%   

📊 LEV : 20X

🇯🇵Premium",299498064061a038603404069879a9b0,2026-09-23T06:33:57+00:00,2026-09-23T08:06:14.006912+00:00,1223,smartcryptotradebydaddyh
1550823,3122,"#NIL / USDT — BUY (LONG) 
Leverage: Cross 25x – 50...T IS KEY
👉 Use ONLY 2 – 3% of your total portfolio",304f4d42a22464ad4aff6ec69e5c75dd,2026-09-23T06:33:56+00:00,2026-09-23T08:06:13.985222+00:00,1223,smartcryptotradebydaddyh
1550816,3114,"⚡️⚡️ #NIL/USDT️️️️⚡️️⚡️
SIGNAL Type: Regular (LONG...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",0299a8cdeaa92502f18589d8c5ab2e1d,2026-09-23T06:33:54+00:00,2026-09-23T08:06:13.760134+00:00,1223,smartcryptotradebydaddyh
1550814,3110,"⚡️⚡️ #MUBARAK/USDT ️️️️⚡️️⚡️
SIGNAL Type: Regular ...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",84dec178599936937c3b93f8523b46e3,2026-09-23T06:33:54+00:00,2026-09-23T08:06:13.673773+00:00,1223,smartcryptotradebydaddyh
1550813,3108,"⚡️⚡️ #MUBARAK/USDT️️️️⚡️️⚡️
SIGNAL Type: Regular (...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",fd48f04ebf6b28d7c872148c3e20a7dd,2026-09-23T06:33:54+00:00,2026-09-23T08:06:13.590109+00:00,1223,smartcryptotradebydaddyh
1550803,3093,"⚡️⚡️ #NIL/USDT️️️️⚡️️⚡️
SIGNAL Type: Regular (LONG...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",1ed502df9cb380a05f2cc5a2a88244d1,2026-09-23T06:33:12+00:00,2026-09-23T08:06:13.214434+00:00,1223,smartcryptotradebydaddyh
1550796,3086,"⚡️⚡️ #MUBARAK/USDT ️️️️⚡️️⚡️
SIGNAL Type: Regular ...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",eb2198036cb4c8a47dd42513f50e693b,2026-09-23T06:33:11+00:00,2026-09-23T08:06:12.995929+00:00,1223,smartcryptotradebydaddyh
1550795,3085,"⚡️⚡️ #BCH/USDT️️️️⚡️️⚡️
SIGNAL Type: Regular (LONG...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",67e6a6b364d5e98406734055b60e6d95,2026-09-23T06:33:11+00:00,2026-09-23T08:06:12.992486+00:00,1223,smartcryptotradebydaddyh
1557590,3162,"🔺 $PENGU/USDT — LONG | 25–50x

🎯 ENTRY: 0.010842

... RISK MANAGEMENT: Use only 3–5% of your portfolio.",dd7642a396a51ca60824cf2ff92b3399,2026-09-23T09:27:09+00:00,2026-09-23T10:11:49.888316+00:00,1223,smartcryptotradebydaddyh
1557588,3160,"💰#TAKE / USDT👑

💎Setup Type: Strong LONG  🔖Opportu...TP ➝ 0.21500

4️⃣TP ➝ 0.25000

🚫Stop Loss: 0.14000",76033e2a16d503c2c89b22b38f26feb1,2026-09-23T08:56:16+00:00,2026-09-23T10:11:49.692766+00:00,1223,smartcryptotradebydaddyh
1557582,3154,"💰#NIL / USDT👑

💎Setup Type: Strong LONG  🔖Opportun...TP ➝ 0.13400

4️⃣TP ➝ 0.17000

🚫Stop Loss: 0.08800",74ee33a30a208ef5c69a3910fe2b4699,2026-09-23T08:07:18+00:00,2026-09-23T10:11:49.500118+00:00,1223,smartcryptotradebydaddyh
