id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
789165,7906,"ACEUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....46440000
6) 0.50155000
7) 🚀🚀🚀 

⛔️ SL:
0.15000000",cd1a92d6580558a696c33713553f758f,2026-08-23T15:35:44+00:00,2026-08-23T15:52:14.023596+00:00,760,spartancryptocall
789150,7879,"AAVEUSDTUSDT  
Exchanges: BINGX 

🟢 Short
Leverage... 125.22
5) 115.20
6) 105.99
7) 🚀🚀🚀 

⛔️ SL:
118.08",65cad173a82293738972af48bbfc2fc9,2026-08-23T15:35:38+00:00,2026-08-23T15:52:13.910911+00:00,760,spartancryptocall
789100,7878,"ARBUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....11141000
6) 0.12032000
7) 🚀🚀🚀 

⛔️ SL:
0.09262000",8c82e5929e9799d42e9f7a677e7a2b7b,2026-08-23T15:35:38+00:00,2026-08-23T15:52:13.379028+00:00,760,spartancryptocall
789121,7846,"STXUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ....27994000
6) 0.30234000
7) 🚀🚀🚀 

⛔️ SL:
0.20000000",48d3421f10136bdce94526051b8a3303,2026-08-23T15:35:36+00:00,2026-08-23T15:52:13.541413+00:00,760,spartancryptocall
789151,7820,"SUIUSDTUSDT  
Exchanges: BINGX 

🟢 Short
Leverage-....77731000
6) 0.76921000
7) 🚀🚀🚀 

⛔️ SL:
0.87447600",fd7ffffa31a06c65297e3fadbe583d1f,2026-08-23T15:35:35+00:00,2026-08-23T15:52:13.933963+00:00,760,spartancryptocall
789093,7824,"ALGOUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....09498000
6) 0.09632000
7) 🚀🚀🚀 

⛔️ SL:
0.08512000",8f42dbf418244e67d03c26a2e6d69830,2026-08-23T15:35:35+00:00,2026-08-23T15:52:12.951026+00:00,760,spartancryptocall
789092,7821,"RENDERUSDTUSDT  
Exchanges: BINGX 

🟢 Short
Levera...4) 1.34
5) 1.00
6) 0.92000000
7) 🚀🚀🚀 

⛔️ SL:
1.50",ef75cdcbe43c97296a670643d07fbeee,2026-08-23T15:35:35+00:00,2026-08-23T15:52:12.917558+00:00,760,spartancryptocall
789090,7822,"HYPEUSDTUSDT  
Exchanges: BINGX 

🟢 Short
Leverage...4
4) 72.28
5) 70.03
6) 66.73
7) 🚀🚀🚀 

⛔️ SL:
82.90",6eab1a8f205bb4dc270f69ce3399fde7,2026-08-23T15:35:35+00:00,2026-08-23T15:52:12.702103+00:00,760,spartancryptocall
791794,7920,"KAIAUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....03420000
6) 0.03694000
7) 🚀🚀🚀 

⛔️ SL:
0.02897500",6451897e7debca0713bce77d15a605d5,2026-08-23T16:42:40+00:00,2026-08-23T17:51:56.996285+00:00,760,spartancryptocall
791793,7924,"NEARUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-... 2.04
4) 2.10
5) 2.26
6) 2.44
7) 🚀🚀🚀 

⛔️ SL:
1.88",10dab015e1b3beb540369f9ece84eade,2026-08-23T16:42:40+00:00,2026-08-23T17:51:56.994674+00:00,760,spartancryptocall
