id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
528107,37971,"🟢 XAUUSDT — LONG SCALP TRADE

Confidence: 🟢 HIGH-M...6
🎯 TP4: 4295

🚫 Invalidation: 5m close below 4254",51cd71120b4b683f228b0b729b41d3be,2026-08-07T02:09:02+00:00,2026-08-07T02:44:27.805935+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
528106,37970,"🔴 BTCUSDT — SHORT SCALP TRADE

Confidence: 🟢 7.8 /...ttps://www.weex.com/en/register?vipCode=cryptoaman",d02b9e8515f02f73e72281eef1fd8a06,2026-08-07T01:57:11+00:00,2026-08-07T02:44:27.798675+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
530748,37981,"🟢 BTCUSDT — OLD LONG STILL ACTIVE

Status: ✅ HOLD
...sting long; no new trade while this one is active.",e174ad1ca29b864286021e5c3e8c862b,2026-08-07T09:11:10+00:00,2026-08-07T09:17:38.220727+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
530744,37977,"🔴 BTCUSDT — OLD SHORT STILL ACTIVE

Status: ✅ HOLD...ttps://www.weex.com/en/register?vipCode=cryptoaman",b7e7f3cb1d55e08a61f05a7db30dddcb,2026-08-07T08:14:52+00:00,2026-08-07T09:17:38.117888+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
531690,37986,"✅ SCALP TRADE - ETH
🏮 TYPE - LONG

👉 ENTRY - $1910...ro/partner/CryptoAman/


Trader - Apple
#nfa #dyor",fca2908d5eb51e5fa8a6d4b5c75c8b26,2026-08-07T09:25:45+00:00,2026-08-07T11:13:45.703830+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
531691,37985,"✅ SCALP TRADE - BTC 

👉 ENTRY -  $64700 TO $64500
...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",3323c6c1c6871d185bdd628dab77c187,2026-08-07T09:21:52+00:00,2026-08-07T11:13:45.706734+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
505496,37934,"🟢 BTCUSDT — LONG SCALP TRADE

Confidence: 🟢 8.3 / ...ps://www.weex.com/en/register?vipCode=cryptoaman
•",0453aecd4a14851b7682088434fef852,2026-08-04T19:06:10+00:00,2026-08-04T20:45:00.700674+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
502844,37927,"✅ SCALP TRADE - ETH
🏮 TYPE - LONG

👉 ENTRY - $1870...ro/partner/CryptoAman/


Trader - Apple
#nfa #dyor",99207a7587b3306080f1c9d7b0d876ed,2026-08-04T12:01:39+00:00,2026-08-04T14:06:28.265194+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
501190,37921,"✅ SCALP TRADE - BTC 

👉 ENTRY -  $63600 TO $63900
...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",a03029c0566b6d76e001c41c92055d16,2026-08-04T08:43:50+00:00,2026-08-04T09:56:42.091514+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
501195,37918,"✅ SCALP TRADE - BTC 

👉 ENTRY -  $63600 TO $63900
...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",a03029c0566b6d76e001c41c92055d16,2026-08-04T08:42:01+00:00,2026-08-04T09:56:42.116244+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
499715,37913,"🔴 BTCUSDT — SHORT SCALP TRADE

Confidence: 🟢 8.3 /...ttps://www.weex.com/en/register?vipCode=cryptoaman",9064a1682019220ad4f1aae3a29a3a84,2026-08-04T05:34:47+00:00,2026-08-04T05:57:14.714989+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
533356,38006,"🔴 BTCUSDT — SHORT SCALP TRADE

Status: 🆕 New Trade...ttps://www.weex.com/en/register?vipCode=cryptoaman",9e88313c2d940bda2e35e420843d2802,2026-08-07T14:01:41+00:00,2026-08-07T15:15:05.189857+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
533351,38003,"🟢 BTCUSDT — LONG SCALP TRADE

Confidence: 🟢 8.2 / ...ttps://www.weex.com/en/register?vipCode=cryptoaman",38b24ddd10d6a33557346d1fada647cf,2026-08-07T13:37:11+00:00,2026-08-07T15:15:05.125048+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
492833,37892,"✅ SCALP TRADE - BTC 

👉 ENTRY -  $62624 TO $62281
...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",7e4c0d42024343325f06f60e194e5efc,2026-08-03T11:04:47+00:00,2026-08-03T12:03:24.053919+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
492135,37885,"✅ SCALP TRADE - BTC 

👉 ENTRY -  $62624 TO $62281
...er?vipCode=cryptoaman

Trader - ORANGE

#nfa #DYOR",7e4c0d42024343325f06f60e194e5efc,2026-08-03T09:23:57+00:00,2026-08-03T10:14:32.402475+00:00,85,t.me/AMANVIPCRYPTOSIGNALSPREMIUM
