id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
280477,9795,"INJUSDT SWING LONG

Coin : INJUSDT

Type : LONG

L....3
target 8 - 14.8
target 9 - 16

S7TOPLOSS - 4.38",c3a8a1cead8acdea84e8b1044cb791bf,2026-05-23T18:14:03+00:00,2026-05-30T18:52:44.491020+00:00,87,t.me/Cash_Haters
280474,9794,"SEIUSDT LONG

Coin : SEIUSDT

Type : long

Leverag...ARGET 7 - 0.106
TARGET 8 - 0.110

STOPLOSS - 0.056",292a124bbfe80a53816cb90f644b420b,2026-05-22T06:48:01+00:00,2026-05-30T18:52:44.354400+00:00,87,t.me/Cash_Haters
280475,9789,"API3USDT SWING LONG

Coin : API3USDT

Type : LONG
...75
target 6-  0.86
TARGET 7 -0.92

STOPLOSS - 0.32",38e0419e5eca571b0d07bba7adff4844,2026-05-13T08:04:22+00:00,2026-05-30T18:52:44.395423+00:00,87,t.me/Cash_Haters
280479,9786,"SOLUSDT LONG - ENTRY AT 89.5, SO WAIT FOR IT",927c4cffaedb50a5d513e775747a585d,2026-05-13T07:56:23+00:00,2026-05-30T18:52:44.732451+00:00,87,t.me/Cash_Haters
280500,9782,SOPHUSDT SPOT BUY HERE AT 0.0098,6d29460a02287e7281175c9d460a73bc,2026-05-11T10:43:12+00:00,2026-05-30T18:52:51.537151+00:00,87,t.me/Cash_Haters
280501,9777,"EULUSDT SWING LONG

Coin : EULUSDT

Type : long

L...1
TARGET 7 - 3.33
TARGET 8 - 5.5

STOPLOSS - 1.285",65f081c9c0c657cc803738b2840b01aa,2026-05-11T06:59:06+00:00,2026-05-30T18:52:51.568948+00:00,87,t.me/Cash_Haters
280505,9756,"ENAUSDT LONG UPDATE - UP 24%, SL AT ENTRY",e514f6a103660d8f4aa266cada21e7ed,2026-05-07T12:29:57+00:00,2026-05-30T18:52:51.593759+00:00,87,t.me/Cash_Haters
280556,9747,"OPUSDT SWING LONG

Coin : OPUSDT

Type : long

Lev...et 7 - 0.2175
TARGET 8 - 0.2500

STOPLOSS - 0.1155",f2b5efeffd3a6cab55324e12d2af2eba,2026-05-06T13:24:25+00:00,2026-05-30T18:52:52.009310+00:00,87,t.me/Cash_Haters
280528,9742,ICPUSDT SPOT BUY HERE AT 2.695,250770ff77f218ee689c03672105348b,2026-05-06T03:07:21+00:00,2026-05-30T18:52:51.768605+00:00,87,t.me/Cash_Haters
280494,9741,TURBOUSDT SPOT BUY HERE AT  0.001317,8e6f6a6c8c8bedee596ba94ca8ab02f3,2026-05-06T03:05:43+00:00,2026-05-30T18:52:51.347791+00:00,87,t.me/Cash_Haters
280502,9739,MEMEUSDT SPOT BUY HERE AT 0.000610 - ITS GIVING BOTTOMING VIBES - TARGET MARKED,052efad1fb7c071061439a8ce626d75c,2026-05-05T04:56:46+00:00,2026-05-30T18:52:51.576992+00:00,87,t.me/Cash_Haters
280498,9738,LUNA2USDT SPOT BUY HERE AT 0.07149 - EXPECTING SOMETHING LIKE THIS,5f8838b12d2758f0dcc0f9621da9310c,2026-05-05T04:50:40+00:00,2026-05-30T18:52:51.484975+00:00,87,t.me/Cash_Haters
280535,9736,"ENAUSDT LONG

Coin : ENAUSDT

Type : long

Leverag...ET 7 - 0.1650
TARGET 8 - 0.1700

STOPLOSS - 0.0912",01ab19da58097ba9d5785e43c09ef1e6,2026-05-05T03:40:38+00:00,2026-05-30T18:52:51.807190+00:00,87,t.me/Cash_Haters
280553,9734,"MUBARAKUSDT SPOT BUY HERE AT 0.01662 , EXPECTING TP TO HIT 0.072 IN COMING MONTHS",aa415693a2d2a4067323c95c5a59aa22,2026-05-05T02:20:14+00:00,2026-05-30T18:52:51.863155+00:00,87,t.me/Cash_Haters
280515,9732,"PEOPLEUSDT - IF YOU ARE NOT IN SPOT, BUY SOME, ITS...R A MOVE TO THE RANGE HIGH WHICH IS 2.5X FROM HERE",9632527fa32d3860ee75c4738e2a2a4b,2026-05-05T02:15:08+00:00,2026-05-30T18:52:51.663645+00:00,87,t.me/Cash_Haters
280506,9727,"KAVAUSDT SPOT - IF NOT IN IT YET, BUY SOME",9058d9c5f77fad9096a368c8c9ac0351,2026-05-04T02:48:59+00:00,2026-05-30T18:52:51.605754+00:00,87,t.me/Cash_Haters
280509,9725,LTCUSDT LONG - STILL AROUND ENTRY,0779e8dd5ac34c189d87b3eac2b119bd,2026-05-04T02:38:15+00:00,2026-05-30T18:52:51.630485+00:00,87,t.me/Cash_Haters
280567,9722,SEIUSDT LONG - YOU CAN STILL ENTER IF YOU ARE NOT IN SPOT,13ff87d87288e29aa60bfc552a718280,2026-05-04T02:30:01+00:00,2026-05-30T18:52:52.181040+00:00,87,t.me/Cash_Haters
280566,9721,WLFIUSDT SPOT BUY HERE AT 0.0564,4d42c938a86342281e593c6d9bb24459,2026-05-03T07:53:52+00:00,2026-05-30T18:52:52.164109+00:00,87,t.me/Cash_Haters
280562,9718,FIGHTUSDT SPOT BUY 0.00493,ac7126490a8635b2bd8e73d51bcf37e9,2026-05-03T04:50:41+00:00,2026-05-30T18:52:52.103597+00:00,87,t.me/Cash_Haters
280554,9716,"AIGENSYNUSDT LONG BACK IN IT AT 0.0308 - sl 0.028,...NG TO CATCH THE BOTTOM HERE, GO IN WITH SMALL RISK",849229d7cc348497566e4a9969c0d5ec,2026-05-03T03:49:03+00:00,2026-05-30T18:52:51.868032+00:00,87,t.me/Cash_Haters
