id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1001500,13404,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#CYS/USDT (25xSHORT)

✅ ENTRY:0....STOP LOSS: 0.64

🔐 Signal Powered by  @Mahee_Admin",3208fa0a4d0520cf3355e95f4acd70a8,2026-09-01T02:17:15+00:00,2026-09-01T02:18:12.190735+00:00,194,t.me/MaheeCrypto
1026687,13422,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#HEMI/USDT (25xLONG)

✅ ENTRY:0....P LOSS: 0.01830

🔐 Signal Powered by  @Mahee_Admin",162c803458779a0172db6ca0dc2985b9,2026-09-02T02:28:58+00:00,2026-09-02T04:28:39.259192+00:00,194,t.me/MaheeCrypto
1047001,13435,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#T/USDT (25xLONG)

✅ ENTRY:0.004...OP LOSS: 0.0042

🔐 Signal Powered by  @Mahee_Admin",05e879080f6d51fed14ab5aad8c04ba5,2026-09-03T03:11:33+00:00,2026-09-03T04:39:14.168679+00:00,194,t.me/MaheeCrypto
1072976,13446,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#MAGMA/USDT (25xSHORT)

✅ ENTRY:...STOP LOSS: 0.31

🔐 Signal Powered by  @Mahee_Admin",7a1800204086fa2abf2e56a914f3de16,2026-09-04T03:01:06+00:00,2026-09-04T03:33:17.943459+00:00,194,t.me/MaheeCrypto
1096627,13464,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#AKE/USDT (25xLONG)

✅ ENTRY:0.0...P LOSS: 0.01540

🔐 Signal Powered by  @Mahee_Admin",014b6be14b4400a8066b7c3be8452d60,2026-09-05T02:15:28+00:00,2026-09-05T05:17:20.478148+00:00,194,t.me/MaheeCrypto
1105424,13472,"📊 BTC/USDT — 4H Analysis

Bitcoin has broken out o... the breakout zone could lead to further upside. 🚀",8c4c6b44d1ec827c06e4d4906483dc75,2026-09-05T09:27:58+00:00,2026-09-05T09:39:42.697020+00:00,194,t.me/MaheeCrypto
1125196,13480,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#UAI/USDT (25xLONG)

✅ ENTRY:0.6...OP LOSS: 0.5650

🔐 Signal Powered by  @Mahee_Admin",41d4e36c4324b6a86906fe53e8ce0f92,2026-09-06T02:56:26+00:00,2026-09-06T03:21:34.098113+00:00,194,t.me/MaheeCrypto
1151073,13494,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#FLOCK/USDT (25xSHORT)

✅ ENTRY:...TOP LOSS: 0.085

🔐 Signal Powered by  @Mahee_Admin",310025198ed107fe476fb2bf221d2612,2026-09-07T02:18:54+00:00,2026-09-07T03:28:26.688829+00:00,194,t.me/MaheeCrypto
1178593,13510,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#AERO/USDT (25xLONG)

✅ ENTRY:0....OP LOSS: 0.5550

🔐 Signal Powered by  @Mahee_Admin",1463610234e853923e2426482a6db89e,2026-09-08T02:11:40+00:00,2026-09-08T03:40:53.190073+00:00,194,t.me/MaheeCrypto
1211084,13520,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#VVV/USDT (25xLONG)

✅ ENTRY:24....OP LOSS: 21.150

🔐 Signal Powered by  @Mahee_Admin",c5227b3a9e5c3f49b1c2e3262b140102,2026-09-09T02:22:26+00:00,2026-09-09T03:36:33.809823+00:00,194,t.me/MaheeCrypto
