id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
287532,97040,"🏷Coin Name :  #BTC /USDT

⏰Signal Type: (LONG) (12...FULL SETUP HERE🪙💰😱

https://t.me/+BCOH-PA-sk1kMjI0",d1a330797f3f5c283440eed9de829f9e,2026-06-01T17:12:22+00:00,2026-06-01T18:42:19.004786+00:00,196,t.me/Official_GCR
287550,97002,"Coin #VIC/USDT

Position: LONG 

Leverage:  Cross ...

Stop Loss: 0.0570

📌 Published by @Liam_Ricardo1",07a898ef0a10173073d251c3ab304b35,2026-06-01T07:06:12+00:00,2026-06-01T18:42:20.273319+00:00,196,t.me/Official_GCR
287555,96999,"Coin #HOME/USDT

Position: LONG 

Leverage:  Cross...

Stop Loss: 0.0398

📌 Published by @Liam_Ricardo1",fb678d02df382cbe5b4195fabf31cad5,2026-06-01T06:13:36+00:00,2026-06-01T18:42:20.518703+00:00,196,t.me/Official_GCR
287554,96996,"Coin #EPIC/USDT

Position: LONG 

Leverage:  Cross...

Stop Loss: 0.2550

📌 Published by @Liam_Ricardo1",0423b40be6fffce4625d69113c1699e8,2026-06-01T06:02:37+00:00,2026-06-01T18:42:20.505144+00:00,196,t.me/Official_GCR
296013,97124,"Coin #ESPORTS/USDT

Position: LONG 

Leverage:  Cr...

Stop Loss: 0.0475

📌 Published by @Liam_Ricardo1",e0407785f45934732eaff96500cdef26,2026-06-03T15:24:50+00:00,2026-06-04T00:17:57.284718+00:00,196,t.me/Official_GCR
296012,97122,"Coin #LIT/USDT

Position: LONG 

Leverage:  Cross ...99

Stop Loss: 1.68

📌 Published by @Liam_Ricardo1",065674b67b41f30b4c9eca8147cb7ab5,2026-06-03T15:14:46+00:00,2026-06-04T00:17:57.283639+00:00,196,t.me/Official_GCR
296002,97090,"Coin #MYX/USDT

Position: LONG 

Leverage:  Cross ...

Stop Loss: 0.3700

📌 Published by @Liam_Ricardo1",ff010147d759f6f30474277558504156,2026-06-03T05:43:44+00:00,2026-06-04T00:17:57.225403+00:00,196,t.me/Official_GCR
296032,97088,"Coin #US/USDT

Position: LONG 

Leverage:  Cross 2...

Stop Loss: 0.0118

📌 Published by @Liam_Ricardo1",e78ac9db77c18efa03cf90b80d9fc14c,2026-06-03T05:27:41+00:00,2026-06-04T00:17:57.677662+00:00,196,t.me/Official_GCR
296024,97083,"Coin #APR/USDT

Position: LONG 

Leverage:  Cross ...

Stop Loss: 0.2320

📌 Published by @Liam_Ricardo1",42f248860836ed4e882375a705e28dcf,2026-06-03T04:46:51+00:00,2026-06-04T00:17:57.633524+00:00,196,t.me/Official_GCR
296026,97081,"Coin #CLO/USDT

Position: LONG 

Leverage:  Cross ...

Stop Loss: 0.1530

📌 Published by @Liam_Ricardo1",795c2ff0135915033e4957989b2e0ac9,2026-06-03T04:38:05+00:00,2026-06-04T00:17:57.646761+00:00,196,t.me/Official_GCR
