id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
218591,49011,"TRADE – $BEAT/USDT

SHORT
Leverage: 20X - 40X

ENT...3233
$0.3140
$0.2986
$0.2690

🚫 STOP LOSS:
$0.3485",12014ff8c8302d0b276cd990acb3408e,2026-03-08T10:15:37+00:00,2026-03-08T17:56:20.093215+00:00,150,t.me/The_JustProfitOfficial
222984,49078,"TRADE – $LYN/USDT

LONG
Leverage: 25X 

ENTRY ZONE...0.3777
$0.3900
$0.4087
$0.43

🚫 STOP LOSS:
$0.3526",f5823aefadce6c9889cf30a56faedb04,2026-03-11T10:24:59+00:00,2026-03-11T16:24:44.750095+00:00,150,t.me/The_JustProfitOfficial
222968,49077,"✨ ATOM/USDT

🎗 Trade Type = LONG 🟢

⭐️ Leverage :-...e/+zjUb4Y0pmzwwZjc1
https://t.me/+zjUb4Y0pmzwwZjc1",c68298d73756076839663e89396120ef,2026-03-11T08:59:04+00:00,2026-03-11T16:24:44.581506+00:00,150,t.me/The_JustProfitOfficial
222997,49060,"TRADE – $TRIA/USDT

LONG
Leverage: 50X 

ENTRY ZON...790
$0.02870
$0.0304
$0.034

🚫 STOP LOSS:
$0.02570",f41f47f6ab1a6e48b1405146389ddeae,2026-03-10T19:14:36+00:00,2026-03-11T16:24:50.349587+00:00,150,t.me/The_JustProfitOfficial
227941,49148,"TRADE – $TOWNS/USDT

LONG
Leverage: 10X 

ENTRY ZO...ET
$0.0050
$0.0053
$0.0058

🚫 STOP LOSS:
$0.004360",06123d659d118b7bf1809b31f91c1934,2026-03-14T13:40:22+00:00,2026-03-14T19:20:31.754685+00:00,150,t.me/The_JustProfitOfficial
227946,49140,"TRADE – $SAHARA/USDT

SHORT
Leverage: 20X 

ENTRY ...
$0.02135
$0.02088
$0.01925

🚫 STOP LOSS:
$0.02270",7b30d0bd4c196b2cff61947444964ffa,2026-03-14T00:09:37+00:00,2026-03-14T19:20:32.071360+00:00,150,t.me/The_JustProfitOfficial
227956,49102,"TRADE – $OGN/USDT

LONG
Leverage: 50X

ENTRY ZONE
...RGET
$0.0325
$0.0339
$0.0354

🚫 STOP LOSS:
$0.0295",3543cef75d6af0a98fb253e53365658a,2026-03-12T09:19:04+00:00,2026-03-14T19:20:32.496494+00:00,150,t.me/The_JustProfitOfficial
227982,49104,"TRADE – $CYS/USDT

SHORT
Leverage: 20X 

ENTRY ZON...RGET
$0.4131
$0.4005
$0.3731

🚫 STOP LOSS:
$0.4350",f800e46d65d1af9cff15c9b8ef4ef8b4,2026-03-12T09:34:05+00:00,2026-03-14T19:20:32.864772+00:00,150,t.me/The_JustProfitOfficial
227987,49094,"TRADE – $OPN/USDT

LONG
Leverage: 50X

ENTRY ZONE
...TARGET
$0.3146
$0.3230
$0.340

🚫 STOP LOSS:
$0.299",3331ee2b2b89289e19f195d99953948e,2026-03-12T05:32:24+00:00,2026-03-14T19:20:32.974226+00:00,150,t.me/The_JustProfitOfficial
232537,49220,"BTC/USDT
SHORT
Leverage cross 20x
Entry :  **
Targ...L: **

https://t.me/+Lv-u5m9VF8NmODFi

Join fast 👆",fe04ce13c1dd4f4c0242ece90a872e42,2026-03-18T18:35:13+00:00,2026-03-18T19:00:08.074724+00:00,150,t.me/The_JustProfitOfficial
232539,49215,"SOL/USDT – 15M Long Setup

Entry: 88.20 - 89.20

S...
TP3: 92.80
TP4: 94.00

Risk: 1–2%
RR: Approx 1:4+",44babd7d920150ea457d28b4c6384f83,2026-03-18T15:54:41+00:00,2026-03-18T19:00:09.114227+00:00,150,t.me/The_JustProfitOfficial
232542,49213,"#BTC/USDT

TYPE - LONG 🟢

ENTRY - **

TARGET - **
...all details here 🤑

https://t.me/+Lv-u5m9VF8NmODFi",391731888e9e7510bc19f4a2166b3f01,2026-03-18T15:18:11+00:00,2026-03-18T19:00:09.211648+00:00,150,t.me/The_JustProfitOfficial
232555,49209,"TRADE – $ETH/USDT (Futures)

Type: LONG
Mode: Isol...Loss: 2,190

Risk: 1–2%
Potential: ~1:3.5 – 1:5 RR",ec079ddcdda95ebed98824c35bddcdd6,2026-03-18T14:09:27+00:00,2026-03-18T19:00:09.486610+00:00,150,t.me/The_JustProfitOfficial
232576,49203,"TRADE – $BTC/USDT (Futures)

Type: SHORT
Mode: Iso...
Stop Loss: 75,350

Risk: 1–2%
Potential: ~1:4+ RR",aefdd4718c86efad5f4417751163e119,2026-03-18T10:34:07+00:00,2026-03-18T19:00:09.671382+00:00,150,t.me/The_JustProfitOfficial
232569,49198,"🚨 𝐁𝐓𝐂/𝐔𝐒𝐃𝐓 🚨

📥𝐓𝐑𝐀𝐃𝐄 - 𝐒𝐇𝐎𝐑𝐓⬇️

𝑭𝑼𝑳𝑳 𝑺𝑬𝑻𝑼𝑷 𝑫𝑬𝑻𝑨𝑰𝑳𝑺 𝑰𝑺 𝑯𝑬𝑹𝑬 !! 🚨⚠️🌝🌛",c360d688d03c8d43571592f689cd56ca,2026-03-17T23:44:21+00:00,2026-03-18T19:00:09.618686+00:00,150,t.me/The_JustProfitOfficial
232577,49193,"$LUMIA/USDT
LONG

Leverage = 40X

 ENTRY ZONE
    ...S
$0.07334
$0.07575
$0.0800

🚫 STOP LOSS:
$0.06697",45c7ab6a41d82b1b105e35b6c0b4e24d,2026-03-17T17:09:34+00:00,2026-03-18T19:00:09.686713+00:00,150,t.me/The_JustProfitOfficial
232567,49175,"⚡️ #SAND/USDT 

🟢 #LONG 

💠 LEVERAGE :  10X - 20X ...3299 

📌 Target 👇🏻

https://t.me/+_udB6Qm4kbI3ZTEy",8fbd589a44a7285e156d2f087b645235,2026-03-16T14:26:09+00:00,2026-03-18T19:00:09.608274+00:00,150,t.me/The_JustProfitOfficial
232583,49173,"🖤Coin Name :  #BTC /USDT

⏰Signal Type: (LONG) (10...FULL SETUP HERE🤑💰😱

https://t.me/+wvtTosKKJ2dhZTll",172c519f8cd38949f7fdbc94e22298dc,2026-03-16T13:29:52+00:00,2026-03-18T19:00:09.723374+00:00,150,t.me/The_JustProfitOfficial
232557,49172,"$BEAT/USDT
LONG

Leverage = 40X

 ENTRY ZONE
    $...GETS
$0.4875
$0.5001
$0.5300

🚫 STOP LOSS:
$0.4475",f4eed2bb310e5a59f406cd0ecd340d4d,2026-03-16T12:47:34+00:00,2026-03-18T19:00:09.514261+00:00,150,t.me/The_JustProfitOfficial
232574,49169,"$BAS/USDT
LONG

Leverage = 40X

 ENTRY ZONE
    $0...GETS
$0.0106
$0.0114
$0.0119

🚫 STOP LOSS:
$0.0094",4bde586a970cf002a358bd45266020cc,2026-03-16T08:20:38+00:00,2026-03-18T19:00:09.637468+00:00,150,t.me/The_JustProfitOfficial
233822,49228,"BTC/USDT – Short Setup

Entry: 70,180 – 70,300

St...50
TP4: 68,950

Risk: 1–2%
RR: Approx 1:3+ to 1:4+",5c09374354b73cef3aa78f0287038a25,2026-03-19T08:17:26+00:00,2026-03-19T18:55:52.471012+00:00,150,t.me/The_JustProfitOfficial
270928,49384,"🌹 #PIPPIN/USDT

🟢 LONG

✅ Entry: 0.0622 - 0.06112
...l advice.
💰 Stay disciplined. Protect your capital",e4124b62c008f35b665847681948cabf,2026-03-31T05:11:17+00:00,2026-05-29T19:19:07.543232+00:00,150,t.me/The_JustProfitOfficial
