id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
274941,60737,"🛡WHALES_PUMPs SUPER GEM 👑


📊Pair: ARIA/USDT
Type:...
❌ STOP LOSS: 0.60❌

💸FOR VIP Details: @WP_SUPP0RT",d38c484659394641e2b3d0a01c3440d8,2026-04-11T16:35:07+00:00,2026-05-30T18:43:03.484414+00:00,127,t.me/Whales_Pumps
274922,60723,"🛡WHALES_PUMPs SUPER GEM 👑


📊Pair: SKYAI/USDT
Type... STOP LOSS: 0.088 ❌

💸FOR VIP Details: @WP_SUPP0RT",4e93e74939169fff6b7767fba201a266,2026-04-11T13:29:39+00:00,2026-05-30T18:43:02.953108+00:00,127,t.me/Whales_Pumps
274962,60590,"🛡WHALES_PUMPs SUPER GEM 👑


📊Pair: LAB/USDT
Type: ...❌ STOP LOSS: 0.32 ❌

💸FOR VIP Details: @WP_SUPP0RT",c55e038821ebbadc0a22cdbe8e442571,2026-04-07T21:53:00+00:00,2026-05-30T18:43:03.965504+00:00,127,t.me/Whales_Pumps
274947,60512,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free...
❌ STOP LOSS: 0.49❌

👑FOR VIP Details: @WP_SUPP0RT",e985a3cd4d8db3b912e27bda302532ad,2026-04-04T15:44:17+00:00,2026-05-30T18:43:03.540504+00:00,127,t.me/Whales_Pumps
274979,60495,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free...❌ STOP LOSS: 0.069❌

👑FOR VIP Details: @WP_SUPP0RT",914d82cfae5d053a5afe7213f1c16c52,2026-04-04T07:46:51+00:00,2026-05-30T18:43:04.195226+00:00,127,t.me/Whales_Pumps
274995,60476,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free...
❌ STOP LOSS: 0.38❌

👑FOR VIP Details: @WP_SUPP0RT",72f5201a80d0a16bcf4836f671dc3b46,2026-04-03T11:39:14+00:00,2026-05-30T18:43:06.007488+00:00,127,t.me/Whales_Pumps
274996,60458,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free... STOP LOSS: 0.0180❌

👑FOR VIP Details: @WP_SUPP0RT",86a9fd85a8d4e6b721f948836961937b,2026-04-02T16:50:29+00:00,2026-05-30T18:43:06.005896+00:00,127,t.me/Whales_Pumps
274997,60452,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free...❌ STOP LOSS: 0.105❌

👑FOR VIP Details: @WP_SUPP0RT",c4107f4c612c09966452ed6400ffe878,2026-04-02T14:50:45+00:00,2026-05-30T18:43:06.027166+00:00,127,t.me/Whales_Pumps
275400,60426,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free...
❌ STOP LOSS: 0.31❌

👑FOR VIP Details: @WP_SUPP0RT",602b66361f7fb915a99361720a9cd41f,2026-04-01T08:38:33+00:00,2026-05-30T18:43:50.281836+00:00,127,t.me/Whales_Pumps
275413,60414,"☄️WHALES_PUMPs SUPER GEM ☄️

🔼100$ into 2000$ Free...
❌ STOP LOSS: 0.16❌

👑FOR VIP Details: @WP_SUPP0RT",d797026a26750a5cc4cbc1dca2282a2f,2026-04-01T04:29:33+00:00,2026-05-30T18:43:50.798758+00:00,127,t.me/Whales_Pumps
