id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
665584,19119,"🟢#RE/USDT

📈Signal: long Leverage: Cross 20X

⚡️En...even after TP1 is hit.

📣Trade Smart • Follow Risk",bff840ff36b3501ce246f775b8b4b6e6,2026-08-19T18:09:28+00:00,2026-08-19T19:38:52.167901+00:00,681,thomaskralowpublicchannel0
665580,19126,"SHORT 

RE/USDT

MARKET PRICE 

Leverage: 10X

TP:...5% of capital 

Always use proper risk management.",dd6ecd88883fdecb7be7d8b56531028d,2026-08-19T18:09:28+00:00,2026-08-19T19:38:52.138765+00:00,681,thomaskralowpublicchannel0
665569,19127,"SHORT 

XRP/USDT

MARKET PRICE 

Leverage: 10X

TP...5% of capital 

Always use proper risk management.",599e5ff6efa99474daf2056caa2cdd73,2026-08-19T18:09:28+00:00,2026-08-19T19:38:52.011951+00:00,681,thomaskralowpublicchannel0
665568,19124,"💰#MUBARAK/ USDT👑

💎Setup Type: Strong LONG 🔖Opport...⃣TP ➝ 0.03200
5️⃣TP ➝ 0.04000

🚫Stop Loss: 0.02000",9651395c73f247c20a8138ae70651a45,2026-08-19T18:09:28+00:00,2026-08-19T19:38:51.986382+00:00,681,thomaskralowpublicchannel0
665578,19115,"🌈PAIR:- BTW/USDT
⚡️ Direction : LONG
🛠 Leverage: C...nt Usage:- 1 - 2%
(According To your Risk Setting)",72133fb600b7bf5d228f25b89aff9427,2026-08-19T18:09:27+00:00,2026-08-19T19:38:52.120776+00:00,681,thomaskralowpublicchannel0
665573,19110,"BTC / USDT 

LONG LONG LONG 

IST ENTRY AT MARKET PRICE 

TP 68900 69400

30x Leverage 

SL 64500",d1dec0668c004961543b1f3b9f74f54e,2026-08-19T18:09:27+00:00,2026-08-19T19:38:52.083865+00:00,681,thomaskralowpublicchannel0
665571,19109,"💰#TREE/ USDT👑

💎Setup Type: Strong LONG 🔖Opportuni...⃣TP ➝ 0.05500
5️⃣TP ➝ 0.07500

🚫Stop Loss: 0.04000",421712efb8741c94e3dcbb5855cd4a98,2026-08-19T18:09:27+00:00,2026-08-19T19:38:52.066405+00:00,681,thomaskralowpublicchannel0
665572,19111,"🚨 #ALPINE/USDT | LONG

⚡Leverage: Cross 25X

🎯Entr... follow the signal and secure profits at targets.💎",33cc3a3be7344a15039784a1942509e2,2026-08-19T18:09:27+00:00,2026-08-19T19:38:52.028687+00:00,681,thomaskralowpublicchannel0
665570,19112,"🚨 #BR/USDT | LONG

⚡Leverage: Cross 25X

🎯Entry Ta... follow the signal and secure profits at targets.💎",1eb840d3f867b8a7714a3c7021eb6468,2026-08-19T18:09:27+00:00,2026-08-19T19:38:52.027439+00:00,681,thomaskralowpublicchannel0
665567,19116,"RUNEUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage-....45910000
6) 0.46690000
7) 🚀🚀🚀 

⛔️ SL:
0.41310000",bd53c229cf02d0bd6cff3d432ba8c9e4,2026-08-19T18:09:27+00:00,2026-08-19T19:38:51.978884+00:00,681,thomaskralowpublicchannel0
