id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1233477,11941,"💸 SHORT — JUP

Entry: 0.2477

💸 Targets: 0.2452 / ...32

💸  Stop: 0.2601

💸 Move SL to entry after TP1.",a730eaea78ab32ee318f5bbdabfed31f,2026-09-11T16:33:36+00:00,2026-09-11T17:07:10.469926+00:00,1048,usabitcoinarmy9
1233939,12008,"⚡️$LSK/USDT⚡️

LONG
Leverage: 10X - 20X

Entry: 0....arget: 

1)0.173
2)0.178
3)0.185

Stoploss:  0.146",936d30cc3980137592ddc2f0e5923fe2,2026-09-12T02:16:28+00:00,2026-09-12T03:09:56.663889+00:00,1048,usabitcoinarmy9
1234260,12051,"#LSK/USDT LONG     

👉Leverage : Cross 10× To 30×
...

1)  0.221
2)  0.233
3)  0.257

⭕Stoploss : 0.204",820b070657d598aae0d9a850b22a0fc1,2026-09-12T07:12:54+00:00,2026-09-12T08:16:12.713467+00:00,1048,usabitcoinarmy9
1234974,12250,"📈 LONG #BTC

⚡️Entry:now
❌SL: 75.567
✅TP: 1R - 2R - 3R￼",ba042543d5d60afb12e696f206d94d44,2026-09-13T15:44:03+00:00,2026-09-13T19:02:35.525013+00:00,1048,usabitcoinarmy9
1234950,12228,"💫 Pair: INJ/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...
📈 Take Profit: 6.60 📈

⚠️ Stop Loss: 5.700 ⚠️

📈📈",7e159dd7d08312935ed54b2fdb9aab20,2026-09-13T14:22:32+00:00,2026-09-13T19:02:35.394065+00:00,1048,usabitcoinarmy9
1234892,12192,"🔻 $LSK/USDT — SHORT | 10–50x

🎯 ENTRY: 0.98 → 1.03...SL: 1.07

⚠️ RISK MANAGEMENT: Manage risk smartly.",5f6c1b013866c562bb85d9b1850b78f1,2026-09-13T11:59:36+00:00,2026-09-13T19:02:34.993688+00:00,1048,usabitcoinarmy9
1234870,12156,"#ILV/USDT - Long🟢

Entry: 4.252
Stop Loss: 3.71656...Target 4: 4.63586
Target 5: 4.76146

Leverage: x32",982cecf82252702b8b29176fff861acb,2026-09-13T06:10:52+00:00,2026-09-13T19:02:21.454010+00:00,1048,usabitcoinarmy9
1234867,12155,"#LSK/USDT SHORT     

👉Leverage : Cross 10× To 30×...fit

1)  0.76
2)  0.65
3)  0.53

⭕Stoploss : 0.920",1aac9cc3cb7dbe5628c148c25a13d05e,2026-09-13T06:10:52+00:00,2026-09-13T19:02:21.404957+00:00,1048,usabitcoinarmy9
1234860,12144,"🔰 KAVA/USDT 🔰

🟢 LONG 20X

🔳 ENTRY :- 0.079

☑️ TARGET:- 0.081 - 0.085 - 0.091

🔴 STOP :- 0.074",d5409e498526b37474dd67dd02dea77e,2026-09-13T02:28:53+00:00,2026-09-13T19:02:21.038513+00:00,1048,usabitcoinarmy9
1234859,12142,"#DYM/USDT - Long🟢

Entry: 0.01526
Stop Loss: 0.013...Target 4: 0.01667
Target 5: 0.01705

Leverage: x32",a6445a53ea1545719f8528959bc9259e,2026-09-13T02:26:34+00:00,2026-09-13T19:02:21.033475+00:00,1048,usabitcoinarmy9
1234855,12141,"#MOVE/USDT - Short🔴

Entry: 0.0082
Stop Loss: 0.00...Target 4: 0.00801
Target 5: 0.00796

Leverage: x36",eead60f486ef3913aee4b57a23061ca1,2026-09-13T02:26:34+00:00,2026-09-13T19:02:20.989887+00:00,1048,usabitcoinarmy9
1234799,12081,"#RIVER/USDT SHORT     

👉Leverage : Cross 10× To 3...t

1)  1.253
2)  1.230
3)  1.200

⭕Stoploss : 1.36",7732beede45499407cb954fed03c1560,2026-09-12T13:18:16+00:00,2026-09-13T19:02:20.315324+00:00,1048,usabitcoinarmy9
1234797,12083,"💫 Pair: USELESS/USDT  💫

🔼 Direction: Long 🔼

✅ Le...Take Profit: 0.2650 📈

⚠️ Stop Loss: 0.2120 ⚠️

📈📈",caeaddeda9be8cecab58a1ae071fe0dd,2026-09-12T13:18:16+00:00,2026-09-13T19:02:20.309812+00:00,1048,usabitcoinarmy9
1234816,12079,"⚡️$KAVA/USDT⚡️

SHORT 
Leverage: 35X 

Entry: 0.07....063808
4)0.061750
5)0.059691

Stoploss: 0.0730489",ae3ddce1fe6d3ef9f8f12fae8cd7ded1,2026-09-12T13:18:15+00:00,2026-09-13T19:02:20.376114+00:00,1048,usabitcoinarmy9
1234802,12077,"💫 Pair: USELESS/USDT  💫

🔼 Direction: Long 🔼

✅ Le...Take Profit: 0.2650 📈

⚠️ Stop Loss: 0.2120 ⚠️

📈📈",caeaddeda9be8cecab58a1ae071fe0dd,2026-09-12T13:18:13+00:00,2026-09-13T19:02:20.325724+00:00,1048,usabitcoinarmy9
1234814,12073,"#UNI/USDT | LONG 🔥

Leverage: Cross 50X–100X
Entry...
TP4: 8.300
SL: 5.500

⚡ Trade Smart • Manage Risk",a8ff9b643e5c4eadad3a88c167eb8fbd,2026-09-12T13:18:09+00:00,2026-09-13T19:02:20.372384+00:00,1048,usabitcoinarmy9
1234791,12070,"#RIVER/USDT SHORT     

👉Leverage : Cross 10× To 3...t

1)  1.253
2)  1.230
3)  1.200

⭕Stoploss : 1.36",7732beede45499407cb954fed03c1560,2026-09-12T13:18:08+00:00,2026-09-13T19:02:20.177688+00:00,1048,usabitcoinarmy9
1234788,12068,"⚡️$KAVA/USDT⚡️

SHORT 
Leverage: 35X 

Entry: 0.07....063808
4)0.061750
5)0.059691

Stoploss: 0.0730489",ae3ddce1fe6d3ef9f8f12fae8cd7ded1,2026-09-12T13:18:07+00:00,2026-09-13T19:02:20.102675+00:00,1048,usabitcoinarmy9
1264943,12308,"📈 LONG $HYPE 

✅TP.  81.849 84.644

❌SL 75.86",7b0353e4631bb9856ec66d95a4359e5c,2026-09-14T07:51:17+00:00,2026-09-14T10:49:10.374640+00:00,1048,usabitcoinarmy9
1264961,12307,"⚡️⚡️ #ARK/USDT️️️️⚡️️⚡️
SIGNAL Type: Regular (LONG...op: Breakeven -
  Trigger: Target (1)

NO REACTS 🔥",04ec31b7612b87ace8398ed28960b74d,2026-09-14T06:31:57+00:00,2026-09-14T10:49:10.477916+00:00,1048,usabitcoinarmy9
1264949,12292,"#CVC/USDT SHORT     

👉Leverage : Cross 10× To 30×...  0.0344
2)  0.0327
3)  0.0317

⭕Stoploss : 0.0375",712c0a12e0f2fc1dd92ab4580f130976,2026-09-14T06:20:25+00:00,2026-09-14T10:49:10.433797+00:00,1048,usabitcoinarmy9
1264947,12289,"#AIN/USDT SHORT     

👉Leverage : Cross 10× To 30×...1)  0.1040
2)  0.0970
3)  0.0870

⭕Stoploss : 0.12",34e07cb8b75e4672b9d65412fd0bb586,2026-09-14T06:19:40+00:00,2026-09-14T10:49:10.429972+00:00,1048,usabitcoinarmy9
1264945,12286,"BTC/ USDT/ LONG
Entry at market price 

Cross || L...ly 1% of your wallet. 
Manage your risk properly 📊",7adbd138a557bff202baeb457dfa6b71,2026-09-14T06:19:25+00:00,2026-09-14T10:49:10.388953+00:00,1048,usabitcoinarmy9
1264942,12283,#AIN SHORT  0.108,4be1616d7b2ea80b40f1bbf662eb4319,2026-09-14T06:19:24+00:00,2026-09-14T10:49:10.373521+00:00,1048,usabitcoinarmy9
1264937,12284,"#MTL/USDT SHORT     

👉Leverage : Cross 10× To 30×...t

1)  0.380
2)  0.365
3)  0.349

⭕Stoploss : 0.41",ecbcf7980fd9de715c3968aecc68d7b8,2026-09-14T06:19:24+00:00,2026-09-14T10:49:10.001295+00:00,1048,usabitcoinarmy9
1280179,12315,"#T/USDT LONG     

👉Leverage : Cross 10× To 30×

E...  0.0056
2)  0.0058
3)  0.0060

⭕Stoploss : 0.P052",d201fea242b71706ebd117d3958c9557,2026-09-14T12:24:29+00:00,2026-09-14T13:30:23.493218+00:00,1048,usabitcoinarmy9
1280174,12314,"BTC/ USDT/ SHORT
Entry at market price 

Cross || ...ly 1% of your wallet. 
Manage your risk properly 📊",290057f781247e079938ea7fec14e403,2026-09-14T12:24:29+00:00,2026-09-14T13:30:23.434067+00:00,1048,usabitcoinarmy9
1280173,12311,"📉Short BTC

⚡️Entry: now
💊DCA : 78.600
❌SL : 79.250
✅TP : 76.682 - 75.593 - 74.505",29d9e774ccf262cfb6e33db70ce09be1,2026-09-14T12:24:27+00:00,2026-09-14T13:30:23.371100+00:00,1048,usabitcoinarmy9
1296767,12330,"💸 LONG — UNI

Entry: 6.353

💸 Targets: 6.418 / 6.5...997

💸  Stop: 6.034

💸 Move SL to entry after TP1.",a8135914dcb9750dba61d83f76382ec6,2026-09-14T18:14:57+00:00,2026-09-14T18:51:18.832845+00:00,1048,usabitcoinarmy9
1296765,12327,"#HYPE/USDT - Short🔴

Entry: 79.552
Stop Loss: 81.0...rget 4: 76.66853
Target 5: 75.77659

Leverage: x25",dce440b0b4b56c0300f5bec7e350788f,2026-09-14T18:14:55+00:00,2026-09-14T18:51:18.813069+00:00,1048,usabitcoinarmy9
