id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1402518,3368,"#QTUMUSDT 15m
STATUS : LONG 🚀 
👉 ENTRY1 : 0.9393 👉... 0.9957 (💰 6%)
⛔️ SL: 0.854763
LEVERAGE: Cross 20x",39c0719970a077c75d6a3ffa2df59b9e,2026-09-14T12:39:04+00:00,2026-09-18T02:33:50.385435+00:00,791,ustech100tradingcrypto
1402524,3366,"#HBARUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.07735....07271 (💰 6%)
⛔️ SL: 0.0843115
LEVERAGE: Cross 20x",1d899dc36b178c0b72f2b6094e454990,2026-09-14T12:39:03+00:00,2026-09-18T02:33:50.502064+00:00,791,ustech100tradingcrypto
1402541,3322,"#ARKMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.1049 ... 0.0986 (💰 6%)
⛔️ SL: 0.114341
LEVERAGE: Cross 20x",7652689b7bf56a03210aeffd1757cff7,2026-09-13T07:49:30+00:00,2026-09-18T02:33:50.600831+00:00,791,ustech100tradingcrypto
1402532,3323,"#API3USDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2532 ...: 0.238 (💰 6%)
⛔️ SL: 0.275988
LEVERAGE: Cross 20x",4231a60789edf3a0781dea01ea72df5b,2026-09-13T07:49:30+00:00,2026-09-18T02:33:50.574618+00:00,791,ustech100tradingcrypto
1402514,3321,"#IOTAUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.04125....03878 (💰 6%)
⛔️ SL: 0.0449625
LEVERAGE: Cross 20x",8bc357693110a9772f92a7f242449c53,2026-09-13T07:49:30+00:00,2026-09-18T02:33:50.326886+00:00,791,ustech100tradingcrypto
1402506,3319,"#BATUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.078 👉 ... 0.07332 (💰 6%)
⛔️ SL: 0.08502
LEVERAGE: Cross 20x",8a7ce629bee645c99a30c4399d20dea8,2026-09-13T07:49:30+00:00,2026-09-18T02:33:50.288136+00:00,791,ustech100tradingcrypto
1402538,3317,"#GMTUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.007856...07385 (💰 6%)
⛔️ SL: 0.00856304
LEVERAGE: Cross 20x",315046cdc62b07be9b81145e7d7aa283,2026-09-13T07:49:23+00:00,2026-09-18T02:33:50.594370+00:00,791,ustech100tradingcrypto
1402526,3318,"#RLCUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.2867 👉... 0.2695 (💰 6%)
⛔️ SL: 0.312503
LEVERAGE: Cross 20x",008cdbea6b231d6d0fba9fdc4e9ee711,2026-09-13T07:49:23+00:00,2026-09-18T02:33:50.513388+00:00,791,ustech100tradingcrypto
1402509,3316,"#QTUMUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.9856 ... 0.9265 (💰 6%)
⛔️ SL: 1.074304
LEVERAGE: Cross 20x",c81746f2b1123f7c5ef479147a5f8d85,2026-09-13T07:49:23+00:00,2026-09-18T02:33:50.297988+00:00,791,ustech100tradingcrypto
1402504,3315,"#ZILUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.00279 ...002623 (💰 6%)
⛔️ SL: 0.0030411
LEVERAGE: Cross 20x",b1f8271c5d443bfadb7d05b5f2c1a9c5,2026-09-13T07:49:23+00:00,2026-09-18T02:33:50.268812+00:00,791,ustech100tradingcrypto
1402505,3314,"#SKLUSDT 15m
STATUS : SHORT 🚀 
👉 ENTRY1 : 0.003848...03617 (💰 6%)
⛔️ SL: 0.00419432
LEVERAGE: Cross 20x",8a78ffb43d6b234c510fddd602a77c57,2026-09-13T07:49:22+00:00,2026-09-18T02:33:50.277310+00:00,791,ustech100tradingcrypto
