id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1025261,1014,"🔱 #XAGUSDT

🔴 SHORT
⏰ TF: 3m

📍Entry Zone: 64.22

🎯 TP: 64.15

⛔️ SL: 65.44

⚡️ Leverage: ≤47x",df8a58a73d41035389f287bb403d34e4,2026-09-02T00:03:50+00:00,2026-09-02T01:06:36.226833+00:00,800,velixsignals
1040913,1019,"🔱 #XRPUSDT

🟢 LONG
⏰ TF: 5m

📍Entry Zone: 1.3327

🎯 TP: 1.3407

⛔️ SL: 1.3085

⚡️ Leverage: ≤49x",00a8b589c2f740d70124fc1cd086d74f,2026-09-02T17:39:19+00:00,2026-09-02T20:23:26.808249+00:00,800,velixsignals
1044511,1023,"🔱 #XRPUSDT

🟢 LONG
⏰ TF: 3m

📍Entry Zone: 1.3458

🎯 TP: 1.3514

⛔️ SL: 1.3085

⚡️ Leverage: ≤32x",b528947abaa26f40179585711a9a82a5,2026-09-02T22:43:34+00:00,2026-09-03T00:17:38.010065+00:00,800,velixsignals
1094060,1027,"👑 #OPUSDT

🟢 LONG
⏰ TF: 3m

📍Entry Zone: 0.09781

🎯 TP: 0.09885

⛔️ SL: 0.09467

⚡️ Leverage: ≤28x",16bf6f81c6f39a198005bd1db11a6b56,2026-09-04T22:09:41+00:00,2026-09-04T22:26:40.213687+00:00,800,velixsignals
1096068,1029,"👑 #INJUSDT

🟢 LONG
⏰ TF: 3m

📍Entry Zone: 4.771

🎯 TP: 4.802

⛔️ SL: 4.636

⚡️ Leverage: ≤31x",db612d97f8f47f9dd0c064af9c6595b3,2026-09-05T02:15:58+00:00,2026-09-05T02:19:15.324878+00:00,800,velixsignals
1147245,1032,"👑 #APTUSDT

🟢 LONG
⏰ TF: 5m

📍Entry Zone: 0.6156

🎯 TP: 0.6179

⛔️ SL: 0.604

⚡️ Leverage: ≤47x",d9517003637faf8c2636c3cac8ff5ad5,2026-09-06T19:18:40+00:00,2026-09-06T21:13:27.228528+00:00,800,velixsignals
1172956,1036,"✅ #XAUUSDT

📈 LONG
⏰TF: 3m

📍Entry Zone: 4412.53

...385.3

مارجین : 5% سرمایه 💰
اهرم : کمتر از 145X ⚡️",a4939687921bcda2d83071242103aad1,2026-09-07T18:11:38+00:00,2026-09-07T19:32:42.965347+00:00,800,velixsignals
1205950,1044,"✅ #BTCUSDT

📈 LONG
⏰TF: 3m

📍Entry Zone: 78490.0

...7600.1

مارجین : 5% سرمایه 💰
اهرم : کمتر از 79X ⚡️",7044ee77f8153f15a5dba47b0d2d82ea,2026-09-08T20:16:42+00:00,2026-09-08T20:58:59.298895+00:00,800,velixsignals
1257140,1057,"✅ #SEIUSDT

📈 LONG
⏰TF: 3m

📍Entry Zone: 0.04508

...0.0439

مارجین : 5% سرمایه 💰
اهرم : کمتر از 34X ⚡️",83c4529d334293692229617f2da2256d,2026-09-13T21:37:02+00:00,2026-09-13T21:54:05.440800+00:00,800,velixsignals
1257135,1055,"✅ #STXUSDT

📈 LONG
⏰TF: 3m

📍Entry Zone: 0.275

🎯 ...0.2634

مارجین : 5% سرمایه 💰
اهرم : کمتر از 21X ⚡️",c261ce9df97e1776788e387030bb4475,2026-09-13T04:46:18+00:00,2026-09-13T21:54:05.385763+00:00,800,velixsignals
1257137,1051,"✅ #JUPUSDT

📉 SHORT
⏰TF: 5m

📍Entry Zone: 0.2238

...0.2345

مارجین : 5% سرمایه 💰
اهرم : کمتر از 18X ⚡️",6be0acd38685b24c7783b43f346e3bff,2026-09-10T19:58:33+00:00,2026-09-13T21:54:05.426430+00:00,800,velixsignals
1257134,1048,"✅ #IMXUSDT

📈 LONG
⏰TF: 3m

📍Entry Zone: 0.1256

🎯...0.1224

مارجین : 5% سرمایه 💰
اهرم : کمتر از 35X ⚡️",183dfd45ff96fbf5fee831985640232c,2026-09-10T02:42:28+00:00,2026-09-13T21:54:05.357364+00:00,800,velixsignals
1387415,1065,"✅ #TUSDT

📉 SHORT
⏰TF: 1m

📍Entry Zone: 0.004416

...004519

مارجین : 5% سرمایه 💰
اهرم : کمتر از 38X ⚡️",f19928a50d836b0c56ec0aaaef969cce,2026-09-17T13:01:20+00:00,2026-09-17T14:13:56.282461+00:00,800,velixsignals
1387416,1063,"✅ #ROSEUSDT

📉 SHORT
⏰TF: 1m

📍Entry Zone: 0.00665...006796

مارجین : 5% سرمایه 💰
اهرم : کمتر از 42X ⚡️",e54f42a0c8b95e4ba0395001a971e0cd,2026-09-17T12:38:10+00:00,2026-09-17T14:13:56.283402+00:00,800,velixsignals
1387411,1059,"✅ #APTUSDT

📈 LONG
⏰TF: 5m

📍Entry Zone: 0.5717

🎯...0.5231

مارجین : 5% سرمایه 💰
اهرم : کمتر از 10X ⚡️",b6e885a1a56ed06d32e39747783b196d,2026-09-17T11:57:31+00:00,2026-09-17T14:13:56.258566+00:00,800,velixsignals
1396769,1070,"✅ #FILUSDT

📈 LONG
⏰TF: 1m

📍Entry Zone: 0.8216

🎯...0.8049

مارجین : 5% سرمایه 💰
اهرم : کمتر از 44X ⚡️",ce99b32b8c21ae66bf4a63e4ce6afd62,2026-09-17T16:51:37+00:00,2026-09-17T18:57:55.554944+00:00,800,velixsignals
1396768,1068,"✅ #EGLDUSDT

📈 LONG
⏰TF: 1m

📍Entry Zone: 3.893

🎯... 3.856

مارجین : 5% سرمایه 💰
اهرم : کمتر از 94X ⚡️",c3fb99c467153c8d8adb8371327d2e6b,2026-09-17T16:35:12+00:00,2026-09-17T18:57:55.542941+00:00,800,velixsignals
