id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
243504,6558,"🚀 APT SHORT x25

➡ Вход: по рынку 
✅ Тейки: 0.9901...773 0.9345
❌ Стоп: 1.0559

📉 Канал с VIP Сигналами",f0bcc8debd7482ec2fed36d5bbdcd4ce,2026-05-01T17:34:39+00:00,2026-05-04T17:10:08.271798+00:00,325,white_ghosto
244714,6664,"🚀DYDX LONG x25

➡ Вход: по рынку 
✅ Тейки: 0.15860...7 0.16766
❌ Стоп: 0.14818

📉 Канал с VIP Сигналами",fc0d0bda8460f7735f5688bdc3d4cc22,2026-05-14T17:11:26+00:00,2026-05-14T17:51:17.537390+00:00,325,white_ghosto
244712,6663,"🚀 INJ SHORT x25

➡ Вход: по рынку 
✅ Тейки: 5.049 4.965 4.753
❌ Стоп: 5.433

📉 Канал с VIP Сигналами",e3c75b1db24d51896e74014385dcef0d,2026-05-14T14:29:16+00:00,2026-05-14T17:51:17.532290+00:00,325,white_ghosto
244734,6637,"🚀 RIVER LONG x25

➡ Вход: по рынку 
✅ Тейки: 6.364...6.503 6.779
❌ Стоп: 5.947

📉 Канал с VIP Сигналами",7c18d247f7bb14528e73277a8beb3653,2026-05-11T12:09:05+00:00,2026-05-14T17:51:26.241030+00:00,325,white_ghosto
244746,6627,"🚀 WOO LONG x25

➡ Вход: по рынку 
✅ Тейки: 0.02051...0 0.02166
❌ Стоп: 0.01920

📉 Канал с VIP Сигналами",1dbc4e4625f6ba0f31ac7fac4c509347,2026-05-10T14:09:16+00:00,2026-05-14T17:51:32.412561+00:00,325,white_ghosto
244743,6619,"🚀 MANA LONG x25

➡ Вход: по рынку 
✅ Тейки: 0.0976...990 0.1031
❌ Стоп: 0.0912

📉 Канал с VIP Сигналами",d1e717c1195efad2b5bd01e344117878,2026-05-09T17:48:17+00:00,2026-05-14T17:51:32.359044+00:00,325,white_ghosto
244802,6588,"🚀 APT SHORT x25

➡ Вход: по рынку 
✅ Тейки: 0.9590...424 0.9029
❌ Стоп: 1.0239

📉 Канал с VIP Сигналами",adf85cab2922592b909c9186406cd208,2026-05-05T17:36:33+00:00,2026-05-14T17:51:33.330182+00:00,325,white_ghosto
250367,6784,"По битку жду продолжения падения до 72-71к, но чер...я зона где буду рассматривать шорты - это 75-75.6к",2a830ea08145adb3e6859c57dba78fac,2026-05-28T12:11:21+00:00,2026-05-29T18:46:35.460395+00:00,325,white_ghosto
250398,6743,"🚀 NEAR LONG x25

➡ Вход: по рынку 
✅ Тейки: 2.0681...000 2.1850
❌ Стоп: 1.9297

📉 Канал с VIP Сигналами",696c797922b2491e32bd1dba98337f74,2026-05-23T12:20:36+00:00,2026-05-29T18:46:37.692709+00:00,325,white_ghosto
250436,6678,"🚀NEAR SHORT x25

➡ Вход: по рынку 
✅ Тейки: 1.4788...565 1.3951
❌ Стоп: 1.5773

📉 Канал с VIP Сигналами",78d72a87d055c63bb8726fb77292ad45,2026-05-16T13:07:37+00:00,2026-05-29T18:46:43.745786+00:00,325,white_ghosto
