id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1381405,1747,"Short

#ZECUSDT

Entry : 1245.00 - 1265.00

Target...
Stop Targets:
5-10%

Leverage Cross 50x

Use #DCA",e65fed3fbb2a6d4b697c69cd170fb5f5,2026-09-16T13:39:54+00:00,2026-09-16T22:35:50.884597+00:00,1091,wonhaengl1
1381409,1743,"Short

#BTWUSDT

Entry : 0.800 - 0.845

Targets:

...
Stop Targets:
5-10%

Leverage Cross 20x

Use #DCA",d6ece1e1e01afd5a44fb4354fa0f4aa2,2026-09-16T04:36:08+00:00,2026-09-16T22:35:50.904477+00:00,1091,wonhaengl1
1381414,1737,"Short

#POWERUSDT

Entry: 0.192 - 0.222

Targets:
...146
0.126

Stop Targets:
5-10%

Leverage Cross 20x",3bf78d19f395ffa5c0f8547494a6f216,2026-09-15T23:08:23+00:00,2026-09-16T22:35:50.997525+00:00,1091,wonhaengl1
1396073,1752,"Short

#HYPEUSDT

Entry : 82.90 - 87.50

Targets:
...
Stop Targets:
5-10%

Leverage Cross 50x

Use #DCA",2301ce58ba26ad120be5d0b2f3cdada6,2026-09-17T14:40:49+00:00,2026-09-17T18:24:46.363278+00:00,1091,wonhaengl1
1410573,1756,"Short

#XMRUSDT

Entry : 527.50 - 532.40

 Targets...36
516.09

Stop Targets:
5-10%

Leverage Cross 20x",127048eece1d780453013171de41f95c,2026-09-18T05:50:05+00:00,2026-09-18T07:30:59.067112+00:00,1091,wonhaengl1
1416094,1761,"Short

#VVVUSDT

Entry : 27.60 - 30.10

Targets :
....50
20.25

Stop Targets:
5-10%

Leverage Cross 20x",62c6b2ed697f7768afc804fac1fbbc22,2026-09-18T09:01:53+00:00,2026-09-18T09:30:42.386532+00:00,1091,wonhaengl1
1443529,1767,"Short 

#PIEVERSEUSDT 

Entry: 1.720 - 1.910

Targ...
Stop Targets:
5-10%

Leverage Cross 20x

Use #DCA",78324f1017d0a94918fed7273c54adf9,2026-09-19T05:02:44+00:00,2026-09-20T01:03:30.137452+00:00,1091,wonhaengl1
1497853,1775,"Short 

#PIEVERSEUSDT 

Entry: 1.880 - 2.020

Targ...
Stop Targets:
5-10%

Leverage Cross 20x

Use #DCA",e959606d56106fee557af695d2d6ac2f,2026-09-21T10:55:46+00:00,2026-09-21T12:16:58.050428+00:00,1091,wonhaengl1
1518976,1783,"📊 LOOK FOR LONG SETUPS - #BTC SEP 22 📈

📍 On the H...tch: #ETH, #SOL, #AVAX, #SUI, #NEAR, #UNI, #XRP...",4563f08782421f791ef5e0b127f90c2b,2026-09-22T03:50:33+00:00,2026-09-22T05:33:17.301566+00:00,1091,wonhaengl1
1531207,1787,"Short

#MUBARAKUSDT

Entry : 0.0712 - 0.0980

Targ...Stop Targets:
5-10%

Leverage Cross 20x 

Use #DCA",6e36c8687cbda78fd2fb731d85adbe1a,2026-09-22T13:50:01+00:00,2026-09-22T15:00:38.584914+00:00,1091,wonhaengl1
1569034,1803,"Long

#ADA/USDT

Entry : 0.237 - 0.218

Targets:

...260
0.267

Stop Targets:
5-10%

Leverage Cross 20x",e7a878b76073528ae8b753a794333c15,2026-09-23T14:43:36+00:00,2026-09-23T16:48:23.233495+00:00,1091,wonhaengl1
1578793,1806,"Short

#BTWUSDT

Entry : 1.05 - 1.30

Targets:

0....
Stop Targets:
5-10%

Leverage Cross 20x

Use #DCA",c62344740883215338f8d935a7a32047,2026-09-24T03:04:19+00:00,2026-09-24T03:22:06.070970+00:00,1091,wonhaengl1
