id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
1030365,26654,"✅ Long

Pair: #DASH/USDT

📊 Entry Price: 

1) 41.8...3.84
4) 44.72

Stop Loss: 39.22

Leverage: 10x-20x",a6e115d68b1de84b6b7a9f24492dbeb3,2026-09-02T09:04:13+00:00,2026-09-02T09:27:59.836699+00:00,900,x1000_futurescrypto
1030366,26653,"FFUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- C....13997000
6) 0.15117000
7) 🚀🚀🚀 

⛔️ SL:
0.09800000",320d940e1ec9bee592e6ce1dc6a3eae3,2026-09-02T08:45:41+00:00,2026-09-02T09:27:59.868684+00:00,900,x1000_futurescrypto
1030367,26652,"📊 Let’s LONG #FF/USDT

💥 Leverage:  Cross 20×

✔️ ...
1) 0.1065
2) 0.1100
3) 0.1200

🔖 Stop Loss: 0.098",7880f19348afb474a5324c527817aff7,2026-09-02T08:30:54+00:00,2026-09-02T09:27:59.879327+00:00,900,x1000_futurescrypto
1030364,26651,"COIN: #FF /USDT (LONG) SETUP

📊 Leverage 25x to 50...ENT IS KEY
Use only 1–2% of your capital per trade",35c8ef942cda79c96a435d17fd5927b0,2026-09-02T08:30:54+00:00,2026-09-02T09:27:59.719323+00:00,900,x1000_futurescrypto
1030362,26647,"🔰 PAIR: ETH/ USDT 💹

🔴Position: SHORT🚀

☑️ Entry Z... Targets:
🥇 2375
🥈 2337
🥉 2300

❌ Stop Loss: 🔴2482",39754a2fdeaf1216fda4073cfd74bc66,2026-09-02T08:20:07+00:00,2026-09-02T09:27:59.620764+00:00,900,x1000_futurescrypto
1030360,26649,"#USELESS/USDT BUY (LONG) 

⚡️Leverage : Cross 25x ....1100

⚠️Use only 3% - 5% amount of your portfolio",6f88aae28a0c7b298f2804026c16cf99,2026-09-02T08:20:07+00:00,2026-09-02T09:27:59.610907+00:00,900,x1000_futurescrypto
1030357,26642,"🪙 Coin: #FF/USDT
🧭 Type: #LONG

📈 Entry Zone:
0.10... within the zone and maintain strict risk control.",29bff6520c183b3d6a4a8ba9cef6408b,2026-09-02T08:20:07+00:00,2026-09-02T09:27:59.384410+00:00,900,x1000_futurescrypto
1030356,26640,"#T/USDT SHORT     

👉Leverage : Cross 10× To 30×

...  0.0043
2)  0.0041
3)  0.0039

⭕Stoploss : 0.0047",9637fbf6349d0aba57b56881f31f6f52,2026-09-02T07:51:21+00:00,2026-09-02T09:27:59.094142+00:00,900,x1000_futurescrypto
1030355,26638,"📊 Let’s LONG #MAGMA/USDT

💥 Leverage:  Cross 20×

...s: 

1) 0.525
2) 0.565
3) 0.620

🔖 Stop Loss: 0.48",81181143752d31d2fcece29bbaab76f8,2026-09-02T07:51:21+00:00,2026-09-02T09:27:59.076696+00:00,900,x1000_futurescrypto
1030353,26637,"⭐️$T/USDT  LONG 

🛡Leverage : Cross 25x50

‼️Entry...004100

Use only 3% - 5% amount of your portfolio🛍",81ba96aa932860f8050a32bacc41f3b4,2026-09-02T07:51:21+00:00,2026-09-02T09:27:59.040973+00:00,900,x1000_futurescrypto
1030352,26641,"📊 #MAGMA/USDT

🟢 POSITION: LONG

💰 ENTRY RANGE
➤ 0...
➤ 0.400

━━━━━━━━━━━━━━━━━━

✅ Manage risk wisely",5eeb945d9ed7274aeb4b4616ee625235,2026-09-02T07:51:21+00:00,2026-09-02T09:27:59.020236+00:00,900,x1000_futurescrypto
1030349,26635,"📇 Setup: UAI/USDT 

LONG Trade 🛫

✔️ Leverage : 75...et 1 •0.5800
💰 Target 2 • 0.5900
💰 Target3 •0.6000",82ef48ec384ebe2ccec3eaab9c909e6d,2026-09-02T07:26:28+00:00,2026-09-02T09:27:58.843180+00:00,900,x1000_futurescrypto
1030347,26631,"🔘 Coin : #CLO/USDT 🔘

🔴 SHORT

🔺Entry🔻: 0.17103

⭐... - 0.15738

♦️ StopLoss : 0.17718

🔱 Leverage: 25x",1e55a6a53c379dffbcc10aee5a514ea8,2026-09-02T07:10:26+00:00,2026-09-02T09:27:58.686607+00:00,900,x1000_futurescrypto
1030346,26630,"BTCUSDTUSDT  
Exchanges: BINGX 

🟢 Long
Leverage- ...5) 101280.84
6) 109383.31
7) 🚀🚀🚀 

⛔️ SL:
76200.00",87cb502ea087f5f76d00cec7d89cac01,2026-09-02T07:10:26+00:00,2026-09-02T09:27:58.643123+00:00,900,x1000_futurescrypto
1030345,26628,"🟢#BTR/USDT

📈Signal: short Leverage: Cross 20X

⚡️...even after TP1 is hit.

📣Trade Smart • Follow Risk",892f1d968b7d20576f7cdfdbaf6ad751,2026-09-02T07:10:26+00:00,2026-09-02T09:27:58.511669+00:00,900,x1000_futurescrypto
1030344,26629,"SHORT

UAI/USDT

MARKET PRICE 

Leverage: 10X

TP:...5% of capital 

Always use proper risk management.",c5798b5a705278e31512e800f9cc130a,2026-09-02T07:10:26+00:00,2026-09-02T09:27:58.452332+00:00,900,x1000_futurescrypto
1030343,26626,"🚀 #APR/USDT LONG SIGNAL 🚀
📍 Entry: 0.2120


🎯 Take... your risk, and let's catch this move together! 🪙🔥",7a8b1600d5139d9f8f683f944c42bc1d,2026-09-02T06:57:56+00:00,2026-09-02T09:27:58.416823+00:00,900,x1000_futurescrypto
1030341,26625,"Coin #UAI/USDT

Position: LONG 

Leverage:  Cross ...0.52

Targets: 🎯 0.56, 0.59, 0.64

Stop Loss: 0.50",dc2d7ac88995f7b56e5443763f73d7c1,2026-09-02T06:57:56+00:00,2026-09-02T09:27:58.364101+00:00,900,x1000_futurescrypto
1030339,26623,"🚀 SHORT: $BTR/USDT🚀
LEVERAGE: 20X-50X

🤍 ENTRY PRI....079- 0.070
—————

❌ STOP LOSS: 0.1070❌

REACTIONS",247d0bd874107f68ade1263dd08b1ef5,2026-09-02T06:57:56+00:00,2026-09-02T09:27:58.101203+00:00,900,x1000_futurescrypto
1030338,26622,"💵 𝐒𝐈𝐆𝐍𝐀𝐋 𝐀𝐋𝐄𝐑𝐓 💵

#HEMI/USDT (25xLONG)

✅ ENTRY:0....ETS:-0.02180/0.02250/0.02450

❌ STOP LOSS: 0.01830",5c1c13c1ce3cee01801eb915318a67bc,2026-09-02T06:57:56+00:00,2026-09-02T09:27:58.007250+00:00,900,x1000_futurescrypto
1030332,26614,"⚡ #DOT/USDT

📤 Long 

💹 Buy: 0.8788 - 0.8526

🧿 Ta...246 - 0.9340

🧨 StopLoss: 0.8300 

🔘 Leverage: 20x",38626c33471a0123b9d736450cd65da5,2026-09-02T06:57:56+00:00,2026-09-02T09:27:57.601241+00:00,900,x1000_futurescrypto
1030333,26618,"COIN: #FIL /USDT (LONG) SETUP

📊 Leverage 25x to 5...ENT IS KEY
Use only 1–2% of your capital per trade",c2b67b956820631337d1dcc572f6bff8,2026-09-02T06:57:56+00:00,2026-09-02T09:27:57.599066+00:00,900,x1000_futurescrypto
1030330,26619,"➡️ #UNI     /USDT (SHORT) 🔽🔽

⌛LEVERAGE : 20X TO 7...75


💥Use only 1%margin of your total portfolio❤️😘",fb4f015b11879b09527057226bad3e75,2026-09-02T06:57:56+00:00,2026-09-02T09:27:57.591703+00:00,900,x1000_futurescrypto
1030325,26621,"🔰 UNI/USDT 🔰

🟢 LONG 20X

🔳 ENTRY :- 6.15

☑️ TARGET:- 6.35 - 6.60 - 7.00

🔴 STOP :- 5.70",ff0548531127925277680c194709b0c6,2026-09-02T06:57:56+00:00,2026-09-02T09:27:57.574744+00:00,900,x1000_futurescrypto
